😀	obraz, režanje, režeči obraz
🧏	gluh, gluha oseba, invalid, sluh, uho
🧏🏻	gluh, gluha oseba, gluha oseba: svetel ten kože, invalid, sluh, svetel ten kože, uho
🧏🏼	gluh, gluha oseba, gluha oseba: srednje svetel ten kože, invalid, sluh, srednje svetel ten kože, uho
🧏🏽	gluh, gluha oseba, gluha oseba: srednji ten kože, invalid, sluh, srednji ten kože, uho
🧏🏾	gluh, gluha oseba, gluha oseba: srednje temen ten kože, invalid, sluh, srednje temen ten kože, uho
🧏🏿	gluh, gluha oseba, gluha oseba: temen ten kože, invalid, sluh, temen ten kože, uho
🧏‍♂	gluh, gluh moški, moški
🧏🏻‍♂	gluh, gluh moški: svetel ten kože, moški, svetel ten kože
🧏🏼‍♂	gluh, gluh moški: srednje svetel ten kože, moški, srednje svetel ten kože
🧏🏽‍♂	gluh, gluh moški: srednji ten kože, moški, srednji ten kože
🧏🏾‍♂	gluh, gluh moški: srednje temen ten kože, moški, srednje temen ten kože
🧏🏿‍♂	gluh, gluh moški: temen ten kože, moški, temen ten kože
🧏‍♀	gluha, gluha ženska, ženska
🧏🏻‍♀	gluha, gluha ženska: svetel ten kože, svetel ten kože, ženska
🧏🏼‍♀	gluha, gluha ženska: srednje svetel ten kože, srednje svetel ten kože, ženska
🧏🏽‍♀	gluha, gluha ženska: srednji ten kože, srednji ten kože, ženska
🧏🏾‍♀	gluha, gluha ženska: srednje temen ten kože, srednje temen ten kože, ženska
🧏🏿‍♀	gluha, gluha ženska: temen ten kože, temen ten kože, ženska
🙇	gesta, opravičilo, oprosti, oseba, ki se prikloni, priklon
🙇🏻	gesta, opravičilo, oprosti, oseba, ki se prikloni, oseba, ki se prikloni: svetel ten kože, priklon, svetel ten kože
🙇🏼	gesta, opravičilo, oprosti, oseba, ki se prikloni, oseba, ki se prikloni: srednje svetel ten kože, priklon, srednje svetel ten kože
🙇🏽	gesta, opravičilo, oprosti, oseba, ki se prikloni, oseba, ki se prikloni: srednji ten kože, priklon, srednji ten kože
🙇🏾	gesta, opravičilo, oprosti, oseba, ki se prikloni, oseba, ki se prikloni: srednje temen ten kože, priklon, srednje temen ten kože
🙇🏿	gesta, opravičilo, oprosti, oseba, ki se prikloni, oseba, ki se prikloni: temen ten kože, priklon, temen ten kože
🙇‍♂	fant, gesta, moški, moški, ki se globoko priklanja, opravičilo, oprosti, priklanjanje, priklon, usluga
🙇🏻‍♂	fant, gesta, moški, moški, ki se globoko priklanja, moški, ki se globoko priklanja: svetel ten kože, opravičilo, oprosti, priklanjanje, priklon, svetel ten kože, usluga
🙇🏼‍♂	fant, gesta, moški, moški, ki se globoko priklanja, moški, ki se globoko priklanja: srednje svetel ten kože, opravičilo, oprosti, priklanjanje, priklon, srednje svetel ten kože, usluga
🙇🏽‍♂	fant, gesta, moški, moški, ki se globoko priklanja, moški, ki se globoko priklanja: srednji ten kože, opravičilo, oprosti, priklanjanje, priklon, srednji ten kože, usluga
🙇🏾‍♂	fant, gesta, moški, moški, ki se globoko priklanja, moški, ki se globoko priklanja: srednje temen ten kože, opravičilo, oprosti, priklanjanje, priklon, srednje temen ten kože, usluga
🙇🏿‍♂	fant, gesta, moški, moški, ki se globoko priklanja, moški, ki se globoko priklanja: temen ten kože, opravičilo, oprosti, priklanjanje, priklon, temen ten kože, usluga
🙇‍♀	dekle, gesta, opravičilo, oprosti, priklanjanje, priklon, usluga, ženska, ženska, ki se globoko priklanja
🙇🏻‍♀	dekle, gesta, opravičilo, oprosti, priklanjanje, priklon, svetel ten kože, usluga, ženska, ženska, ki se globoko priklanja, ženska, ki se globoko priklanja: svetel ten kože
🙇🏼‍♀	dekle, gesta, opravičilo, oprosti, priklanjanje, priklon, srednje svetel ten kože, usluga, ženska, ženska, ki se globoko priklanja, ženska, ki se globoko priklanja: srednje svetel ten kože
🙇🏽‍♀	dekle, gesta, opravičilo, oprosti, priklanjanje, priklon, srednji ten kože, usluga, ženska, ženska, ki se globoko priklanja, ženska, ki se globoko priklanja: srednji ten kože
🙇🏾‍♀	dekle, gesta, opravičilo, oprosti, priklanjanje, priklon, srednje temen ten kože, usluga, ženska, ženska, ki se globoko priklanja, ženska, ki se globoko priklanja: srednje temen ten kože
🙇🏿‍♀	dekle, gesta, opravičilo, oprosti, priklanjanje, priklon, temen ten kože, usluga, ženska, ženska, ki se globoko priklanja, ženska, ki se globoko priklanja: temen ten kože
🤦	dvom, nejevera, oseba z dlanjo na obrazu, skepsa, skomigniti
🤦🏻	dvom, nejevera, oseba z dlanjo na obrazu, oseba z dlanjo na obrazu: svetel ten kože, skepsa, skomigniti, svetel ten kože
🤦🏼	dvom, nejevera, oseba z dlanjo na obrazu, oseba z dlanjo na obrazu: srednje svetel ten kože, skepsa, skomigniti, srednje svetel ten kože
🤦🏽	dvom, nejevera, oseba z dlanjo na obrazu, oseba z dlanjo na obrazu: srednji ten kože, skepsa, skomigniti, srednji ten kože
🤦🏾	dvom, nejevera, oseba z dlanjo na obrazu, oseba z dlanjo na obrazu: srednje temen ten kože, skepsa, skomigniti, srednje temen ten kože
🤦🏿	dvom, nejevera, oseba z dlanjo na obrazu, oseba z dlanjo na obrazu: temen ten kože, skepsa, skomigniti, temen ten kože
🤦‍♂	dvom, facepalm, fant, moški, moški, ki obraz prekriva z dlanjo, obup, ogorčenje, prekriti obraz z dlanjo
🤦🏻‍♂	dvom, facepalm, fant, moški, moški, ki obraz prekriva z dlanjo, moški, ki obraz prekriva z dlanjo: svetel ten kože, obup, ogorčenje, prekriti obraz z dlanjo, svetel ten kože
🤦🏼‍♂	dvom, facepalm, fant, moški, moški, ki obraz prekriva z dlanjo, moški, ki obraz prekriva z dlanjo: srednje svetel ten kože, obup, ogorčenje, prekriti obraz z dlanjo, srednje svetel ten kože
🤦🏽‍♂	dvom, facepalm, fant, moški, moški, ki obraz prekriva z dlanjo, moški, ki obraz prekriva z dlanjo: srednji ten kože, obup, ogorčenje, prekriti obraz z dlanjo, srednji ten kože
🤦🏾‍♂	dvom, facepalm, fant, moški, moški, ki obraz prekriva z dlanjo, moški, ki obraz prekriva z dlanjo: srednje temen ten kože, obup, ogorčenje, prekriti obraz z dlanjo, srednje temen ten kože
🤦🏿‍♂	dvom, facepalm, fant, moški, moški, ki obraz prekriva z dlanjo, moški, ki obraz prekriva z dlanjo: temen ten kože, obup, ogorčenje, prekriti obraz z dlanjo, temen ten kože
🤦‍♀	dekle, dvom, facepalm, obup, ogorčenje, prekriti obraz z dlanjo, ženska, ženska, ki obraz prekriva z dlanjo
🤦🏻‍♀	dekle, dvom, facepalm, obup, ogorčenje, prekriti obraz z dlanjo, svetel ten kože, ženska, ženska, ki obraz prekriva z dlanjo, ženska, ki obraz prekriva z dlanjo: svetel ten kože
🤦🏼‍♀	dekle, dvom, facepalm, obup, ogorčenje, prekriti obraz z dlanjo, srednje svetel ten kože, ženska, ženska, ki obraz prekriva z dlanjo, ženska, ki obraz prekriva z dlanjo: srednje svetel ten kože
🤦🏽‍♀	dekle, dvom, facepalm, obup, ogorčenje, prekriti obraz z dlanjo, srednji ten kože, ženska, ženska, ki obraz prekriva z dlanjo, ženska, ki obraz prekriva z dlanjo: srednji ten kože
🤦🏾‍♀	dekle, dvom, facepalm, obup, ogorčenje, prekriti obraz z dlanjo, srednje temen ten kože, ženska, ženska, ki obraz prekriva z dlanjo, ženska, ki obraz prekriva z dlanjo: srednje temen ten kože
🤦🏿‍♀	dekle, dvom, facepalm, obup, ogorčenje, prekriti obraz z dlanjo, temen ten kože, ženska, ženska, ki obraz prekriva z dlanjo, ženska, ki obraz prekriva z dlanjo: temen ten kože
🤷	brezbrižnost, oseba, ki skomiga, skomigniti
🤷🏻	brezbrižnost, oseba, ki skomiga, oseba, ki skomiga: svetel ten kože, skomigniti, svetel ten kože
🤷🏼	brezbrižnost, oseba, ki skomiga, oseba, ki skomiga: srednje svetel ten kože, skomigniti, srednje svetel ten kože
🤷🏽	brezbrižnost, oseba, ki skomiga, oseba, ki skomiga: srednji ten kože, skomigniti, srednji ten kože
🤷🏾	brezbrižnost, oseba, ki skomiga, oseba, ki skomiga: srednje temen ten kože, skomigniti, srednje temen ten kože
🤷🏿	brezbrižnost, oseba, ki skomiga, oseba, ki skomiga: temen ten kože, skomigniti, temen ten kože
🤷‍♂	dvom, fant, moški, moški, ki skomiga z rameni, nevednost, nezanimanje, skomigniti
🤷🏻‍♂	dvom, fant, moški, moški, ki skomiga z rameni, moški, ki skomiga z rameni: svetel ten kože, nevednost, nezanimanje, skomigniti, svetel ten kože
🤷🏼‍♂	dvom, fant, moški, moški, ki skomiga z rameni, moški, ki skomiga z rameni: srednje svetel ten kože, nevednost, nezanimanje, skomigniti, srednje svetel ten kože
🤷🏽‍♂	dvom, fant, moški, moški, ki skomiga z rameni, moški, ki skomiga z rameni: srednji ten kože, nevednost, nezanimanje, skomigniti, srednji ten kože
🤷🏾‍♂	dvom, fant, moški, moški, ki skomiga z rameni, moški, ki skomiga z rameni: srednje temen ten kože, nevednost, nezanimanje, skomigniti, srednje temen ten kože
🤷🏿‍♂	dvom, fant, moški, moški, ki skomiga z rameni, moški, ki skomiga z rameni: temen ten kože, nevednost, nezanimanje, skomigniti, temen ten kože
🤷‍♀	dekle, dvom, nevednost, nezanimanje, skomigniti, ženska, ženska, ki skomiga z rameni
🤷🏻‍♀	dekle, dvom, nevednost, nezanimanje, skomigniti, svetel ten kože, ženska, ženska, ki skomiga z rameni, ženska, ki skomiga z rameni: svetel ten kože
🤷🏼‍♀	dekle, dvom, nevednost, nezanimanje, skomigniti, srednje svetel ten kože, ženska, ženska, ki skomiga z rameni, ženska, ki skomiga z rameni: srednje svetel ten kože
🤷🏽‍♀	dekle, dvom, nevednost, nezanimanje, skomigniti, srednji ten kože, ženska, ženska, ki skomiga z rameni, ženska, ki skomiga z rameni: srednji ten kože
🤷🏾‍♀	dekle, dvom, nevednost, nezanimanje, skomigniti, srednje temen ten kože, ženska, ženska, ki skomiga z rameni, ženska, ki skomiga z rameni: srednje temen ten kože
🤷🏿‍♀	dekle, dvom, nevednost, nezanimanje, skomigniti, temen ten kože, ženska, ženska, ki skomiga z rameni, ženska, ki skomiga z rameni: temen ten kože
👨‍⚕	fant, medicinski tehnik, moški, terapevt, zdravnik, zdravstveni delavec, zdravstvo
👨🏻‍⚕	fant, medicinski tehnik, moški, svetel ten kože, terapevt, zdravnik, zdravstveni delavec, zdravstveni delavec: svetel ten kože, zdravstvo
👨🏼‍⚕	fant, medicinski tehnik, moški, srednje svetel ten kože, terapevt, zdravnik, zdravstveni delavec, zdravstveni delavec: srednje svetel ten kože, zdravstvo
👨🏽‍⚕	fant, medicinski tehnik, moški, srednji ten kože, terapevt, zdravnik, zdravstveni delavec, zdravstveni delavec: srednji ten kože, zdravstvo
👨🏾‍⚕	fant, medicinski tehnik, moški, srednje temen ten kože, terapevt, zdravnik, zdravstveni delavec, zdravstveni delavec: srednje temen ten kože, zdravstvo
👨🏿‍⚕	fant, medicinski tehnik, moški, temen ten kože, terapevt, zdravnik, zdravstveni delavec, zdravstveni delavec: temen ten kože, zdravstvo
👩‍⚕	dekle, medicinska sestra, terapevtka, zdravnica, zdravstvena delavka, zdravstvo, ženska
👩🏻‍⚕	dekle, medicinska sestra, svetel ten kože, terapevtka, zdravnica, zdravstvena delavka, zdravstvena delavka: svetel ten kože, zdravstvo, ženska
👩🏼‍⚕	dekle, medicinska sestra, srednje svetel ten kože, terapevtka, zdravnica, zdravstvena delavka, zdravstvena delavka: srednje svetel ten kože, zdravstvo, ženska
👩🏽‍⚕	dekle, medicinska sestra, srednji ten kože, terapevtka, zdravnica, zdravstvena delavka, zdravstvena delavka: srednji ten kože, zdravstvo, ženska
👩🏾‍⚕	dekle, medicinska sestra, srednje temen ten kože, terapevtka, zdravnica, zdravstvena delavka, zdravstvena delavka: srednje temen ten kože, zdravstvo, ženska
👩🏿‍⚕	dekle, medicinska sestra, temen ten kože, terapevtka, zdravnica, zdravstvena delavka, zdravstvena delavka: temen ten kože, zdravstvo, ženska
👨‍🎓	diplomant, fant, maturant, moški, študent
👨🏻‍🎓	diplomant, fant, maturant, moški, svetel ten kože, študent, študent: svetel ten kože
👨🏼‍🎓	diplomant, fant, maturant, moški, srednje svetel ten kože, študent, študent: srednje svetel ten kože
👨🏽‍🎓	diplomant, fant, maturant, moški, srednji ten kože, študent, študent: srednji ten kože
👨🏾‍🎓	diplomant, fant, maturant, moški, srednje temen ten kože, študent, študent: srednje temen ten kože
👨🏿‍🎓	diplomant, fant, maturant, moški, temen ten kože, študent, študent: temen ten kože
👩‍🎓	dekle, diplomantka, maturantka, študentka, ženska
👩🏻‍🎓	dekle, diplomantka, maturantka, svetel ten kože, študentka, študentka: svetel ten kože, ženska
👩🏼‍🎓	dekle, diplomantka, maturantka, srednje svetel ten kože, študentka, študentka: srednje svetel ten kože, ženska
👩🏽‍🎓	dekle, diplomantka, maturantka, srednji ten kože, študentka, študentka: srednji ten kože, ženska
👩🏾‍🎓	dekle, diplomantka, maturantka, srednje temen ten kože, študentka, študentka: srednje temen ten kože, ženska
👩🏿‍🎓	dekle, diplomantka, maturantka, temen ten kože, študentka, študentka: temen ten kože, ženska
👨‍🏫	fant, inštruktor, moški, profesor, učitelj
👨🏻‍🏫	fant, inštruktor, moški, profesor, svetel ten kože, učitelj, učitelj: svetel ten kože
👨🏼‍🏫	fant, inštruktor, moški, profesor, srednje svetel ten kože, učitelj, učitelj: srednje svetel ten kože
👨🏽‍🏫	fant, inštruktor, moški, profesor, srednji ten kože, učitelj, učitelj: srednji ten kože
👨🏾‍🏫	fant, inštruktor, moški, profesor, srednje temen ten kože, učitelj, učitelj: srednje temen ten kože
👨🏿‍🏫	fant, inštruktor, moški, profesor, temen ten kože, učitelj, učitelj: temen ten kože
👩‍🏫	dekle, inštruktorica, profesorica, učiteljica, ženska
👩🏻‍🏫	dekle, inštruktorica, profesorica, svetel ten kože, učiteljica, učiteljica: svetel ten kože, ženska
👩🏼‍🏫	dekle, inštruktorica, profesorica, srednje svetel ten kože, učiteljica, učiteljica: srednje svetel ten kože, ženska
👩🏽‍🏫	dekle, inštruktorica, profesorica, srednji ten kože, učiteljica, učiteljica: srednji ten kože, ženska
👩🏾‍🏫	dekle, inštruktorica, profesorica, srednje temen ten kože, učiteljica, učiteljica: srednje temen ten kože, ženska
👩🏿‍🏫	dekle, inštruktorica, profesorica, temen ten kože, učiteljica, učiteljica: temen ten kože, ženska
👨‍⚖	fant, moški, pravica, pravosodje, sodnik, tehtnica
👨🏻‍⚖	fant, moški, pravica, pravosodje, sodnik, sodnik: svetel ten kože, svetel ten kože, tehtnica
👨🏼‍⚖	fant, moški, pravica, pravosodje, sodnik, sodnik: srednje svetel ten kože, srednje svetel ten kože, tehtnica
👨🏽‍⚖	fant, moški, pravica, pravosodje, sodnik, sodnik: srednji ten kože, srednji ten kože, tehtnica
👨🏾‍⚖	fant, moški, pravica, pravosodje, sodnik, sodnik: srednje temen ten kože, srednje temen ten kože, tehtnica
👨🏿‍⚖	fant, moški, pravica, pravosodje, sodnik, sodnik: temen ten kože, tehtnica, temen ten kože
👩‍⚖	dekle, pravica, sodnica, tehtnica, ženska
👩🏻‍⚖	dekle, pravica, sodnica, sodnica: svetel ten kože, svetel ten kože, tehtnica, ženska
👩🏼‍⚖	dekle, pravica, sodnica, sodnica: srednje svetel ten kože, srednje svetel ten kože, tehtnica, ženska
👩🏽‍⚖	dekle, pravica, sodnica, sodnica: srednji ten kože, srednji ten kože, tehtnica, ženska
👩🏾‍⚖	dekle, pravica, sodnica, sodnica: srednje temen ten kože, srednje temen ten kože, tehtnica, ženska
👩🏿‍⚖	dekle, pravica, sodnica, sodnica: temen ten kože, tehtnica, temen ten kože, ženska
👨‍🌾	fant, kavboj, kmet, kmetovalec, moški, vrtnar, živinorejec
👨🏻‍🌾	fant, kavboj, kmet, kmetovalec, kmetovalec: svetel ten kože, moški, svetel ten kože, vrtnar, živinorejec
👨🏼‍🌾	fant, kavboj, kmet, kmetovalec, kmetovalec: srednje svetel ten kože, moški, srednje svetel ten kože, vrtnar, živinorejec
👨🏽‍🌾	fant, kavboj, kmet, kmetovalec, kmetovalec: srednji ten kože, moški, srednji ten kože, vrtnar, živinorejec
👨🏾‍🌾	fant, kavboj, kmet, kmetovalec, kmetovalec: srednje temen ten kože, moški, srednje temen ten kože, vrtnar, živinorejec
👨🏿‍🌾	fant, kavboj, kmet, kmetovalec, kmetovalec: temen ten kože, moški, temen ten kože, vrtnar, živinorejec
👩‍🌾	dekle, kmetica, kmetovalka, vrtnarka, ženska, živinorejka
👩🏻‍🌾	dekle, kmetica, kmetovalka, kmetovalka: svetel ten kože, svetel ten kože, vrtnarka, ženska, živinorejka
👩🏼‍🌾	dekle, kmetica, kmetovalka, kmetovalka: srednje svetel ten kože, srednje svetel ten kože, vrtnarka, ženska, živinorejka
👩🏽‍🌾	dekle, kmetica, kmetovalka, kmetovalka: srednji ten kože, srednji ten kože, vrtnarka, ženska, živinorejka
👩🏾‍🌾	dekle, kmetica, kmetovalka, kmetovalka: srednje temen ten kože, srednje temen ten kože, vrtnarka, ženska, živinorejka
👩🏿‍🌾	dekle, kmetica, kmetovalka, kmetovalka: temen ten kože, temen ten kože, vrtnarka, ženska, živinorejka
👨‍🍳	chef, fant, kuhar, moški, šef kuhinje
👨🏻‍🍳	chef, fant, kuhar, kuhar: svetel ten kože, moški, svetel ten kože, šef kuhinje
👨🏼‍🍳	chef, fant, kuhar, kuhar: srednje svetel ten kože, moški, srednje svetel ten kože, šef kuhinje
👨🏽‍🍳	chef, fant, kuhar, kuhar: srednji ten kože, moški, srednji ten kože, šef kuhinje
👨🏾‍🍳	chef, fant, kuhar, kuhar: srednje temen ten kože, moški, srednje temen ten kože, šef kuhinje
👨🏿‍🍳	chef, fant, kuhar, kuhar: temen ten kože, moški, temen ten kože, šef kuhinje
👩‍🍳	chef, dekle, kuharica, šefinja kuhinje, ženska
👩🏻‍🍳	chef, dekle, kuharica, kuharica: svetel ten kože, svetel ten kože, šefinja kuhinje, ženska
👩🏼‍🍳	chef, dekle, kuharica, kuharica: srednje svetel ten kože, srednje svetel ten kože, šefinja kuhinje, ženska
👩🏽‍🍳	chef, dekle, kuharica, kuharica: srednji ten kože, srednji ten kože, šefinja kuhinje, ženska
👩🏾‍🍳	chef, dekle, kuharica, kuharica: srednje temen ten kože, srednje temen ten kože, šefinja kuhinje, ženska
👩🏿‍🍳	chef, dekle, kuharica, kuharica: temen ten kože, temen ten kože, šefinja kuhinje, ženska
👨‍🔧	avtomehanik, električar, fant, mehanik, mehanična delavnica, moški, orodje, prodajalec, vodovodar
👨🏻‍🔧	avtomehanik, električar, fant, mehanik, mehanik: svetel ten kože, mehanična delavnica, moški, orodje, prodajalec, svetel ten kože, vodovodar
👨🏼‍🔧	avtomehanik, električar, fant, mehanik, mehanik: srednje svetel ten kože, mehanična delavnica, moški, orodje, prodajalec, srednje svetel ten kože, vodovodar
👨🏽‍🔧	avtomehanik, električar, fant, mehanik, mehanik: srednji ten kože, mehanična delavnica, moški, orodje, prodajalec, srednji ten kože, vodovodar
👨🏾‍🔧	avtomehanik, električar, fant, mehanik, mehanik: srednje temen ten kože, mehanična delavnica, moški, orodje, prodajalec, srednje temen ten kože, vodovodar
👨🏿‍🔧	avtomehanik, električar, fant, mehanik, mehanik: temen ten kože, mehanična delavnica, moški, orodje, prodajalec, temen ten kože, vodovodar
👩‍🔧	avtomehaničarka, dekle, električarka, mehaničarka, mehanična delavnica, orodje, prodajalka, vodovodarka, ženska
👩🏻‍🔧	avtomehaničarka, dekle, električarka, mehaničarka, mehaničarka: svetel ten kože, mehanična delavnica, orodje, prodajalka, svetel ten kože, vodovodarka, ženska
👩🏼‍🔧	avtomehaničarka, dekle, električarka, mehaničarka, mehaničarka: srednje svetel ten kože, mehanična delavnica, orodje, prodajalka, srednje svetel ten kože, vodovodarka, ženska
👩🏽‍🔧	avtomehaničarka, dekle, električarka, mehaničarka, mehaničarka: srednji ten kože, mehanična delavnica, orodje, prodajalka, srednji ten kože, vodovodarka, ženska
👩🏾‍🔧	avtomehaničarka, dekle, električarka, mehaničarka, mehaničarka: srednje temen ten kože, mehanična delavnica, orodje, prodajalka, srednje temen ten kože, vodovodarka, ženska
👩🏿‍🔧	avtomehaničarka, dekle, električarka, mehaničarka, mehaničarka: temen ten kože, mehanična delavnica, orodje, prodajalka, temen ten kože, vodovodarka, ženska
👨‍🏭	delavec, delavec v tovarni, fant, industrijski, moški, proizvodnja, tekoči trak, tovarna, tovarnar
👨🏻‍🏭	delavec, delavec v tovarni, delavec v tovarni: svetel ten kože, fant, industrijski, moški, proizvodnja, svetel ten kože, tekoči trak, tovarna, tovarnar
👨🏼‍🏭	delavec, delavec v tovarni, delavec v tovarni: srednje svetel ten kože, fant, industrijski, moški, proizvodnja, srednje svetel ten kože, tekoči trak, tovarna, tovarnar
👨🏽‍🏭	delavec, delavec v tovarni, delavec v tovarni: srednji ten kože, fant, industrijski, moški, proizvodnja, srednji ten kože, tekoči trak, tovarna, tovarnar
👨🏾‍🏭	delavec, delavec v tovarni, delavec v tovarni: srednje temen ten kože, fant, industrijski, moški, proizvodnja, srednje temen ten kože, tekoči trak, tovarna, tovarnar
👨🏿‍🏭	delavec, delavec v tovarni, delavec v tovarni: temen ten kože, fant, industrijski, moški, proizvodnja, tekoči trak, temen ten kože, tovarna, tovarnar
👩‍🏭	dekle, delavka, delavka v tovarni, industrijski, proizvodnja, tekoči trak, tovarna, tovarnarka, ženska
👩🏻‍🏭	dekle, delavka, delavka v tovarni, delavka v tovarni: svetel ten kože, industrijski, proizvodnja, svetel ten kože, tekoči trak, tovarna, tovarnarka, ženska
👩🏼‍🏭	dekle, delavka, delavka v tovarni, delavka v tovarni: srednje svetel ten kože, industrijski, proizvodnja, srednje svetel ten kože, tekoči trak, tovarna, tovarnarka, ženska
👩🏽‍🏭	dekle, delavka, delavka v tovarni, delavka v tovarni: srednji ten kože, industrijski, proizvodnja, srednji ten kože, tekoči trak, tovarna, tovarnarka, ženska
👩🏾‍🏭	dekle, delavka, delavka v tovarni, delavka v tovarni: srednje temen ten kože, industrijski, proizvodnja, srednje temen ten kože, tekoči trak, tovarna, tovarnarka, ženska
👩🏿‍🏭	dekle, delavka, delavka v tovarni, delavka v tovarni: temen ten kože, industrijski, proizvodnja, tekoči trak, temen ten kože, tovarna, tovarnarka, ženska
👨‍💼	arhitekt, direktor, fant, moški, pisarna, pisarniški, pisarniški delavec, podjetje, tajnik
👨🏻‍💼	arhitekt, direktor, fant, moški, pisarna, pisarniški, pisarniški delavec, pisarniški delavec: svetel ten kože, podjetje, svetel ten kože, tajnik
👨🏼‍💼	arhitekt, direktor, fant, moški, pisarna, pisarniški, pisarniški delavec, pisarniški delavec: srednje svetel ten kože, podjetje, srednje svetel ten kože, tajnik
👨🏽‍💼	arhitekt, direktor, fant, moški, pisarna, pisarniški, pisarniški delavec, pisarniški delavec: srednji ten kože, podjetje, srednji ten kože, tajnik
👨🏾‍💼	arhitekt, direktor, fant, moški, pisarna, pisarniški, pisarniški delavec, pisarniški delavec: srednje temen ten kože, podjetje, srednje temen ten kože, tajnik
👨🏿‍💼	arhitekt, direktor, fant, moški, pisarna, pisarniški, pisarniški delavec, pisarniški delavec: temen ten kože, podjetje, tajnik, temen ten kože
👩‍💼	arhitektka, dekle, direktorica, pisarna, pisarniška delavka, pisarniški, podjetje, tajnica, ženska
👩🏻‍💼	arhitektka, dekle, direktorica, pisarna, pisarniška delavka, pisarniška delavka: svetel ten kože, pisarniški, podjetje, svetel ten kože, tajnica, ženska
👩🏼‍💼	arhitektka, dekle, direktorica, pisarna, pisarniška delavka, pisarniška delavka: srednje svetel ten kože, pisarniški, podjetje, srednje svetel ten kože, tajnica, ženska
👩🏽‍💼	arhitektka, dekle, direktorica, pisarna, pisarniška delavka, pisarniška delavka: srednji ten kože, pisarniški, podjetje, srednji ten kože, tajnica, ženska
👩🏾‍💼	arhitektka, dekle, direktorica, pisarna, pisarniška delavka, pisarniška delavka: srednje temen ten kože, pisarniški, podjetje, srednje temen ten kože, tajnica, ženska
👩🏿‍💼	arhitektka, dekle, direktorica, pisarna, pisarniška delavka, pisarniška delavka: temen ten kože, pisarniški, podjetje, tajnica, temen ten kože, ženska
👨‍🔬	biolog, fant, fizik, inženir, kemik, matematik, moški, znanstvenik
👨🏻‍🔬	biolog, fant, fizik, inženir, kemik, matematik, moški, svetel ten kože, znanstvenik, znanstvenik: svetel ten kože
👨🏼‍🔬	biolog, fant, fizik, inženir, kemik, matematik, moški, srednje svetel ten kože, znanstvenik, znanstvenik: srednje svetel ten kože
👨🏽‍🔬	biolog, fant, fizik, inženir, kemik, matematik, moški, srednji ten kože, znanstvenik, znanstvenik: srednji ten kože
👨🏾‍🔬	biolog, fant, fizik, inženir, kemik, matematik, moški, srednje temen ten kože, znanstvenik, znanstvenik: srednje temen ten kože
👨🏿‍🔬	biolog, fant, fizik, inženir, kemik, matematik, moški, temen ten kože, znanstvenik, znanstvenik: temen ten kože
👩‍🔬	biologinja, dekle, fizika, inženirka, kemija, matematika, znanstvenica, ženska
👩🏻‍🔬	biologinja, dekle, fizika, inženirka, kemija, matematika, svetel ten kože, znanstvenica, znanstvenica: svetel ten kože, ženska
👩🏼‍🔬	biologinja, dekle, fizika, inženirka, kemija, matematika, srednje svetel ten kože, znanstvenica, znanstvenica: srednje svetel ten kože, ženska
👩🏽‍🔬	biologinja, dekle, fizika, inženirka, kemija, matematika, srednji ten kože, znanstvenica, znanstvenica: srednji ten kože, ženska
👩🏾‍🔬	biologinja, dekle, fizika, inženirka, kemija, matematika, srednje temen ten kože, znanstvenica, znanstvenica: srednje temen ten kože, ženska
👩🏿‍🔬	biologinja, dekle, fizika, inženirka, kemija, matematika, temen ten kože, znanstvenica, znanstvenica: temen ten kože, ženska
👨‍💻	fant, izumitelj, moški, programer, programska oprema, razvijalec, računalnik, tehnolog, tehnologija
👨🏻‍💻	fant, izumitelj, moški, programer, programska oprema, razvijalec, računalnik, svetel ten kože, tehnolog, tehnolog: svetel ten kože, tehnologija
👨🏼‍💻	fant, izumitelj, moški, programer, programska oprema, razvijalec, računalnik, srednje svetel ten kože, tehnolog, tehnolog: srednje svetel ten kože, tehnologija
👨🏽‍💻	fant, izumitelj, moški, programer, programska oprema, razvijalec, računalnik, srednji ten kože, tehnolog, tehnolog: srednji ten kože, tehnologija
👨🏾‍💻	fant, izumitelj, moški, programer, programska oprema, razvijalec, računalnik, srednje temen ten kože, tehnolog, tehnolog: srednje temen ten kože, tehnologija
👨🏿‍💻	fant, izumitelj, moški, programer, programska oprema, razvijalec, računalnik, tehnolog, tehnolog: temen ten kože, tehnologija, temen ten kože
👩‍💻	dekle, izumiteljica, programerka, programska oprema, razvijalka, računalnik, tehnologija, tehnologinja, ženska
👩🏻‍💻	dekle, izumiteljica, programerka, programska oprema, razvijalka, računalnik, svetel ten kože, tehnologija, tehnologinja, tehnologinja: svetel ten kože, ženska
👩🏼‍💻	dekle, izumiteljica, programerka, programska oprema, razvijalka, računalnik, srednje svetel ten kože, tehnologija, tehnologinja, tehnologinja: srednje svetel ten kože, ženska
👩🏽‍💻	dekle, izumiteljica, programerka, programska oprema, razvijalka, računalnik, srednji ten kože, tehnologija, tehnologinja, tehnologinja: srednji ten kože, ženska
👩🏾‍💻	dekle, izumiteljica, programerka, programska oprema, razvijalka, računalnik, srednje temen ten kože, tehnologija, tehnologinja, tehnologinja: srednje temen ten kože, ženska
👩🏿‍💻	dekle, izumiteljica, programerka, programska oprema, razvijalka, računalnik, tehnologija, tehnologinja, tehnologinja: temen ten kože, temen ten kože, ženska
