😀	зубы, усмешка, шырока ўсміхаецца
🧒🏻	дзіця, дзіця: светлы тон скуры, малады, невядомы пол, нявызначаны пол, светлы тон скуры
🧒🏼	дзіця, дзіця: сярэдне-светлы тон скуры, малады, невядомы пол, нявызначаны пол, сярэдне-светлы тон скуры
🧒🏽	дзіця, дзіця: сярэдні тон скуры, малады, невядомы пол, нявызначаны пол, сярэдні тон скуры
🧒🏾	дзіця, дзіця: сярэдне-цёмны тон скуры, малады, невядомы пол, нявызначаны пол, сярэдне-цёмны тон скуры
🧒🏿	дзіця, дзіця: цёмны тон скуры, малады, невядомы пол, нявызначаны пол, цёмны тон скуры
👦	дзіця, мужчына, хлопчык
👦🏻	дзіця, мужчына, светлы тон скуры, хлопчык, хлопчык: светлы тон скуры
👦🏼	дзіця, мужчына, сярэдне-светлы тон скуры, хлопчык, хлопчык: сярэдне-светлы тон скуры
👦🏽	дзіця, мужчына, сярэдні тон скуры, хлопчык, хлопчык: сярэдні тон скуры
👦🏾	дзіця, мужчына, сярэдне-цёмны тон скуры, хлопчык, хлопчык: сярэдне-цёмны тон скуры
👦🏿	дзіця, мужчына, хлопчык, хлопчык: цёмны тон скуры, цёмны тон скуры
👧	дзева, дзяўчынка, дзіця, жанчына, задыяк, малышка
👧🏻	дзева, дзяўчынка, дзяўчынка: светлы тон скуры, дзіця, жанчына, задыяк, малышка, светлы тон скуры
👧🏼	дзева, дзяўчынка, дзяўчынка: сярэдне-светлы тон скуры, дзіця, жанчына, задыяк, малышка, сярэдне-светлы тон скуры
👧🏽	дзева, дзяўчынка, дзяўчынка: сярэдні тон скуры, дзіця, жанчына, задыяк, малышка, сярэдні тон скуры
👧🏾	дзева, дзяўчынка, дзяўчынка: сярэдне-цёмны тон скуры, дзіця, жанчына, задыяк, малышка, сярэдне-цёмны тон скуры
👧🏿	дзева, дзяўчынка, дзяўчынка: цёмны тон скуры, дзіця, жанчына, задыяк, малышка, цёмны тон скуры
🧑	дарослы, дарослы чалавек
🧑🏻	дарослы, дарослы чалавек, дарослы: светлы тон скуры, светлы тон скуры
🧑🏼	дарослы, дарослы чалавек, дарослы: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры
🧑🏽	дарослы, дарослы чалавек, дарослы: сярэдні тон скуры, сярэдні тон скуры
🧑🏾	дарослы, дарослы чалавек, дарослы: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры
🧑🏿	дарослы, дарослы чалавек, дарослы: цёмны тон скуры, цёмны тон скуры
👱	бялявы, бялявы чалавек
👱🏻	бялявы, бялявы чалавек, бялявы чалавек: светлы тон скуры, светлы тон скуры
👱🏼	бялявы, бялявы чалавек, бялявы чалавек: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры
👱🏽	бялявы, бялявы чалавек, бялявы чалавек: сярэдні тон скуры, сярэдні тон скуры
👱🏾	бялявы, бялявы чалавек, бялявы чалавек: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры
👱🏿	бялявы, бялявы чалавек, бялявы чалавек: цёмны тон скуры, цёмны тон скуры
👨	мужчына
👨🏻	мужчына, мужчына: светлы тон скуры, светлы тон скуры
👨🏼	мужчына, мужчына: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры
👨🏽	мужчына, мужчына: сярэдні тон скуры, сярэдні тон скуры
👨🏾	мужчына, мужчына: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры
👨🏿	мужчына, мужчына: цёмны тон скуры, цёмны тон скуры
🧔	барада, чалавек з барадой
🧔🏻	барада, светлы тон скуры, чалавек з барадой, чалавек з барадой: светлы тон скуры
🧔🏼	барада, сярэдне-светлы тон скуры, чалавек з барадой, чалавек з барадой: сярэдне-светлы тон скуры
🧔🏽	барада, сярэдні тон скуры, чалавек з барадой, чалавек з барадой: сярэдні тон скуры
🧔🏾	барада, сярэдне-цёмны тон скуры, чалавек з барадой, чалавек з барадой: сярэдне-цёмны тон скуры
🧔🏿	барада, цёмны тон скуры, чалавек з барадой, чалавек з барадой: цёмны тон скуры
👱‍♂	бландзін, бялявы, бялявы мужчына, мужчына
👱🏻‍♂	бландзін, бялявы, бялявы мужчына: светлы тон скуры, мужчына, светлы тон скуры
👱🏼‍♂	бландзін, бялявы, бялявы мужчына: сярэдне-светлы тон скуры, мужчына, сярэдне-светлы тон скуры
👱🏽‍♂	бландзін, бялявы, бялявы мужчына: сярэдні тон скуры, мужчына, сярэдні тон скуры
👱🏾‍♂	бландзін, бялявы, бялявы мужчына: сярэдне-цёмны тон скуры, мужчына, сярэдне-цёмны тон скуры
👱🏿‍♂	бландзін, бялявы, бялявы мужчына: цёмны тон скуры, мужчына, цёмны тон скуры
👨‍🦰	мужчына, мужчына: рыжыя валасы, рыжыя валасы
👨🏻‍🦰	мужчына, мужчына: светлы тон скуры рыжыя валасы, рыжыя валасы, светлы тон скуры
👨🏼‍🦰	мужчына, мужчына: сярэдне-светлы тон скуры рыжыя валасы, рыжыя валасы, сярэдне-светлы тон скуры
👨🏽‍🦰	мужчына, мужчына: сярэдні тон скуры рыжыя валасы, рыжыя валасы, сярэдні тон скуры
👨🏾‍🦰	мужчына, мужчына: сярэдне-цёмны тон скуры рыжыя валасы, рыжыя валасы, сярэдне-цёмны тон скуры
👨🏿‍🦰	мужчына, мужчына: цёмны тон скуры рыжыя валасы, рыжыя валасы, цёмны тон скуры
👨‍🦱	курчавыя валасы, мужчына, мужчына: курчавыя валасы
👨🏻‍🦱	курчавыя валасы, мужчына, мужчына: светлы тон скуры курчавыя валасы, светлы тон скуры
👨🏼‍🦱	курчавыя валасы, мужчына, мужчына: сярэдне-светлы тон скуры курчавыя валасы, сярэдне-светлы тон скуры
👨🏽‍🦱	курчавыя валасы, мужчына, мужчына: сярэдні тон скуры курчавыя валасы, сярэдні тон скуры
👨🏾‍🦱	курчавыя валасы, мужчына, мужчына: сярэдне-цёмны тон скуры курчавыя валасы, сярэдне-цёмны тон скуры
👨🏿‍🦱	курчавыя валасы, мужчына, мужчына: цёмны тон скуры курчавыя валасы, цёмны тон скуры
👨‍🦳	мужчына, мужчына: сівыя валасы, сівыя валасы
👨🏻‍🦳	мужчына, мужчына: светлы тон скуры сівыя валасы, светлы тон скуры, сівыя валасы
👨🏼‍🦳	мужчына, мужчына: сярэдне-светлы тон скуры сівыя валасы, сярэдне-светлы тон скуры, сівыя валасы
👨🏽‍🦳	мужчына, мужчына: сярэдні тон скуры сівыя валасы, сярэдні тон скуры, сівыя валасы
👨🏾‍🦳	мужчына, мужчына: сярэдне-цёмны тон скуры сівыя валасы, сярэдне-цёмны тон скуры, сівыя валасы
👨🏿‍🦳	мужчына, мужчына: цёмны тон скуры сівыя валасы, сівыя валасы, цёмны тон скуры
👨‍🦲	лысы, мужчына, мужчына: лысы
👨🏻‍🦲	лысы, мужчына, мужчына: светлы тон скуры лысы, светлы тон скуры
👨🏼‍🦲	лысы, мужчына, мужчына: сярэдне-светлы тон скуры лысы, сярэдне-светлы тон скуры
👨🏽‍🦲	лысы, мужчына, мужчына: сярэдні тон скуры лысы, сярэдні тон скуры
👨🏾‍🦲	лысы, мужчына, мужчына: сярэдне-цёмны тон скуры лысы, сярэдне-цёмны тон скуры
👨🏿‍🦲	лысы, мужчына, мужчына: цёмны тон скуры лысы, цёмны тон скуры
👩	жанчына
👩🏻	жанчына, жанчына: светлы тон скуры, светлы тон скуры
👩🏼	жанчына, жанчына: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры
👩🏽	жанчына, жанчына: сярэдні тон скуры, сярэдні тон скуры
👩🏾	жанчына, жанчына: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры
👩🏿	жанчына, жанчына: цёмны тон скуры, цёмны тон скуры
👱‍♀	бландзінка, бялявая, бялявая жанчына, жанчына
👱🏻‍♀	бландзінка, бялявая, бялявая жанчына: светлы тон скуры, жанчына, светлы тон скуры
👱🏼‍♀	бландзінка, бялявая, бялявая жанчына: сярэдне-светлы тон скуры, жанчына, сярэдне-светлы тон скуры
👱🏽‍♀	бландзінка, бялявая, бялявая жанчына: сярэдні тон скуры, жанчына, сярэдні тон скуры
👱🏾‍♀	бландзінка, бялявая, бялявая жанчына: сярэдне-цёмны тон скуры, жанчына, сярэдне-цёмны тон скуры
👱🏿‍♀	бландзінка, бялявая, бялявая жанчына: цёмны тон скуры, жанчына, цёмны тон скуры
👩‍🦰	жанчына, жанчына: рыжыя валасы, рыжыя валасы
👩🏻‍🦰	жанчына, жанчына: светлы тон скуры рыжыя валасы, рыжыя валасы, светлы тон скуры
👩🏼‍🦰	жанчына, жанчына: сярэдне-светлы тон скуры рыжыя валасы, рыжыя валасы, сярэдне-светлы тон скуры
👩🏽‍🦰	жанчына, жанчына: сярэдні тон скуры рыжыя валасы, рыжыя валасы, сярэдні тон скуры
👩🏾‍🦰	жанчына, жанчына: сярэдне-цёмны тон скуры рыжыя валасы, рыжыя валасы, сярэдне-цёмны тон скуры
👩🏿‍🦰	жанчына, жанчына: цёмны тон скуры рыжыя валасы, рыжыя валасы, цёмны тон скуры
👩‍🦱	жанчына, жанчына: курчавыя валасы, курчавыя валасы
👩🏻‍🦱	жанчына, жанчына: светлы тон скуры курчавыя валасы, курчавыя валасы, светлы тон скуры
👩🏼‍🦱	жанчына, жанчына: сярэдне-светлы тон скуры курчавыя валасы, курчавыя валасы, сярэдне-светлы тон скуры
👩🏽‍🦱	жанчына, жанчына: сярэдні тон скуры курчавыя валасы, курчавыя валасы, сярэдні тон скуры
👩🏾‍🦱	жанчына, жанчына: сярэдне-цёмны тон скуры курчавыя валасы, курчавыя валасы, сярэдне-цёмны тон скуры
👩🏿‍🦱	жанчына, жанчына: цёмны тон скуры курчавыя валасы, курчавыя валасы, цёмны тон скуры
👩‍🦳	жанчына, жанчына: сівыя валасы, сівыя валасы
👩🏻‍🦳	жанчына, жанчына: светлы тон скуры сівыя валасы, светлы тон скуры, сівыя валасы
👩🏼‍🦳	жанчына, жанчына: сярэдне-светлы тон скуры сівыя валасы, сярэдне-светлы тон скуры, сівыя валасы
👩🏽‍🦳	жанчына, жанчына: сярэдні тон скуры сівыя валасы, сярэдні тон скуры, сівыя валасы
👩🏾‍🦳	жанчына, жанчына: сярэдне-цёмны тон скуры сівыя валасы, сярэдне-цёмны тон скуры, сівыя валасы
👩🏿‍🦳	жанчына, жанчына: цёмны тон скуры сівыя валасы, сівыя валасы, цёмны тон скуры
👩‍🦲	жанчына, жанчына: лысы, лысы
👩🏻‍🦲	жанчына, жанчына: светлы тон скуры лысы, лысы, светлы тон скуры
👩🏼‍🦲	жанчына, жанчына: сярэдне-светлы тон скуры лысы, лысы, сярэдне-светлы тон скуры
👩🏽‍🦲	жанчына, жанчына: сярэдні тон скуры лысы, лысы, сярэдні тон скуры
👩🏾‍🦲	жанчына, жанчына: сярэдне-цёмны тон скуры лысы, лысы, сярэдне-цёмны тон скуры
👩🏿‍🦲	жанчына, жанчына: цёмны тон скуры лысы, лысы, цёмны тон скуры
🧓	стары, чалавек сталага ўзросту
🧓🏻	светлы тон скуры, стары, стары: светлы тон скуры, чалавек сталага ўзросту
🧓🏼	стары, стары: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры, чалавек сталага ўзросту
🧓🏽	стары, стары: сярэдні тон скуры, сярэдні тон скуры, чалавек сталага ўзросту
🧓🏾	стары, стары: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры, чалавек сталага ўзросту
🧓🏿	стары, стары: цёмны тон скуры, цёмны тон скуры, чалавек сталага ўзросту
👴	дзядуля, мужчына, стары
👴🏻	дзядуля, дзядуля: светлы тон скуры, мужчына, светлы тон скуры, стары
👴🏼	дзядуля, дзядуля: сярэдне-светлы тон скуры, мужчына, стары, сярэдне-светлы тон скуры
👴🏽	дзядуля, дзядуля: сярэдні тон скуры, мужчына, стары, сярэдні тон скуры
👴🏾	дзядуля, дзядуля: сярэдне-цёмны тон скуры, мужчына, стары, сярэдне-цёмны тон скуры
👴🏿	дзядуля, дзядуля: цёмны тон скуры, мужчына, стары, цёмны тон скуры
👵	бабуля, жанчына, старая
👵🏻	бабуля, бабуля: светлы тон скуры, жанчына, светлы тон скуры, старая
👵🏼	бабуля, бабуля: сярэдне-светлы тон скуры, жанчына, старая, сярэдне-светлы тон скуры
👵🏽	бабуля, бабуля: сярэдні тон скуры, жанчына, старая, сярэдні тон скуры
👵🏾	бабуля, бабуля: сярэдне-цёмны тон скуры, жанчына, старая, сярэдне-цёмны тон скуры
👵🏿	бабуля, бабуля: цёмны тон скуры, жанчына, старая, цёмны тон скуры
🙍	жэст, засмуціцца, засмучаны чалавек
🙍🏻	жэст, засмуціцца, засмучаны чалавек, засмучаны чалавек: светлы тон скуры, светлы тон скуры
🙍🏼	жэст, засмуціцца, засмучаны чалавек, засмучаны чалавек: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры
🙍🏽	жэст, засмуціцца, засмучаны чалавек, засмучаны чалавек: сярэдні тон скуры, сярэдні тон скуры
🙍🏾	жэст, засмуціцца, засмучаны чалавек, засмучаны чалавек: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры
🙍🏿	жэст, засмуціцца, засмучаны чалавек, засмучаны чалавек: цёмны тон скуры, цёмны тон скуры
🙍‍♂	жэст, засмучаны, засмучаны мужчына, мужчына
🙍🏻‍♂	жэст, засмучаны, засмучаны мужчына: светлы тон скуры, мужчына, светлы тон скуры
🙍🏼‍♂	жэст, засмучаны, засмучаны мужчына: сярэдне-светлы тон скуры, мужчына, сярэдне-светлы тон скуры
🙍🏽‍♂	жэст, засмучаны, засмучаны мужчына: сярэдні тон скуры, мужчына, сярэдні тон скуры
🙍🏾‍♂	жэст, засмучаны, засмучаны мужчына: сярэдне-цёмны тон скуры, мужчына, сярэдне-цёмны тон скуры
🙍🏿‍♂	жэст, засмучаны, засмучаны мужчына: цёмны тон скуры, мужчына, цёмны тон скуры
🙍‍♀	жанчына, жэст, засмучаная, засмучаная жанчына
🙍🏻‍♀	жанчына, жэст, засмучаная, засмучаная жанчына: светлы тон скуры, светлы тон скуры
🙍🏼‍♀	жанчына, жэст, засмучаная, засмучаная жанчына: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры
🙍🏽‍♀	жанчына, жэст, засмучаная, засмучаная жанчына: сярэдні тон скуры, сярэдні тон скуры
🙍🏾‍♀	жанчына, жэст, засмучаная, засмучаная жанчына: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры
🙍🏿‍♀	жанчына, жэст, засмучаная, засмучаная жанчына: цёмны тон скуры, цёмны тон скуры
🙎	жэст, крыўда, надзьмуты, надзьмуты чалавек
🙎🏻	жэст, крыўда, надзьмуты, надзьмуты чалавек, надзьмуты чалавек: светлы тон скуры, светлы тон скуры
🙎🏼	жэст, крыўда, надзьмуты, надзьмуты чалавек, надзьмуты чалавек: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры
🙎🏽	жэст, крыўда, надзьмуты, надзьмуты чалавек, надзьмуты чалавек: сярэдні тон скуры, сярэдні тон скуры
🙎🏾	жэст, крыўда, надзьмуты, надзьмуты чалавек, надзьмуты чалавек: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры
🙎🏿	жэст, крыўда, надзьмуты, надзьмуты чалавек, надзьмуты чалавек: цёмны тон скуры, цёмны тон скуры
🙎‍♂	жэст, крыўда, мужчына, надзьмуты, надзьмуты мужчына
🙎🏻‍♂	жэст, крыўда, мужчына, надзьмуты, надзьмуты мужчына: светлы тон скуры, светлы тон скуры
🙎🏼‍♂	жэст, крыўда, мужчына, надзьмуты, надзьмуты мужчына: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры
🙎🏽‍♂	жэст, крыўда, мужчына, надзьмуты, надзьмуты мужчына: сярэдні тон скуры, сярэдні тон скуры
🙎🏾‍♂	жэст, крыўда, мужчына, надзьмуты, надзьмуты мужчына: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры
🙎🏿‍♂	жэст, крыўда, мужчына, надзьмуты, надзьмуты мужчына: цёмны тон скуры, цёмны тон скуры
🙎‍♀	жанчына, жэст, крыўда, надзьмутая, надзьмутая жанчына
🙎🏻‍♀	жанчына, жэст, крыўда, надзьмутая, надзьмутая жанчына: светлы тон скуры, светлы тон скуры
🙎🏼‍♀	жанчына, жэст, крыўда, надзьмутая, надзьмутая жанчына: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры
🙎🏽‍♀	жанчына, жэст, крыўда, надзьмутая, надзьмутая жанчына: сярэдні тон скуры, сярэдні тон скуры
🙎🏾‍♀	жанчына, жэст, крыўда, надзьмутая, надзьмутая жанчына: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры
🙎🏿‍♀	жанчына, жэст, крыўда, надзьмутая, надзьмутая жанчына: цёмны тон скуры, цёмны тон скуры
🙅	жэст, забаронена, рука, супраць, чалавек супраць
🙅🏻	жэст, забаронена, рука, светлы тон скуры, супраць, чалавек супраць, чалавек супраць: светлы тон скуры
🙅🏼	жэст, забаронена, рука, супраць, сярэдне-светлы тон скуры, чалавек супраць, чалавек супраць: сярэдне-светлы тон скуры
🙅🏽	жэст, забаронена, рука, супраць, сярэдні тон скуры, чалавек супраць, чалавек супраць: сярэдні тон скуры
🙅🏾	жэст, забаронена, рука, супраць, сярэдне-цёмны тон скуры, чалавек супраць, чалавек супраць: сярэдне-цёмны тон скуры
🙅🏿	жэст, забаронена, рука, супраць, цёмны тон скуры, чалавек супраць, чалавек супраць: цёмны тон скуры
🙅‍♂	жэст, мужчына, мужчына супраць, нязгода, супраць
🙅🏻‍♂	жэст, мужчына, мужчына супраць: светлы тон скуры, нязгода, светлы тон скуры, супраць
🙅🏼‍♂	жэст, мужчына, мужчына супраць: сярэдне-светлы тон скуры, нязгода, супраць, сярэдне-светлы тон скуры
🙅🏽‍♂	жэст, мужчына, мужчына супраць: сярэдні тон скуры, нязгода, супраць, сярэдні тон скуры
🙅🏾‍♂	жэст, мужчына, мужчына супраць: сярэдне-цёмны тон скуры, нязгода, супраць, сярэдне-цёмны тон скуры
🙅🏿‍♂	жэст, мужчына, мужчына супраць: цёмны тон скуры, нязгода, супраць, цёмны тон скуры
🙅‍♀	жанчына, жанчына супраць, жэст, нязгода, супраць
🙅🏻‍♀	жанчына, жанчына супраць: светлы тон скуры, жэст, нязгода, светлы тон скуры, супраць
🙅🏼‍♀	жанчына, жанчына супраць: сярэдне-светлы тон скуры, жэст, нязгода, супраць, сярэдне-светлы тон скуры
🙅🏽‍♀	жанчына, жанчына супраць: сярэдні тон скуры, жэст, нязгода, супраць, сярэдні тон скуры
🙅🏾‍♀	жанчына, жанчына супраць: сярэдне-цёмны тон скуры, жэст, нязгода, супраць, сярэдне-цёмны тон скуры
🙅🏿‍♀	жанчына, жанчына супраць: цёмны тон скуры, жэст, нязгода, супраць, цёмны тон скуры
🙆	добра, жэст, згода, ок, чалавек за
🙆🏻	добра, жэст, згода, ок, светлы тон скуры, чалавек за, чалавек за: светлы тон скуры
🙆🏼	добра, жэст, згода, ок, сярэдне-светлы тон скуры, чалавек за, чалавек за: сярэдне-светлы тон скуры
🙆🏽	добра, жэст, згода, ок, сярэдні тон скуры, чалавек за, чалавек за: сярэдні тон скуры
🙆🏾	добра, жэст, згода, ок, сярэдне-цёмны тон скуры, чалавек за, чалавек за: сярэдне-цёмны тон скуры
🙆🏿	добра, жэст, згода, ок, цёмны тон скуры, чалавек за, чалавек за: цёмны тон скуры
🙆‍♂	добра, жэст, мужчына, мужчына за, ок
🙆🏻‍♂	добра, жэст, мужчына, мужчына за, мужчына за: светлы тон скуры, ок, светлы тон скуры
🙆🏼‍♂	добра, жэст, мужчына, мужчына за, мужчына за: сярэдне-светлы тон скуры, ок, сярэдне-светлы тон скуры
🙆🏽‍♂	добра, жэст, мужчына, мужчына за, мужчына за: сярэдні тон скуры, ок, сярэдні тон скуры
🙆🏾‍♂	добра, жэст, мужчына, мужчына за, мужчына за: сярэдне-цёмны тон скуры, ок, сярэдне-цёмны тон скуры
🙆🏿‍♂	добра, жэст, мужчына, мужчына за, мужчына за: цёмны тон скуры, ок, цёмны тон скуры
🙆‍♀	добра, жанчына, жанчына за, жэст, ок
🙆🏻‍♀	добра, жанчына, жанчына за, жанчына за: светлы тон скуры, жэст, ок, светлы тон скуры
🙆🏼‍♀	добра, жанчына, жанчына за, жанчына за: сярэдне-светлы тон скуры, жэст, ок, сярэдне-светлы тон скуры
🙆🏽‍♀	добра, жанчына, жанчына за, жанчына за: сярэдні тон скуры, жэст, ок, сярэдні тон скуры
🙆🏾‍♀	добра, жанчына, жанчына за, жанчына за: сярэдне-цёмны тон скуры, жэст, ок, сярэдне-цёмны тон скуры
🙆🏿‍♀	добра, жанчына, жанчына за, жанчына за: цёмны тон скуры, жэст, ок, цёмны тон скуры
💁	дапамога, дзёрзкі, рука, чалавек працягвае руку, інфармацыя
💁🏻	дапамога, дзёрзкі, рука, светлы тон скуры, чалавек працягвае руку, чалавек працягвае руку: светлы тон скуры, інфармацыя
💁🏼	дапамога, дзёрзкі, рука, сярэдне-светлы тон скуры, чалавек працягвае руку, чалавек працягвае руку: сярэдне-светлы тон скуры, інфармацыя
💁🏽	дапамога, дзёрзкі, рука, сярэдні тон скуры, чалавек працягвае руку, чалавек працягвае руку: сярэдні тон скуры, інфармацыя
💁🏾	дапамога, дзёрзкі, рука, сярэдне-цёмны тон скуры, чалавек працягвае руку, чалавек працягвае руку: сярэдне-цёмны тон скуры, інфармацыя
💁🏿	дапамога, дзёрзкі, рука, цёмны тон скуры, чалавек працягвае руку, чалавек працягвае руку: цёмны тон скуры, інфармацыя
💁‍♂	дзёрзкі, мужчына, мужчына працягвае руку, працягвае руку
💁🏻‍♂	дзёрзкі, мужчына, мужчына працягвае руку, мужчына працягвае руку: светлы тон скуры, працягвае руку, светлы тон скуры
💁🏼‍♂	дзёрзкі, мужчына, мужчына працягвае руку, мужчына працягвае руку: сярэдне-светлы тон скуры, працягвае руку, сярэдне-светлы тон скуры
💁🏽‍♂	дзёрзкі, мужчына, мужчына працягвае руку, мужчына працягвае руку: сярэдні тон скуры, працягвае руку, сярэдні тон скуры
💁🏾‍♂	дзёрзкі, мужчына, мужчына працягвае руку, мужчына працягвае руку: сярэдне-цёмны тон скуры, працягвае руку, сярэдне-цёмны тон скуры
💁🏿‍♂	дзёрзкі, мужчына, мужчына працягвае руку, мужчына працягвае руку: цёмны тон скуры, працягвае руку, цёмны тон скуры
💁‍♀	дзёрзкая, жанчына, жанчына працягвае руку, працягвае руку
💁🏻‍♀	дзёрзкая, жанчына, жанчына працягвае руку, жанчына працягвае руку: светлы тон скуры, працягвае руку, светлы тон скуры
💁🏼‍♀	дзёрзкая, жанчына, жанчына працягвае руку, жанчына працягвае руку: сярэдне-светлы тон скуры, працягвае руку, сярэдне-светлы тон скуры
💁🏽‍♀	дзёрзкая, жанчына, жанчына працягвае руку, жанчына працягвае руку: сярэдні тон скуры, працягвае руку, сярэдні тон скуры
💁🏾‍♀	дзёрзкая, жанчына, жанчына працягвае руку, жанчына працягвае руку: сярэдне-цёмны тон скуры, працягвае руку, сярэдне-цёмны тон скуры
💁🏿‍♀	дзёрзкая, жанчына, жанчына працягвае руку, жанчына працягвае руку: цёмны тон скуры, працягвае руку, цёмны тон скуры
🙋	жэст, паднятая рука, рука, чалавек цягне руку, шчаслівы
🙋🏻	жэст, паднятая рука, рука, светлы тон скуры, чалавек цягне руку, чалавек цягне руку: светлы тон скуры, шчаслівы
🙋🏼	жэст, паднятая рука, рука, сярэдне-светлы тон скуры, чалавек цягне руку, чалавек цягне руку: сярэдне-светлы тон скуры, шчаслівы
🙋🏽	жэст, паднятая рука, рука, сярэдні тон скуры, чалавек цягне руку, чалавек цягне руку: сярэдні тон скуры, шчаслівы
🙋🏾	жэст, паднятая рука, рука, сярэдне-цёмны тон скуры, чалавек цягне руку, чалавек цягне руку: сярэдне-цёмны тон скуры, шчаслівы
🙋🏿	жэст, паднятая рука, рука, цёмны тон скуры, чалавек цягне руку, чалавек цягне руку: цёмны тон скуры, шчаслівы
🙋‍♂	жэст, мужчына, мужчына цягне руку, цягне руку
🙋🏻‍♂	жэст, мужчына, мужчына цягне руку, мужчына цягне руку: светлы тон скуры, светлы тон скуры, цягне руку
🙋🏼‍♂	жэст, мужчына, мужчына цягне руку, мужчына цягне руку: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры, цягне руку
🙋🏽‍♂	жэст, мужчына, мужчына цягне руку, мужчына цягне руку: сярэдні тон скуры, сярэдні тон скуры, цягне руку
🙋🏾‍♂	жэст, мужчына, мужчына цягне руку, мужчына цягне руку: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры, цягне руку
🙋🏿‍♂	жэст, мужчына, мужчына цягне руку, мужчына цягне руку: цёмны тон скуры, цягне руку, цёмны тон скуры
🙋‍♀	жанчына, жанчына цягне руку, жэст, цягне руку
🙋🏻‍♀	жанчына, жанчына цягне руку, жанчына цягне руку: светлы тон скуры, жэст, светлы тон скуры, цягне руку
🙋🏼‍♀	жанчына, жанчына цягне руку, жанчына цягне руку: сярэдне-светлы тон скуры, жэст, сярэдне-светлы тон скуры, цягне руку
🙋🏽‍♀	жанчына, жанчына цягне руку, жанчына цягне руку: сярэдні тон скуры, жэст, сярэдні тон скуры, цягне руку
🙋🏾‍♀	жанчына, жанчына цягне руку, жанчына цягне руку: сярэдне-цёмны тон скуры, жэст, сярэдне-цёмны тон скуры, цягне руку
🙋🏿‍♀	жанчына, жанчына цягне руку, жанчына цягне руку: цёмны тон скуры, жэст, цягне руку, цёмны тон скуры
🧏	вуха, глухі, глухі чалавек, даступнасць, слых
🧏🏻	вуха, глухі, глухі чалавек, глухі чалавек: светлы тон скуры, даступнасць, светлы тон скуры, слых
🧏🏼	вуха, глухі, глухі чалавек, глухі чалавек: сярэдне-светлы тон скуры, даступнасць, слых, сярэдне-светлы тон скуры
🧏🏽	вуха, глухі, глухі чалавек, глухі чалавек: сярэдні тон скуры, даступнасць, слых, сярэдні тон скуры
🧏🏾	вуха, глухі, глухі чалавек, глухі чалавек: сярэдне-цёмны тон скуры, даступнасць, слых, сярэдне-цёмны тон скуры
🧏🏿	вуха, глухі, глухі чалавек, глухі чалавек: цёмны тон скуры, даступнасць, слых, цёмны тон скуры
🧏‍♂	глухі, глухі мужчына, мужчына
🧏🏻‍♂	глухі, глухі мужчына: светлы тон скуры, мужчына, светлы тон скуры
🧏🏼‍♂	глухі, глухі мужчына: сярэдне-светлы тон скуры, мужчына, сярэдне-светлы тон скуры
🧏🏽‍♂	глухі, глухі мужчына: сярэдні тон скуры, мужчына, сярэдні тон скуры
🧏🏾‍♂	глухі, глухі мужчына: сярэдне-цёмны тон скуры, мужчына, сярэдне-цёмны тон скуры
🧏🏿‍♂	глухі, глухі мужчына: цёмны тон скуры, мужчына, цёмны тон скуры
🧏‍♀	глухая, глухая жанчына, жанчына
🧏🏻‍♀	глухая, глухая жанчына: светлы тон скуры, жанчына, светлы тон скуры
🧏🏼‍♀	глухая, глухая жанчына: сярэдне-светлы тон скуры, жанчына, сярэдне-светлы тон скуры
🧏🏽‍♀	глухая, глухая жанчына: сярэдні тон скуры, жанчына, сярэдні тон скуры
🧏🏾‍♀	глухая, глухая жанчына: сярэдне-цёмны тон скуры, жанчына, сярэдне-цёмны тон скуры
🧏🏿‍♀	глухая, глухая жанчына: цёмны тон скуры, жанчына, цёмны тон скуры
🙇	выбачэнне, кланяцца, прабач, чалавек кланяецца
🙇🏻	выбачэнне, кланяцца, прабач, светлы тон скуры, чалавек кланяецца, чалавек кланяецца: светлы тон скуры
🙇🏼	выбачэнне, кланяцца, прабач, сярэдне-светлы тон скуры, чалавек кланяецца, чалавек кланяецца: сярэдне-светлы тон скуры
