😀	ಮುಖ, ಹಾಸ್ಯ, ಹಾಸ್ಯದ ಮುಖ
🙅🏾	ಇಲ್ಲ, ಇಲ್ಲ ಹೇಳುತ್ತಿರುವುದು, ಇಲ್ಲ ಹೇಳುತ್ತಿರುವುದು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಯಾವುದು ಉತ್ತಮವಾಗಿಲ್ಲ
🙅🏿	ಇಲ್ಲ, ಇಲ್ಲ ಹೇಳುತ್ತಿರುವುದು, ಇಲ್ಲ ಹೇಳುತ್ತಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಯಾವುದು ಉತ್ತಮವಾಗಿಲ್ಲ
🙅‍♂	ಇಲ್ಲ ಎನ್ನುತ್ತಿರುವ ಪುರುಷ, ಕೈ, ನಿಷೇಧಿತ, ಪುರುಷ, ಸರಿಯಿಲ್ಲ
🙅🏻‍♂	ಇಲ್ಲ ಎನ್ನುತ್ತಿರುವ ಪುರುಷ, ಇಲ್ಲ ಎನ್ನುತ್ತಿರುವ ಪುರುಷ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಕೈ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ನಿಷೇಧಿತ, ಪುರುಷ, ಸರಿಯಿಲ್ಲ
🙅🏼‍♂	ಇಲ್ಲ ಎನ್ನುತ್ತಿರುವ ಪುರುಷ, ಇಲ್ಲ ಎನ್ನುತ್ತಿರುವ ಪುರುಷ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಕೈ, ನಿಷೇಧಿತ, ಪುರುಷ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸರಿಯಿಲ್ಲ
🙅🏽‍♂	ಇಲ್ಲ ಎನ್ನುತ್ತಿರುವ ಪುರುಷ, ಇಲ್ಲ ಎನ್ನುತ್ತಿರುವ ಪುರುಷ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಕೈ, ನಿಷೇಧಿತ, ಪುರುಷ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಸರಿಯಿಲ್ಲ
🙅🏾‍♂	ಇಲ್ಲ ಎನ್ನುತ್ತಿರುವ ಪುರುಷ, ಇಲ್ಲ ಎನ್ನುತ್ತಿರುವ ಪುರುಷ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಕೈ, ನಿಷೇಧಿತ, ಪುರುಷ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸರಿಯಿಲ್ಲ
🙅🏿‍♂	ಇಲ್ಲ ಎನ್ನುತ್ತಿರುವ ಪುರುಷ, ಇಲ್ಲ ಎನ್ನುತ್ತಿರುವ ಪುರುಷ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಕೈ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ನಿಷೇಧಿತ, ಪುರುಷ, ಸರಿಯಿಲ್ಲ
🙅‍♀	ಇಲ್ಲ ಎನ್ನುತ್ತಿರುವ ಮಹಿಳೆ, ಕೈ, ನಿಷೇಧಿತ, ಮಹಿಳೆ, ಸರಿಯಿಲ್ಲ
🙅🏻‍♀	ಇಲ್ಲ ಎನ್ನುತ್ತಿರುವ ಮಹಿಳೆ, ಇಲ್ಲ ಎನ್ನುತ್ತಿರುವ ಮಹಿಳೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಕೈ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ನಿಷೇಧಿತ, ಮಹಿಳೆ, ಸರಿಯಿಲ್ಲ
🙅🏼‍♀	ಇಲ್ಲ ಎನ್ನುತ್ತಿರುವ ಮಹಿಳೆ, ಇಲ್ಲ ಎನ್ನುತ್ತಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಕೈ, ನಿಷೇಧಿತ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಸರಿಯಿಲ್ಲ
🙅🏽‍♀	ಇಲ್ಲ ಎನ್ನುತ್ತಿರುವ ಮಹಿಳೆ, ಇಲ್ಲ ಎನ್ನುತ್ತಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಕೈ, ನಿಷೇಧಿತ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಸರಿಯಿಲ್ಲ
🙅🏾‍♀	ಇಲ್ಲ ಎನ್ನುತ್ತಿರುವ ಮಹಿಳೆ, ಇಲ್ಲ ಎನ್ನುತ್ತಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಕೈ, ನಿಷೇಧಿತ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಸರಿಯಿಲ್ಲ
🙅🏿‍♀	ಇಲ್ಲ ಎನ್ನುತ್ತಿರುವ ಮಹಿಳೆ, ಇಲ್ಲ ಎನ್ನುತ್ತಿರುವ ಮಹಿಳೆ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಕೈ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ನಿಷೇಧಿತ, ಮಹಿಳೆ, ಸರಿಯಿಲ್ಲ
🙆	ಸರಿ, ಸರಿ ಸೂಚಕ, ಸರಿ ಹೇಳುತ್ತಿರುವುದು
🙆🏻	ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸರಿ, ಸರಿ ಸೂಚಕ, ಸರಿ ಹೇಳುತ್ತಿರುವುದು, ಸರಿ ಹೇಳುತ್ತಿರುವುದು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙆🏼	ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸರಿ, ಸರಿ ಸೂಚಕ, ಸರಿ ಹೇಳುತ್ತಿರುವುದು, ಸರಿ ಹೇಳುತ್ತಿರುವುದು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙆🏽	ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಸರಿ, ಸರಿ ಸೂಚಕ, ಸರಿ ಹೇಳುತ್ತಿರುವುದು, ಸರಿ ಹೇಳುತ್ತಿರುವುದು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🙆🏾	ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸರಿ, ಸರಿ ಸೂಚಕ, ಸರಿ ಹೇಳುತ್ತಿರುವುದು, ಸರಿ ಹೇಳುತ್ತಿರುವುದು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🙆🏿	ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸರಿ, ಸರಿ ಸೂಚಕ, ಸರಿ ಹೇಳುತ್ತಿರುವುದು, ಸರಿ ಹೇಳುತ್ತಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🙆‍♂	ಅಂಗ ಸನ್ನೆ, ಕೈ, ಪುರುಷ, ಸರಿ, ಸರಿ ಎನ್ನುತ್ತಿರುವ ಪುರುಷ
🙆🏻‍♂	ಅಂಗ ಸನ್ನೆ, ಕೈ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಪುರುಷ, ಸರಿ, ಸರಿ ಎನ್ನುತ್ತಿರುವ ಪುರುಷ, ಸರಿ ಎನ್ನುತ್ತಿರುವ ಪುರುಷ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙆🏼‍♂	ಅಂಗ ಸನ್ನೆ, ಕೈ, ಪುರುಷ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸರಿ, ಸರಿ ಎನ್ನುತ್ತಿರುವ ಪುರುಷ, ಸರಿ ಎನ್ನುತ್ತಿರುವ ಪುರುಷ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙆🏽‍♂	ಅಂಗ ಸನ್ನೆ, ಕೈ, ಪುರುಷ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಸರಿ, ಸರಿ ಎನ್ನುತ್ತಿರುವ ಪುರುಷ, ಸರಿ ಎನ್ನುತ್ತಿರುವ ಪುರುಷ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🙆🏾‍♂	ಅಂಗ ಸನ್ನೆ, ಕೈ, ಪುರುಷ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸರಿ, ಸರಿ ಎನ್ನುತ್ತಿರುವ ಪುರುಷ, ಸರಿ ಎನ್ನುತ್ತಿರುವ ಪುರುಷ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🙆🏿‍♂	ಅಂಗ ಸನ್ನೆ, ಕೈ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಪುರುಷ, ಸರಿ, ಸರಿ ಎನ್ನುತ್ತಿರುವ ಪುರುಷ, ಸರಿ ಎನ್ನುತ್ತಿರುವ ಪುರುಷ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🙆‍♀	ಅಂಗ ಸನ್ನೆ, ಕೈ, ಮಹಿಳೆ, ಸರಿ, ಸರಿ ಎನ್ನುತ್ತಿರುವ ಸ್ತ್ರೀ
🙆🏻‍♀	ಅಂಗ ಸನ್ನೆ, ಕೈ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಸರಿ, ಸರಿ ಎನ್ನುತ್ತಿರುವ ಸ್ತ್ರೀ, ಸರಿ ಎನ್ನುತ್ತಿರುವ ಸ್ತ್ರೀ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙆🏼‍♀	ಅಂಗ ಸನ್ನೆ, ಕೈ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಸರಿ, ಸರಿ ಎನ್ನುತ್ತಿರುವ ಸ್ತ್ರೀ, ಸರಿ ಎನ್ನುತ್ತಿರುವ ಸ್ತ್ರೀ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙆🏽‍♀	ಅಂಗ ಸನ್ನೆ, ಕೈ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಸರಿ, ಸರಿ ಎನ್ನುತ್ತಿರುವ ಸ್ತ್ರೀ, ಸರಿ ಎನ್ನುತ್ತಿರುವ ಸ್ತ್ರೀ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🙆🏾‍♀	ಅಂಗ ಸನ್ನೆ, ಕೈ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಸರಿ, ಸರಿ ಎನ್ನುತ್ತಿರುವ ಸ್ತ್ರೀ, ಸರಿ ಎನ್ನುತ್ತಿರುವ ಸ್ತ್ರೀ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🙆🏿‍♀	ಅಂಗ ಸನ್ನೆ, ಕೈ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಸರಿ, ಸರಿ ಎನ್ನುತ್ತಿರುವ ಸ್ತ್ರೀ, ಸರಿ ಎನ್ನುತ್ತಿರುವ ಸ್ತ್ರೀ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
💁	ಕೈ, ಮಾಹಿತಿ ಡೆಸ್ಕ್ ವ್ಯಕ್ತಿ, ಸಹಾಯ
💁🏻	ಕೈ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಾಹಿತಿ ಡೆಸ್ಕ್ ವ್ಯಕ್ತಿ, ಮಾಹಿತಿ ಡೆಸ್ಕ್ ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸಹಾಯ
💁🏼	ಕೈ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಾಹಿತಿ ಡೆಸ್ಕ್ ವ್ಯಕ್ತಿ, ಮಾಹಿತಿ ಡೆಸ್ಕ್ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸಹಾಯ
💁🏽	ಕೈ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಾಹಿತಿ ಡೆಸ್ಕ್ ವ್ಯಕ್ತಿ, ಮಾಹಿತಿ ಡೆಸ್ಕ್ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಸಹಾಯ
💁🏾	ಕೈ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಾಹಿತಿ ಡೆಸ್ಕ್ ವ್ಯಕ್ತಿ, ಮಾಹಿತಿ ಡೆಸ್ಕ್ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸಹಾಯ
💁🏿	ಕೈ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಾಹಿತಿ ಡೆಸ್ಕ್ ವ್ಯಕ್ತಿ, ಮಾಹಿತಿ ಡೆಸ್ಕ್ ವ್ಯಕ್ತಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸಹಾಯ
💁‍♂	ಉದ್ಧಟತನ, ಕೈ ತೋರಿಸುತ್ತಿರುವ ಪುರುಷ, ಪುರುಷ
💁🏻‍♂	ಉದ್ಧಟತನ, ಕೈ ತೋರಿಸುತ್ತಿರುವ ಪುರುಷ, ಕೈ ತೋರಿಸುತ್ತಿರುವ ಪುರುಷ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಪುರುಷ
💁🏼‍♂	ಉದ್ಧಟತನ, ಕೈ ತೋರಿಸುತ್ತಿರುವ ಪುರುಷ, ಕೈ ತೋರಿಸುತ್ತಿರುವ ಪುರುಷ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಪುರುಷ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
💁🏽‍♂	ಉದ್ಧಟತನ, ಕೈ ತೋರಿಸುತ್ತಿರುವ ಪುರುಷ, ಕೈ ತೋರಿಸುತ್ತಿರುವ ಪುರುಷ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಪುರುಷ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
💁🏾‍♂	ಉದ್ಧಟತನ, ಕೈ ತೋರಿಸುತ್ತಿರುವ ಪುರುಷ, ಕೈ ತೋರಿಸುತ್ತಿರುವ ಪುರುಷ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಪುರುಷ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
💁🏿‍♂	ಉದ್ಧಟತನ, ಕೈ ತೋರಿಸುತ್ತಿರುವ ಪುರುಷ, ಕೈ ತೋರಿಸುತ್ತಿರುವ ಪುರುಷ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಪುರುಷ
💁‍♀	ಉದ್ಧಟತನ, ಕೈ ತೋರಿಸುತ್ತಿರುವ ಸ್ತ್ರೀ, ಮಹಿಳೆ, ಸ್ತ್ರೀ
💁🏻‍♀	ಉದ್ಧಟತನ, ಕೈ ತೋರಿಸುತ್ತಿರುವ ಸ್ತ್ರೀ, ಕೈ ತೋರಿಸುತ್ತಿರುವ ಸ್ತ್ರೀ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಸ್ತ್ರೀ
💁🏼‍♀	ಉದ್ಧಟತನ, ಕೈ ತೋರಿಸುತ್ತಿರುವ ಸ್ತ್ರೀ, ಕೈ ತೋರಿಸುತ್ತಿರುವ ಸ್ತ್ರೀ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಸ್ತ್ರೀ
💁🏽‍♀	ಉದ್ಧಟತನ, ಕೈ ತೋರಿಸುತ್ತಿರುವ ಸ್ತ್ರೀ, ಕೈ ತೋರಿಸುತ್ತಿರುವ ಸ್ತ್ರೀ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಸ್ತ್ರೀ
💁🏾‍♀	ಉದ್ಧಟತನ, ಕೈ ತೋರಿಸುತ್ತಿರುವ ಸ್ತ್ರೀ, ಕೈ ತೋರಿಸುತ್ತಿರುವ ಸ್ತ್ರೀ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಸ್ತ್ರೀ
💁🏿‍♀	ಉದ್ಧಟತನ, ಕೈ ತೋರಿಸುತ್ತಿರುವ ಸ್ತ್ರೀ, ಕೈ ತೋರಿಸುತ್ತಿರುವ ಸ್ತ್ರೀ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಸ್ತ್ರೀ
🙋	ಪೋಷಿಸುವ ಕೈ, ಸಂತೋಷದ ವ್ಯಕ್ತಿ, ಸಂತೋಷದಿಂದ ಕೈ ಎತ್ತುತ್ತಿರುವುದು
🙋🏻	ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಪೋಷಿಸುವ ಕೈ, ಸಂತೋಷದ ವ್ಯಕ್ತಿ, ಸಂತೋಷದಿಂದ ಕೈ ಎತ್ತುತ್ತಿರುವುದು, ಸಂತೋಷದಿಂದ ಕೈ ಎತ್ತುತ್ತಿರುವುದು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙋🏼	ಪೋಷಿಸುವ ಕೈ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸಂತೋಷದ ವ್ಯಕ್ತಿ, ಸಂತೋಷದಿಂದ ಕೈ ಎತ್ತುತ್ತಿರುವುದು, ಸಂತೋಷದಿಂದ ಕೈ ಎತ್ತುತ್ತಿರುವುದು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙋🏽	ಪೋಷಿಸುವ ಕೈ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಸಂತೋಷದ ವ್ಯಕ್ತಿ, ಸಂತೋಷದಿಂದ ಕೈ ಎತ್ತುತ್ತಿರುವುದು, ಸಂತೋಷದಿಂದ ಕೈ ಎತ್ತುತ್ತಿರುವುದು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🙋🏾	ಪೋಷಿಸುವ ಕೈ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸಂತೋಷದ ವ್ಯಕ್ತಿ, ಸಂತೋಷದಿಂದ ಕೈ ಎತ್ತುತ್ತಿರುವುದು, ಸಂತೋಷದಿಂದ ಕೈ ಎತ್ತುತ್ತಿರುವುದು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🙋🏿	ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಪೋಷಿಸುವ ಕೈ, ಸಂತೋಷದ ವ್ಯಕ್ತಿ, ಸಂತೋಷದಿಂದ ಕೈ ಎತ್ತುತ್ತಿರುವುದು, ಸಂತೋಷದಿಂದ ಕೈ ಎತ್ತುತ್ತಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🙋‍♂	ಅಂಗ ಸನ್ನೆ, ಕೈ ಎತ್ತಿದ ಪುರುಷ, ಕೈ ಎತ್ತು, ಪುರುಷ
🙋🏻‍♂	ಅಂಗ ಸನ್ನೆ, ಕೈ ಎತ್ತಿದ ಪುರುಷ, ಕೈ ಎತ್ತಿದ ಪುರುಷ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಕೈ ಎತ್ತು, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಪುರುಷ
🙋🏼‍♂	ಅಂಗ ಸನ್ನೆ, ಕೈ ಎತ್ತಿದ ಪುರುಷ, ಕೈ ಎತ್ತಿದ ಪುರುಷ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಕೈ ಎತ್ತು, ಪುರುಷ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🙋🏽‍♂	ಅಂಗ ಸನ್ನೆ, ಕೈ ಎತ್ತಿದ ಪುರುಷ, ಕೈ ಎತ್ತಿದ ಪುರುಷ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಕೈ ಎತ್ತು, ಪುರುಷ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🙋🏾‍♂	ಅಂಗ ಸನ್ನೆ, ಕೈ ಎತ್ತಿದ ಪುರುಷ, ಕೈ ಎತ್ತಿದ ಪುರುಷ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಕೈ ಎತ್ತು, ಪುರುಷ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🙋🏿‍♂	ಅಂಗ ಸನ್ನೆ, ಕೈ ಎತ್ತಿದ ಪುರುಷ, ಕೈ ಎತ್ತಿದ ಪುರುಷ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಕೈ ಎತ್ತು, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಪುರುಷ
🙋‍♀	ಅಂಗ ಸನ್ನೆ, ಕೈ ಎತ್ತಿದ ಸ್ತ್ರೀ, ಕೈ ಎತ್ತು, ಮಹಿಳೆ, ಸ್ತ್ರೀ
🙋🏻‍♀	ಅಂಗ ಸನ್ನೆ, ಕೈ ಎತ್ತಿದ ಸ್ತ್ರೀ, ಕೈ ಎತ್ತಿದ ಸ್ತ್ರೀ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಕೈ ಎತ್ತು, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಸ್ತ್ರೀ
🙋🏼‍♀	ಅಂಗ ಸನ್ನೆ, ಕೈ ಎತ್ತಿದ ಸ್ತ್ರೀ, ಕೈ ಎತ್ತಿದ ಸ್ತ್ರೀ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಕೈ ಎತ್ತು, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಸ್ತ್ರೀ
🙋🏽‍♀	ಅಂಗ ಸನ್ನೆ, ಕೈ ಎತ್ತಿದ ಸ್ತ್ರೀ, ಕೈ ಎತ್ತಿದ ಸ್ತ್ರೀ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಕೈ ಎತ್ತು, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಸ್ತ್ರೀ
🙋🏾‍♀	ಅಂಗ ಸನ್ನೆ, ಕೈ ಎತ್ತಿದ ಸ್ತ್ರೀ, ಕೈ ಎತ್ತಿದ ಸ್ತ್ರೀ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಕೈ ಎತ್ತು, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಸ್ತ್ರೀ
🙋🏿‍♀	ಅಂಗ ಸನ್ನೆ, ಕೈ ಎತ್ತಿದ ಸ್ತ್ರೀ, ಕೈ ಎತ್ತಿದ ಸ್ತ್ರೀ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಕೈ ಎತ್ತು, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಸ್ತ್ರೀ
🧏	ಕಿವಿ, ಕಿವಿ ಕೇಳದ ವ್ಯಕ್ತಿ, ಕಿವುಡು, ಕೇಳು, ಪ್ರವೇಶಿಸುವಿಕೆ
🧏🏻	ಕಿವಿ, ಕಿವಿ ಕೇಳದ ವ್ಯಕ್ತಿ, ಕಿವಿ ಕೇಳದ ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಕಿವುಡು, ಕೇಳು, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಪ್ರವೇಶಿಸುವಿಕೆ
🧏🏼	ಕಿವಿ, ಕಿವಿ ಕೇಳದ ವ್ಯಕ್ತಿ, ಕಿವಿ ಕೇಳದ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಕಿವುಡು, ಕೇಳು, ಪ್ರವೇಶಿಸುವಿಕೆ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🧏🏽	ಕಿವಿ, ಕಿವಿ ಕೇಳದ ವ್ಯಕ್ತಿ, ಕಿವಿ ಕೇಳದ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಕಿವುಡು, ಕೇಳು, ಪ್ರವೇಶಿಸುವಿಕೆ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🧏🏾	ಕಿವಿ, ಕಿವಿ ಕೇಳದ ವ್ಯಕ್ತಿ, ಕಿವಿ ಕೇಳದ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಕಿವುಡು, ಕೇಳು, ಪ್ರವೇಶಿಸುವಿಕೆ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🧏🏿	ಕಿವಿ, ಕಿವಿ ಕೇಳದ ವ್ಯಕ್ತಿ, ಕಿವಿ ಕೇಳದ ವ್ಯಕ್ತಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಕಿವುಡು, ಕೇಳು, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಪ್ರವೇಶಿಸುವಿಕೆ
🧏‍♂	ಕಿವುಡ, ವ್ಯಕ್ತಿ
🧏🏻‍♂	ಕಿವುಡ, ಕಿವುಡ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ವ್ಯಕ್ತಿ
