😀	față, față încântată, încântare
👩🏻‍🦳	adultă, femeie, femeie: ton deschis al pielii, păr alb, păr alb, ton deschis al pielii
👩🏼‍🦳	adultă, femeie, femeie: ton semi‑deschis al pielii, păr alb, păr alb, ton semi‑deschis al pielii
👩🏽‍🦳	adultă, femeie, femeie: ton mediu al pielii, păr alb, păr alb, ton mediu al pielii
👩🏾‍🦳	adultă, femeie, femeie: ton semi‑închis al pielii, păr alb, păr alb, ton semi‑închis al pielii
👩🏿‍🦳	adultă, femeie, femeie: ton închis al pielii, păr alb, păr alb, ton închis al pielii
👩‍🦲	adultă, chelie, femeie, femeie: chelie
👩🏻‍🦲	adultă, chelie, femeie, femeie: ton deschis al pielii, chelie, ton deschis al pielii
👩🏼‍🦲	adultă, chelie, femeie, femeie: ton semi‑deschis al pielii, chelie, ton semi‑deschis al pielii
👩🏽‍🦲	adultă, chelie, femeie, femeie: ton mediu al pielii, chelie, ton mediu al pielii
👩🏾‍🦲	adultă, chelie, femeie, femeie: ton semi‑închis al pielii, chelie, ton semi‑închis al pielii
👩🏿‍🦲	adultă, chelie, femeie, femeie: ton închis al pielii, chelie, ton închis al pielii
🧓	adult, bătrân, neutru, persoană în vârstă, vârstnic
🧓🏻	adult, bătrân, neutru, persoană în vârstă, persoană în vârstă: ton deschis al pielii, ton deschis al pielii, vârstnic
🧓🏼	adult, bătrân, neutru, persoană în vârstă, persoană în vârstă: ton semi‑deschis al pielii, ton semi‑deschis al pielii, vârstnic
🧓🏽	adult, bătrân, neutru, persoană în vârstă, persoană în vârstă: ton mediu al pielii, ton mediu al pielii, vârstnic
🧓🏾	adult, bătrân, neutru, persoană în vârstă, persoană în vârstă: ton semi‑închis al pielii, ton semi‑închis al pielii, vârstnic
🧓🏿	adult, bătrân, neutru, persoană în vârstă, persoană în vârstă: ton închis al pielii, ton închis al pielii, vârstnic
👴	adult, bărbat, bătrân
👴🏻	adult, bărbat, bătrân, bătrân: ton deschis al pielii, ton deschis al pielii
👴🏼	adult, bărbat, bătrân, bătrân: ton semi‑deschis al pielii, ton semi‑deschis al pielii
👴🏽	adult, bărbat, bătrân, bătrân: ton mediu al pielii, ton mediu al pielii
👴🏾	adult, bărbat, bătrân, bătrân: ton semi‑închis al pielii, ton semi‑închis al pielii
👴🏿	adult, bărbat, bătrân, bătrân: ton închis al pielii, ton închis al pielii
👵	adultă, bătrână, femeie
👵🏻	adultă, bătrână, bătrână: ton deschis al pielii, femeie, ton deschis al pielii
👵🏼	adultă, bătrână, bătrână: ton semi‑deschis al pielii, femeie, ton semi‑deschis al pielii
👵🏽	adultă, bătrână, bătrână: ton mediu al pielii, femeie, ton mediu al pielii
👵🏾	adultă, bătrână, bătrână: ton semi‑închis al pielii, femeie, ton semi‑închis al pielii
👵🏿	adultă, bătrână, bătrână: ton închis al pielii, femeie, ton închis al pielii
🙍	gest, persoană întristată, supărare, întristare
🙍🏻	gest, persoană întristată, persoană întristată: ton deschis al pielii, supărare, ton deschis al pielii, întristare
🙍🏼	gest, persoană întristată, persoană întristată: ton semi‑deschis al pielii, supărare, ton semi‑deschis al pielii, întristare
🙍🏽	gest, persoană întristată, persoană întristată: ton mediu al pielii, supărare, ton mediu al pielii, întristare
🙍🏾	gest, persoană întristată, persoană întristată: ton semi‑închis al pielii, supărare, ton semi‑închis al pielii, întristare
🙍🏿	gest, persoană întristată, persoană întristată: ton închis al pielii, supărare, ton închis al pielii, întristare
🙍‍♂	bărbat întristat, gest, supărare, întristare
🙍🏻‍♂	bărbat întristat, bărbat întristat: ton deschis al pielii, gest, supărare, ton deschis al pielii, întristare
🙍🏼‍♂	bărbat întristat, bărbat întristat: ton semi‑deschis al pielii, gest, supărare, ton semi‑deschis al pielii, întristare
🙍🏽‍♂	bărbat întristat, bărbat întristat: ton mediu al pielii, gest, supărare, ton mediu al pielii, întristare
🙍🏾‍♂	bărbat întristat, bărbat întristat: ton semi‑închis al pielii, gest, supărare, ton semi‑închis al pielii, întristare
🙍🏿‍♂	bărbat întristat, bărbat întristat: ton închis al pielii, gest, supărare, ton închis al pielii, întristare
🙍‍♀	femeie întristată, gest, supărare, întristare
🙍🏻‍♀	femeie întristată, femeie întristată: ton deschis al pielii, gest, supărare, ton deschis al pielii, întristare
🙍🏼‍♀	femeie întristată, femeie întristată: ton semi‑deschis al pielii, gest, supărare, ton semi‑deschis al pielii, întristare
🙍🏽‍♀	femeie întristată, femeie întristată: ton mediu al pielii, gest, supărare, ton mediu al pielii, întristare
🙍🏾‍♀	femeie întristată, femeie întristată: ton semi‑închis al pielii, gest, supărare, ton semi‑închis al pielii, întristare
🙍🏿‍♀	femeie întristată, femeie întristată: ton închis al pielii, gest, supărare, ton închis al pielii, întristare
🙎	expresie facială, persoană bosumflată, îmbufnare
🙎🏻	expresie facială, persoană bosumflată, persoană bosumflată: ton deschis al pielii, ton deschis al pielii, îmbufnare
🙎🏼	expresie facială, persoană bosumflată, persoană bosumflată: ton semi‑deschis al pielii, ton semi‑deschis al pielii, îmbufnare
🙎🏽	expresie facială, persoană bosumflată, persoană bosumflată: ton mediu al pielii, ton mediu al pielii, îmbufnare
🙎🏾	expresie facială, persoană bosumflată, persoană bosumflată: ton semi‑închis al pielii, ton semi‑închis al pielii, îmbufnare
🙎🏿	expresie facială, persoană bosumflată, persoană bosumflată: ton închis al pielii, ton închis al pielii, îmbufnare
🙎‍♂	bărbat, bărbat bosumflat, gest, îmbufnare
🙎🏻‍♂	bărbat, bărbat bosumflat, bărbat bosumflat: ton deschis al pielii, gest, ton deschis al pielii, îmbufnare
🙎🏼‍♂	bărbat, bărbat bosumflat, bărbat bosumflat: ton semi‑deschis al pielii, gest, ton semi‑deschis al pielii, îmbufnare
🙎🏽‍♂	bărbat, bărbat bosumflat, bărbat bosumflat: ton mediu al pielii, gest, ton mediu al pielii, îmbufnare
🙎🏾‍♂	bărbat, bărbat bosumflat, bărbat bosumflat: ton semi‑închis al pielii, gest, ton semi‑închis al pielii, îmbufnare
🙎🏿‍♂	bărbat, bărbat bosumflat, bărbat bosumflat: ton închis al pielii, gest, ton închis al pielii, îmbufnare
🙎‍♀	femeie, femeie bosumflată, gest, îmbufnare
🙎🏻‍♀	femeie, femeie bosumflată, femeie bosumflată: ton deschis al pielii, gest, ton deschis al pielii, îmbufnare
🙎🏼‍♀	femeie, femeie bosumflată, femeie bosumflată: ton semi‑deschis al pielii, gest, ton semi‑deschis al pielii, îmbufnare
🙎🏽‍♀	femeie, femeie bosumflată, femeie bosumflată: ton mediu al pielii, gest, ton mediu al pielii, îmbufnare
🙎🏾‍♀	femeie, femeie bosumflată, femeie bosumflată: ton semi‑închis al pielii, gest, ton semi‑închis al pielii, îmbufnare
🙎🏿‍♀	femeie, femeie bosumflată, femeie bosumflată: ton închis al pielii, gest, ton închis al pielii, îmbufnare
🙅	gest, interzis, mâini, nu, persoană făcând un gest de negație
🙅🏻	gest, interzis, mâini, nu, persoană făcând un gest de negație, persoană făcând un gest de negație: ton deschis al pielii, ton deschis al pielii
🙅🏼	gest, interzis, mâini, nu, persoană făcând un gest de negație, persoană făcând un gest de negație: ton semi‑deschis al pielii, ton semi‑deschis al pielii
🙅🏽	gest, interzis, mâini, nu, persoană făcând un gest de negație, persoană făcând un gest de negație: ton mediu al pielii, ton mediu al pielii
🙅🏾	gest, interzis, mâini, nu, persoană făcând un gest de negație, persoană făcând un gest de negație: ton semi‑închis al pielii, ton semi‑închis al pielii
🙅🏿	gest, interzis, mâini, nu, persoană făcând un gest de negație, persoană făcând un gest de negație: ton închis al pielii, ton închis al pielii
🙅‍♂	bărbat, bărbat făcând un gest de negație, gest, interzis, mâini, nu
🙅🏻‍♂	bărbat, bărbat făcând un gest de negație, bărbat făcând un gest de negație: ton deschis al pielii, gest, interzis, mâini, nu, ton deschis al pielii
🙅🏼‍♂	bărbat, bărbat făcând un gest de negație, bărbat făcând un gest de negație: ton semi‑deschis al pielii, gest, interzis, mâini, nu, ton semi‑deschis al pielii
🙅🏽‍♂	bărbat, bărbat făcând un gest de negație, bărbat făcând un gest de negație: ton mediu al pielii, gest, interzis, mâini, nu, ton mediu al pielii
🙅🏾‍♂	bărbat, bărbat făcând un gest de negație, bărbat făcând un gest de negație: ton semi‑închis al pielii, gest, interzis, mâini, nu, ton semi‑închis al pielii
🙅🏿‍♂	bărbat, bărbat făcând un gest de negație, bărbat făcând un gest de negație: ton închis al pielii, gest, interzis, mâini, nu, ton închis al pielii
🙅‍♀	femeie, femeie făcând un gest de negație, gest, interzis, mâini, nu
🙅🏻‍♀	femeie, femeie făcând un gest de negație, femeie făcând un gest de negație: ton deschis al pielii, gest, interzis, mâini, nu, ton deschis al pielii
🙅🏼‍♀	femeie, femeie făcând un gest de negație, femeie făcând un gest de negație: ton semi‑deschis al pielii, gest, interzis, mâini, nu, ton semi‑deschis al pielii
🙅🏽‍♀	femeie, femeie făcând un gest de negație, femeie făcând un gest de negație: ton mediu al pielii, gest, interzis, mâini, nu, ton mediu al pielii
🙅🏾‍♀	femeie, femeie făcând un gest de negație, femeie făcând un gest de negație: ton semi‑închis al pielii, gest, interzis, mâini, nu, ton semi‑închis al pielii
🙅🏿‍♀	femeie, femeie făcând un gest de negație, femeie făcând un gest de negație: ton închis al pielii, gest, interzis, mâini, nu, ton închis al pielii
🙆	acord, gest, ok, persoană făcând un gest de OK
🙆🏻	acord, gest, ok, persoană făcând un gest de OK, persoană făcând un gest de OK: ton deschis al pielii, ton deschis al pielii
🙆🏼	acord, gest, ok, persoană făcând un gest de OK, persoană făcând un gest de OK: ton semi‑deschis al pielii, ton semi‑deschis al pielii
🙆🏽	acord, gest, ok, persoană făcând un gest de OK, persoană făcând un gest de OK: ton mediu al pielii, ton mediu al pielii
🙆🏾	acord, gest, ok, persoană făcând un gest de OK, persoană făcând un gest de OK: ton semi‑închis al pielii, ton semi‑închis al pielii
🙆🏿	acord, gest, ok, persoană făcând un gest de OK, persoană făcând un gest de OK: ton închis al pielii, ton închis al pielii
🙆‍♂	bărbat făcând un gest de OK, gest, mâini, ok
🙆🏻‍♂	bărbat făcând un gest de OK, bărbat făcând un gest de OK: ton deschis al pielii, gest, mâini, ok, ton deschis al pielii
🙆🏼‍♂	bărbat făcând un gest de OK, bărbat făcând un gest de OK: ton semi‑deschis al pielii, gest, mâini, ok, ton semi‑deschis al pielii
🙆🏽‍♂	bărbat făcând un gest de OK, bărbat făcând un gest de OK: ton mediu al pielii, gest, mâini, ok, ton mediu al pielii
🙆🏾‍♂	bărbat făcând un gest de OK, bărbat făcând un gest de OK: ton semi‑închis al pielii, gest, mâini, ok, ton semi‑închis al pielii
🙆🏿‍♂	bărbat făcând un gest de OK, bărbat făcând un gest de OK: ton închis al pielii, gest, mâini, ok, ton închis al pielii
🙆‍♀	femeie făcând un gest de OK, gest, mâini, ok
🙆🏻‍♀	femeie făcând un gest de OK, femeie făcând un gest de OK: ton deschis al pielii, gest, mâini, ok, ton deschis al pielii
🙆🏼‍♀	femeie făcând un gest de OK, femeie făcând un gest de OK: ton semi‑deschis al pielii, gest, mâini, ok, ton semi‑deschis al pielii
🙆🏽‍♀	femeie făcând un gest de OK, femeie făcând un gest de OK: ton mediu al pielii, gest, mâini, ok, ton mediu al pielii
🙆🏾‍♀	femeie făcând un gest de OK, femeie făcând un gest de OK: ton semi‑închis al pielii, gest, mâini, ok, ton semi‑închis al pielii
🙆🏿‍♀	femeie făcând un gest de OK, femeie făcând un gest de OK: ton închis al pielii, gest, mâini, ok, ton închis al pielii
💁	ajutor, asistență, informații, persoană care explică
💁🏻	ajutor, asistență, informații, persoană care explică, persoană care explică: ton deschis al pielii, ton deschis al pielii
💁🏼	ajutor, asistență, informații, persoană care explică, persoană care explică: ton semi‑deschis al pielii, ton semi‑deschis al pielii
💁🏽	ajutor, asistență, informații, persoană care explică, persoană care explică: ton mediu al pielii, ton mediu al pielii
💁🏾	ajutor, asistență, informații, persoană care explică, persoană care explică: ton semi‑închis al pielii, ton semi‑închis al pielii
💁🏿	ajutor, asistență, informații, persoană care explică, persoană care explică: ton închis al pielii, ton închis al pielii
💁‍♂	asistență, bărbat, bărbat care explică, informații
💁🏻‍♂	asistență, bărbat, bărbat care explică, bărbat care explică: ton deschis al pielii, informații, ton deschis al pielii
💁🏼‍♂	asistență, bărbat, bărbat care explică, bărbat care explică: ton semi‑deschis al pielii, informații, ton semi‑deschis al pielii
💁🏽‍♂	asistență, bărbat, bărbat care explică, bărbat care explică: ton mediu al pielii, informații, ton mediu al pielii
💁🏾‍♂	asistență, bărbat, bărbat care explică, bărbat care explică: ton semi‑închis al pielii, informații, ton semi‑închis al pielii
💁🏿‍♂	asistență, bărbat, bărbat care explică, bărbat care explică: ton închis al pielii, informații, ton închis al pielii
💁‍♀	asistență, femeie, femeie care explică, informații
💁🏻‍♀	asistență, femeie, femeie care explică, femeie care explică: ton deschis al pielii, informații, ton deschis al pielii
💁🏼‍♀	asistență, femeie, femeie care explică, femeie care explică: ton semi‑deschis al pielii, informații, ton semi‑deschis al pielii
💁🏽‍♀	asistență, femeie, femeie care explică, femeie care explică: ton mediu al pielii, informații, ton mediu al pielii
💁🏾‍♀	asistență, femeie, femeie care explică, femeie care explică: ton semi‑închis al pielii, informații, ton semi‑închis al pielii
💁🏿‍♀	asistență, femeie, femeie care explică, femeie care explică: ton închis al pielii, informații, ton închis al pielii
🙋	gest, mână, persoană care ridică mâna, ridicat, veselie
🙋🏻	gest, mână, persoană care ridică mâna, persoană care ridică mâna: ton deschis al pielii, ridicat, ton deschis al pielii, veselie
🙋🏼	gest, mână, persoană care ridică mâna, persoană care ridică mâna: ton semi‑deschis al pielii, ridicat, ton semi‑deschis al pielii, veselie
🙋🏽	gest, mână, persoană care ridică mâna, persoană care ridică mâna: ton mediu al pielii, ridicat, ton mediu al pielii, veselie
🙋🏾	gest, mână, persoană care ridică mâna, persoană care ridică mâna: ton semi‑închis al pielii, ridicat, ton semi‑închis al pielii, veselie
🙋🏿	gest, mână, persoană care ridică mâna, persoană care ridică mâna: ton închis al pielii, ridicat, ton închis al pielii, veselie
🙋‍♂	bărbat, bărbat care ridică mâna, gest, mână ridicată
🙋🏻‍♂	bărbat, bărbat care ridică mâna, bărbat care ridică mâna: ton deschis al pielii, gest, mână ridicată, ton deschis al pielii
🙋🏼‍♂	bărbat, bărbat care ridică mâna, bărbat care ridică mâna: ton semi‑deschis al pielii, gest, mână ridicată, ton semi‑deschis al pielii
🙋🏽‍♂	bărbat, bărbat care ridică mâna, bărbat care ridică mâna: ton mediu al pielii, gest, mână ridicată, ton mediu al pielii
🙋🏾‍♂	bărbat, bărbat care ridică mâna, bărbat care ridică mâna: ton semi‑închis al pielii, gest, mână ridicată, ton semi‑închis al pielii
🙋🏿‍♂	bărbat, bărbat care ridică mâna, bărbat care ridică mâna: ton închis al pielii, gest, mână ridicată, ton închis al pielii
🙋‍♀	femeie, femeie care ridică mâna, gest, mână ridicată
🙋🏻‍♀	femeie, femeie care ridică mâna, femeie care ridică mâna: ton deschis al pielii, gest, mână ridicată, ton deschis al pielii
🙋🏼‍♀	femeie, femeie care ridică mâna, femeie care ridică mâna: ton semi‑deschis al pielii, gest, mână ridicată, ton semi‑deschis al pielii
🙋🏽‍♀	femeie, femeie care ridică mâna, femeie care ridică mâna: ton mediu al pielii, gest, mână ridicată, ton mediu al pielii
🙋🏾‍♀	femeie, femeie care ridică mâna, femeie care ridică mâna: ton semi‑închis al pielii, gest, mână ridicată, ton semi‑închis al pielii
🙋🏿‍♀	femeie, femeie care ridică mâna, femeie care ridică mâna: ton închis al pielii, gest, mână ridicată, ton închis al pielii
🧏	accesibilitate, auz, persoană surdă, surditate, surzenie, ureche
🧏🏻	accesibilitate, auz, persoană surdă, persoană surdă: ton deschis al pielii, surditate, surzenie, ton deschis al pielii, ureche
🧏🏼	accesibilitate, auz, persoană surdă, persoană surdă: ton semi‑deschis al pielii, surditate, surzenie, ton semi‑deschis al pielii, ureche
🧏🏽	accesibilitate, auz, persoană surdă, persoană surdă: ton mediu al pielii, surditate, surzenie, ton mediu al pielii, ureche
🧏🏾	accesibilitate, auz, persoană surdă, persoană surdă: ton semi‑închis al pielii, surditate, surzenie, ton semi‑închis al pielii, ureche
🧏🏿	accesibilitate, auz, persoană surdă, persoană surdă: ton închis al pielii, surditate, surzenie, ton închis al pielii, ureche
🧏‍♂	bărbat, bărbat surd, surd
🧏🏻‍♂	bărbat, bărbat surd: ton deschis al pielii, surd, ton deschis al pielii
🧏🏼‍♂	bărbat, bărbat surd: ton semi‑deschis al pielii, surd, ton semi‑deschis al pielii
🧏🏽‍♂	bărbat, bărbat surd: ton mediu al pielii, surd, ton mediu al pielii
🧏🏾‍♂	bărbat, bărbat surd: ton semi‑închis al pielii, surd, ton semi‑închis al pielii
🧏🏿‍♂	bărbat, bărbat surd: ton închis al pielii, surd, ton închis al pielii
🧏‍♀	femeie, femeie surdă, surdă
🧏🏻‍♀	femeie, femeie surdă: ton deschis al pielii, surdă, ton deschis al pielii
🧏🏼‍♀	femeie, femeie surdă: ton semi‑deschis al pielii, surdă, ton semi‑deschis al pielii
🧏🏽‍♀	femeie, femeie surdă: ton mediu al pielii, surdă, ton mediu al pielii
🧏🏾‍♀	femeie, femeie surdă: ton semi‑închis al pielii, surdă, ton semi‑închis al pielii
🧏🏿‍♀	femeie, femeie surdă: ton închis al pielii, surdă, ton închis al pielii
🙇	persoană care se înclină, respect, scuză, înclinare
🙇🏻	persoană care se înclină, persoană care se înclină: ton deschis al pielii, respect, scuză, ton deschis al pielii, înclinare
🙇🏼	persoană care se înclină, persoană care se înclină: ton semi‑deschis al pielii, respect, scuză, ton semi‑deschis al pielii, înclinare
🙇🏽	persoană care se înclină, persoană care se înclină: ton mediu al pielii, respect, scuză, ton mediu al pielii, înclinare
🙇🏾	persoană care se înclină, persoană care se înclină: ton semi‑închis al pielii, respect, scuză, ton semi‑închis al pielii, înclinare
🙇🏿	persoană care se înclină, persoană care se înclină: ton închis al pielii, respect, scuză, ton închis al pielii, înclinare
🙇‍♂	bărbat, bărbat care se înclină, favoare, gest, iertare, scuză, înclinare
🙇🏻‍♂	bărbat, bărbat care se înclină, bărbat care se înclină: ton deschis al pielii, favoare, gest, iertare, scuză, ton deschis al pielii, înclinare
🙇🏼‍♂	bărbat, bărbat care se înclină, bărbat care se înclină: ton semi‑deschis al pielii, favoare, gest, iertare, scuză, ton semi‑deschis al pielii, înclinare
🙇🏽‍♂	bărbat, bărbat care se înclină, bărbat care se înclină: ton mediu al pielii, favoare, gest, iertare, scuză, ton mediu al pielii, înclinare
🙇🏾‍♂	bărbat, bărbat care se înclină, bărbat care se înclină: ton semi‑închis al pielii, favoare, gest, iertare, scuză, ton semi‑închis al pielii, înclinare
🙇🏿‍♂	bărbat, bărbat care se înclină, bărbat care se înclină: ton închis al pielii, favoare, gest, iertare, scuză, ton închis al pielii, înclinare
🙇‍♀	favoare, femeie, femeie care se înclină, gest, iertare, scuză, înclinare
🙇🏻‍♀	favoare, femeie, femeie care se înclină, femeie care se înclină: ton deschis al pielii, gest, iertare, scuză, ton deschis al pielii, înclinare
🙇🏼‍♀	favoare, femeie, femeie care se înclină, femeie care se înclină: ton semi‑deschis al pielii, gest, iertare, scuză, ton semi‑deschis al pielii, înclinare
🙇🏽‍♀	favoare, femeie, femeie care se înclină, femeie care se înclină: ton mediu al pielii, gest, iertare, scuză, ton mediu al pielii, înclinare
🙇🏾‍♀	favoare, femeie, femeie care se înclină, femeie care se înclină: ton semi‑închis al pielii, gest, iertare, scuză, ton semi‑închis al pielii, înclinare
🙇🏿‍♀	favoare, femeie, femeie care se înclină, femeie care se înclină: ton închis al pielii, gest, iertare, scuză, ton închis al pielii, înclinare
🤦	exasperare, față, incredibil, palmă, persoană care își acoperă fața cu o palmă
🤦🏻	exasperare, față, incredibil, palmă, persoană care își acoperă fața cu o palmă, persoană care își acoperă fața cu o palmă: ton deschis al pielii, ton deschis al pielii
🤦🏼	exasperare, față, incredibil, palmă, persoană care își acoperă fața cu o palmă, persoană care își acoperă fața cu o palmă: ton semi‑deschis al pielii, ton semi‑deschis al pielii
🤦🏽	exasperare, față, incredibil, palmă, persoană care își acoperă fața cu o palmă, persoană care își acoperă fața cu o palmă: ton mediu al pielii, ton mediu al pielii
🤦🏾	exasperare, față, incredibil, palmă, persoană care își acoperă fața cu o palmă, persoană care își acoperă fața cu o palmă: ton semi‑închis al pielii, ton semi‑închis al pielii
🤦🏿	exasperare, față, incredibil, palmă, persoană care își acoperă fața cu o palmă, persoană care își acoperă fața cu o palmă: ton închis al pielii, ton închis al pielii
🤦‍♂	bărbat, bărbat care își acoperă fața cu o palmă, exasperare, incredibil, palmă peste față
🤦🏻‍♂	bărbat, bărbat care își acoperă fața cu o palmă, bărbat care își acoperă fața cu o palmă: ton deschis al pielii, exasperare, incredibil, palmă peste față, ton deschis al pielii
🤦🏼‍♂	bărbat, bărbat care își acoperă fața cu o palmă, bărbat care își acoperă fața cu o palmă: ton semi‑deschis al pielii, exasperare, incredibil, palmă peste față, ton semi‑deschis al pielii
🤦🏽‍♂	bărbat, bărbat care își acoperă fața cu o palmă, bărbat care își acoperă fața cu o palmă: ton mediu al pielii, exasperare, incredibil, palmă peste față, ton mediu al pielii
🤦🏾‍♂	bărbat, bărbat care își acoperă fața cu o palmă, bărbat care își acoperă fața cu o palmă: ton semi‑închis al pielii, exasperare, incredibil, palmă peste față, ton semi‑închis al pielii
🤦🏿‍♂	bărbat, bărbat care își acoperă fața cu o palmă, bărbat care își acoperă fața cu o palmă: ton închis al pielii, exasperare, incredibil, palmă peste față, ton închis al pielii
🤦‍♀	exasperare, femeie, femeie care își acoperă fața cu o palmă, incredibil, palmă peste față
🤦🏻‍♀	exasperare, femeie, femeie care își acoperă fața cu o palmă, femeie care își acoperă fața cu o palmă: ton deschis al pielii, incredibil, palmă peste față, ton deschis al pielii
🤦🏼‍♀	exasperare, femeie, femeie care își acoperă fața cu o palmă, femeie care își acoperă fața cu o palmă: ton semi‑deschis al pielii, incredibil, palmă peste față, ton semi‑deschis al pielii
🤦🏽‍♀	exasperare, femeie, femeie care își acoperă fața cu o palmă, femeie care își acoperă fața cu o palmă: ton mediu al pielii, incredibil, palmă peste față, ton mediu al pielii
🤦🏾‍♀	exasperare, femeie, femeie care își acoperă fața cu o palmă, femeie care își acoperă fața cu o palmă: ton semi‑închis al pielii, incredibil, palmă peste față, ton semi‑închis al pielii
🤦🏿‍♀	exasperare, femeie, femeie care își acoperă fața cu o palmă, femeie care își acoperă fața cu o palmă: ton închis al pielii, incredibil, palmă peste față, ton închis al pielii
🤷	ignoranță, indiferență, persoană care ridică din umeri, ridicare din umeri, îndoială
🤷🏻	ignoranță, indiferență, persoană care ridică din umeri, persoană care ridică din umeri: ton deschis al pielii, ridicare din umeri, ton deschis al pielii, îndoială
🤷🏼	ignoranță, indiferență, persoană care ridică din umeri, persoană care ridică din umeri: ton semi‑deschis al pielii, ridicare din umeri, ton semi‑deschis al pielii, îndoială
🤷🏽	ignoranță, indiferență, persoană care ridică din umeri, persoană care ridică din umeri: ton mediu al pielii, ridicare din umeri, ton mediu al pielii, îndoială
🤷🏾	ignoranță, indiferență, persoană care ridică din umeri, persoană care ridică din umeri: ton semi‑închis al pielii, ridicare din umeri, ton semi‑închis al pielii, îndoială
🤷🏿	ignoranță, indiferență, persoană care ridică din umeri, persoană care ridică din umeri: ton închis al pielii, ridicare din umeri, ton închis al pielii, îndoială
🤷‍♂	bărbat, bărbat care ridică din umeri, ignoranță, indiferență, ridicare din umeri, îndoială
🤷🏻‍♂	bărbat, bărbat care ridică din umeri, bărbat care ridică din umeri: ton deschis al pielii, ignoranță, indiferență, ridicare din umeri, ton deschis al pielii, îndoială
🤷🏼‍♂	bărbat, bărbat care ridică din umeri, bărbat care ridică din umeri: ton semi‑deschis al pielii, ignoranță, indiferență, ridicare din umeri, ton semi‑deschis al pielii, îndoială
🤷🏽‍♂	bărbat, bărbat care ridică din umeri, bărbat care ridică din umeri: ton mediu al pielii, ignoranță, indiferență, ridicare din umeri, ton mediu al pielii, îndoială
🤷🏾‍♂	bărbat, bărbat care ridică din umeri, bărbat care ridică din umeri: ton semi‑închis al pielii, ignoranță, indiferență, ridicare din umeri, ton semi‑închis al pielii, îndoială
🤷🏿‍♂	bărbat, bărbat care ridică din umeri, bărbat care ridică din umeri: ton închis al pielii, ignoranță, indiferență, ridicare din umeri, ton închis al pielii, îndoială
🤷‍♀	femeie, femeie care ridică din umeri, ignoranță, indiferență, ridicare din umeri, îndoială
🤷🏻‍♀	femeie, femeie care ridică din umeri, femeie care ridică din umeri: ton deschis al pielii, ignoranță, indiferență, ridicare din umeri, ton deschis al pielii, îndoială
🤷🏼‍♀	femeie, femeie care ridică din umeri, femeie care ridică din umeri: ton semi‑deschis al pielii, ignoranță, indiferență, ridicare din umeri, ton semi‑deschis al pielii, îndoială
🤷🏽‍♀	femeie, femeie care ridică din umeri, femeie care ridică din umeri: ton mediu al pielii, ignoranță, indiferență, ridicare din umeri, ton mediu al pielii, îndoială
🤷🏾‍♀	femeie, femeie care ridică din umeri, femeie care ridică din umeri: ton semi‑închis al pielii, ignoranță, indiferență, ridicare din umeri, ton semi‑închis al pielii, îndoială
🤷🏿‍♀	femeie, femeie care ridică din umeri, femeie care ridică din umeri: ton închis al pielii, ignoranță, indiferență, ridicare din umeri, ton închis al pielii, îndoială
👨‍⚕	bărbat, doctor, infirmier, lucrător în domeniul sănătății, servicii medicale, terapeut
👨🏻‍⚕	bărbat, doctor, infirmier, lucrător în domeniul sănătății, lucrător în domeniul sănătății: ton deschis al pielii, servicii medicale, terapeut, ton deschis al pielii
👨🏼‍⚕	bărbat, doctor, infirmier, lucrător în domeniul sănătății, lucrător în domeniul sănătății: ton semi‑deschis al pielii, servicii medicale, terapeut, ton semi‑deschis al pielii
👨🏽‍⚕	bărbat, doctor, infirmier, lucrător în domeniul sănătății, lucrător în domeniul sănătății: ton mediu al pielii, servicii medicale, terapeut, ton mediu al pielii
👨🏾‍⚕	bărbat, doctor, infirmier, lucrător în domeniul sănătății, lucrător în domeniul sănătății: ton semi‑închis al pielii, servicii medicale, terapeut, ton semi‑închis al pielii
👨🏿‍⚕	bărbat, doctor, infirmier, lucrător în domeniul sănătății, lucrător în domeniul sănătății: ton închis al pielii, servicii medicale, terapeut, ton închis al pielii
👩‍⚕	asistentă, doctoriță, femeie, infirmieră, lucrătoare în domeniul sănătății, servicii medicale, soră medicală, terapeută
👩🏻‍⚕	asistentă, doctoriță, femeie, infirmieră, lucrătoare în domeniul sănătății, lucrătoare în domeniul sănătății: ton deschis al pielii, servicii medicale, soră medicală, terapeută, ton deschis al pielii
👩🏼‍⚕	asistentă, doctoriță, femeie, infirmieră, lucrătoare în domeniul sănătății, lucrătoare în domeniul sănătății: ton semi‑deschis al pielii, servicii medicale, soră medicală, terapeută, ton semi‑deschis al pielii
👩🏽‍⚕	asistentă, doctoriță, femeie, infirmieră, lucrătoare în domeniul sănătății, lucrătoare în domeniul sănătății: ton mediu al pielii, servicii medicale, soră medicală, terapeută, ton mediu al pielii
👩🏾‍⚕	asistentă, doctoriță, femeie, infirmieră, lucrătoare în domeniul sănătății, lucrătoare în domeniul sănătății: ton semi‑închis al pielii, servicii medicale, soră medicală, terapeută, ton semi‑închis al pielii
👩🏿‍⚕	asistentă, doctoriță, femeie, infirmieră, lucrătoare în domeniul sănătății, lucrătoare în domeniul sănătății: ton închis al pielii, servicii medicale, soră medicală, terapeută, ton închis al pielii
👨‍🎓	absolvent, student
👨🏻‍🎓	absolvent, student, student: ton deschis al pielii, ton deschis al pielii
👨🏼‍🎓	absolvent, student, student: ton semi‑deschis al pielii, ton semi‑deschis al pielii
