😀	মুখ, হাঁহি, হাস্য মুখী
👏🏼	তালি, মধ্যমীয়া-পাতল ছালৰ ৰং, হাত, হাত তালি: মধ্যমীয়া-পাতল ছালৰ ৰং
👏🏽	তালি, মধ্যমীয়া ছালৰ ৰং, হাত, হাত তালি: মধ্যমীয়া ছালৰ ৰং
👏🏾	তালি, মধ্যমীয়া-ক’লা ছালৰ ৰং, হাত, হাত তালি: মধ্যমীয়া-ক’লা ছালৰ ৰং
👏🏿	ক’লা ছালৰ ৰং, তালি, হাত, হাত তালি: ক’লা ছালৰ ৰং
🙌	উত্থিত, উদযাপন, ভঙ্গিমা, হাত, হাত উঠোৱা, হুৰে
🙌🏻	উত্থিত, উদযাপন, পাতল ছালৰ ৰং, ভঙ্গিমা, হাত, হাত উঠোৱা, হাত উঠোৱা: পাতল ছালৰ ৰং, হুৰে
🙌🏼	উত্থিত, উদযাপন, ভঙ্গিমা, মধ্যমীয়া-পাতল ছালৰ ৰং, হাত, হাত উঠোৱা, হাত উঠোৱা: মধ্যমীয়া-পাতল ছালৰ ৰং, হুৰে
🙌🏽	উত্থিত, উদযাপন, ভঙ্গিমা, মধ্যমীয়া ছালৰ ৰং, হাত, হাত উঠোৱা, হাত উঠোৱা: মধ্যমীয়া ছালৰ ৰং, হুৰে
🙌🏾	উত্থিত, উদযাপন, ভঙ্গিমা, মধ্যমীয়া-ক’লা ছালৰ ৰং, হাত, হাত উঠোৱা, হাত উঠোৱা: মধ্যমীয়া-ক’লা ছালৰ ৰং, হুৰে
🙌🏿	উত্থিত, উদযাপন, ক’লা ছালৰ ৰং, ভঙ্গিমা, হাত, হাত উঠোৱা, হাত উঠোৱা: ক’লা ছালৰ ৰং, হুৰে
👐	খোলা, মেলা হাত, হাত
👐🏻	খোলা, পাতল ছালৰ ৰং, মেলা হাত, মেলা হাত: পাতল ছালৰ ৰং, হাত
👐🏼	খোলা, মধ্যমীয়া-পাতল ছালৰ ৰং, মেলা হাত, মেলা হাত: মধ্যমীয়া-পাতল ছালৰ ৰং, হাত
👐🏽	খোলা, মধ্যমীয়া ছালৰ ৰং, মেলা হাত, মেলা হাত: মধ্যমীয়া ছালৰ ৰং, হাত
👐🏾	খোলা, মধ্যমীয়া-ক’লা ছালৰ ৰং, মেলা হাত, মেলা হাত: মধ্যমীয়া-ক’লা ছালৰ ৰং, হাত
👐🏿	ক’লা ছালৰ ৰং, খোলা, মেলা হাত, মেলা হাত: ক’লা ছালৰ ৰং, হাত
🤲	একেলগে উঠোৱা হাত, প্ৰাৰ্থনা
🤲🏻	একেলগে উঠোৱা হাত, একেলগে উঠোৱা হাত: পাতল ছালৰ ৰং, পাতল ছালৰ ৰং, প্ৰাৰ্থনা
🤲🏼	একেলগে উঠোৱা হাত, একেলগে উঠোৱা হাত: মধ্যমীয়া-পাতল ছালৰ ৰং, প্ৰাৰ্থনা, মধ্যমীয়া-পাতল ছালৰ ৰং
🤲🏽	একেলগে উঠোৱা হাত, একেলগে উঠোৱা হাত: মধ্যমীয়া ছালৰ ৰং, প্ৰাৰ্থনা, মধ্যমীয়া ছালৰ ৰং
🤲🏾	একেলগে উঠোৱা হাত, একেলগে উঠোৱা হাত: মধ্যমীয়া-ক’লা ছালৰ ৰং, প্ৰাৰ্থনা, মধ্যমীয়া-ক’লা ছালৰ ৰং
🤲🏿	একেলগে উঠোৱা হাত, একেলগে উঠোৱা হাত: ক’লা ছালৰ ৰং, ক’লা ছালৰ ৰং, প্ৰাৰ্থনা
🤝	কৰমৰ্দন, চুক্তি, মিটিং, লৰোৱা, হাত
🙏	অনুগ্ৰহ, ধন্যবাদ, প্ৰাৰ্থনা, সোধা, হাত, হাত জোৰ কৰা
🙏🏻	অনুগ্ৰহ, ধন্যবাদ, পাতল ছালৰ ৰং, প্ৰাৰ্থনা, সোধা, হাত, হাত জোৰ কৰা, হাত জোৰ কৰা: পাতল ছালৰ ৰং
🙏🏼	অনুগ্ৰহ, ধন্যবাদ, প্ৰাৰ্থনা, মধ্যমীয়া-পাতল ছালৰ ৰং, সোধা, হাত, হাত জোৰ কৰা, হাত জোৰ কৰা: মধ্যমীয়া-পাতল ছালৰ ৰং
🙏🏽	অনুগ্ৰহ, ধন্যবাদ, প্ৰাৰ্থনা, মধ্যমীয়া ছালৰ ৰং, সোধা, হাত, হাত জোৰ কৰা, হাত জোৰ কৰা: মধ্যমীয়া ছালৰ ৰং
🙏🏾	অনুগ্ৰহ, ধন্যবাদ, প্ৰাৰ্থনা, মধ্যমীয়া-ক’লা ছালৰ ৰং, সোধা, হাত, হাত জোৰ কৰা, হাত জোৰ কৰা: মধ্যমীয়া-ক’লা ছালৰ ৰং
🙏🏿	অনুগ্ৰহ, ক’লা ছালৰ ৰং, ধন্যবাদ, প্ৰাৰ্থনা, সোধা, হাত, হাত জোৰ কৰা, হাত জোৰ কৰা: ক’লা ছালৰ ৰং
✍️	লিখা, লিখি থকা হাত, হাত
✍🏻	পাতল ছালৰ ৰং, লিখা, লিখি থকা হাত, লিখি থকা হাত: পাতল ছালৰ ৰং, হাত
✍🏼	মধ্যমীয়া-পাতল ছালৰ ৰং, লিখা, লিখি থকা হাত, লিখি থকা হাত: মধ্যমীয়া-পাতল ছালৰ ৰং, হাত
✍🏽	মধ্যমীয়া ছালৰ ৰং, লিখা, লিখি থকা হাত, লিখি থকা হাত: মধ্যমীয়া ছালৰ ৰং, হাত
✍🏾	মধ্যমীয়া-ক’লা ছালৰ ৰং, লিখা, লিখি থকা হাত, লিখি থকা হাত: মধ্যমীয়া-ক’লা ছালৰ ৰং, হাত
✍🏿	ক’লা ছালৰ ৰং, লিখা, লিখি থকা হাত, লিখি থকা হাত: ক’লা ছালৰ ৰং, হাত
💅	কছমেটিক্স, নখ, নেইল প’লিচ, প’লিচ, মেনিকিয়ৰ, যত্ন
💅🏻	কছমেটিক্স, নখ, নেইল প’লিচ, নেইল প’লিচ: পাতল ছালৰ ৰং, পাতল ছালৰ ৰং, প’লিচ, মেনিকিয়ৰ, যত্ন
💅🏼	কছমেটিক্স, নখ, নেইল প’লিচ, নেইল প’লিচ: মধ্যমীয়া-পাতল ছালৰ ৰং, প’লিচ, মধ্যমীয়া-পাতল ছালৰ ৰং, মেনিকিয়ৰ, যত্ন
💅🏽	কছমেটিক্স, নখ, নেইল প’লিচ, নেইল প’লিচ: মধ্যমীয়া ছালৰ ৰং, প’লিচ, মধ্যমীয়া ছালৰ ৰং, মেনিকিয়ৰ, যত্ন
💅🏾	কছমেটিক্স, নখ, নেইল প’লিচ, নেইল প’লিচ: মধ্যমীয়া-ক’লা ছালৰ ৰং, প’লিচ, মধ্যমীয়া-ক’লা ছালৰ ৰং, মেনিকিয়ৰ, যত্ন
💅🏿	কছমেটিক্স, ক’লা ছালৰ ৰং, নখ, নেইল প’লিচ, নেইল প’লিচ: ক’লা ছালৰ ৰং, প’লিচ, মেনিকিয়ৰ, যত্ন
🤳	কেমেৰা, ছেল্‌ফি, ফোন
🤳🏻	কেমেৰা, ছেল্‌ফি, ছেল্‌ফি: পাতল ছালৰ ৰং, পাতল ছালৰ ৰং, ফোন
🤳🏼	কেমেৰা, ছেল্‌ফি, ছেল্‌ফি: মধ্যমীয়া-পাতল ছালৰ ৰং, ফোন, মধ্যমীয়া-পাতল ছালৰ ৰং
🤳🏽	কেমেৰা, ছেল্‌ফি, ছেল্‌ফি: মধ্যমীয়া ছালৰ ৰং, ফোন, মধ্যমীয়া ছালৰ ৰং
🤳🏾	কেমেৰা, ছেল্‌ফি, ছেল্‌ফি: মধ্যমীয়া-ক’লা ছালৰ ৰং, ফোন, মধ্যমীয়া-ক’লা ছালৰ ৰং
🤳🏿	কেমেৰা, ক’লা ছালৰ ৰং, ছেল্‌ফি, ছেল্‌ফি: ক’লা ছালৰ ৰং, ফোন
💪	কমিক, ফুলা, ফুলা বাইচেপ, বাইচেপ, মাংসপেশী
💪🏻	কমিক, পাতল ছালৰ ৰং, ফুলা, ফুলা বাইচেপ: পাতল ছালৰ ৰং, বাইচেপ, মাংসপেশী
💪🏼	কমিক, ফুলা, ফুলা বাইচেপ: মধ্যমীয়া-পাতল ছালৰ ৰং, বাইচেপ, মধ্যমীয়া-পাতল ছালৰ ৰং, মাংসপেশী
💪🏽	কমিক, ফুলা, ফুলা বাইচেপ: মধ্যমীয়া ছালৰ ৰং, বাইচেপ, মধ্যমীয়া ছালৰ ৰং, মাংসপেশী
💪🏾	কমিক, ফুলা, ফুলা বাইচেপ: মধ্যমীয়া-ক’লা ছালৰ ৰং, বাইচেপ, মধ্যমীয়া-ক’লা ছালৰ ৰং, মাংসপেশী
💪🏿	কমিক, ক’লা ছালৰ ৰং, ফুলা, ফুলা বাইচেপ: ক’লা ছালৰ ৰং, বাইচেপ, মাংসপেশী
🦾	কৃত্ৰিম, দিব্যাংগ, যান্ত্ৰিক হাত
🦿	কৃত্ৰিম, দিব্যাংগ, যান্ত্ৰিক ভৰি
🦵	অংগ, গোৰ, ঠেং
🦵🏻	অংগ, গোৰ, ঠেং, ঠেং: পাতল ছালৰ ৰং, পাতল ছালৰ ৰং
🦵🏼	অংগ, গোৰ, ঠেং, ঠেং: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং
🦵🏽	অংগ, গোৰ, ঠেং, ঠেং: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং
🦵🏾	অংগ, গোৰ, ঠেং, ঠেং: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং
🦵🏿	অংগ, ক’লা ছালৰ ৰং, গোৰ, ঠেং, ঠেং: ক’লা ছালৰ ৰং
🦶	গোৰ, ভৰি, ভৰি পেলাই যোৱা
🦶🏻	গোৰ, পাতল ছালৰ ৰং, ভৰি, ভৰি পেলাই যোৱা, ভৰি: পাতল ছালৰ ৰং
🦶🏼	গোৰ, ভৰি, ভৰি পেলাই যোৱা, ভৰি: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং
🦶🏽	গোৰ, ভৰি, ভৰি পেলাই যোৱা, ভৰি: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং
🦶🏾	গোৰ, ভৰি, ভৰি পেলাই যোৱা, ভৰি: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং
🦶🏿	ক’লা ছালৰ ৰং, গোৰ, ভৰি, ভৰি পেলাই যোৱা, ভৰি: ক’লা ছালৰ ৰং
👂️	কাণ, শৰীৰ
👂🏻	কাণ, কাণ: পাতল ছালৰ ৰং, পাতল ছালৰ ৰং, শৰীৰ
👂🏼	কাণ, কাণ: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং, শৰীৰ
👂🏽	কাণ, কাণ: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং, শৰীৰ
👂🏾	কাণ, কাণ: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং, শৰীৰ
👂🏿	কাণ, কাণ: ক’লা ছালৰ ৰং, ক’লা ছালৰ ৰং, শৰীৰ
🦻	কলা, দিব্যাংগ, শ্ৰৱণ যন্ত্ৰ লগাই থোৱা কাণৰ ছবি
🦻🏻	কলা, দিব্যাংগ, পাতল ছালৰ ৰং, শ্ৰৱণ যন্ত্ৰ লগাই থোৱা কাণৰ ছবি, শ্ৰৱণ যন্ত্ৰ লগাই থোৱা কাণৰ ছবি: পাতল ছালৰ ৰং
🦻🏼	কলা, দিব্যাংগ, মধ্যমীয়া-পাতল ছালৰ ৰং, শ্ৰৱণ যন্ত্ৰ লগাই থোৱা কাণৰ ছবি, শ্ৰৱণ যন্ত্ৰ লগাই থোৱা কাণৰ ছবি: মধ্যমীয়া-পাতল ছালৰ ৰং
🦻🏽	কলা, দিব্যাংগ, মধ্যমীয়া ছালৰ ৰং, শ্ৰৱণ যন্ত্ৰ লগাই থোৱা কাণৰ ছবি, শ্ৰৱণ যন্ত্ৰ লগাই থোৱা কাণৰ ছবি: মধ্যমীয়া ছালৰ ৰং
🦻🏾	কলা, দিব্যাংগ, মধ্যমীয়া-ক’লা ছালৰ ৰং, শ্ৰৱণ যন্ত্ৰ লগাই থোৱা কাণৰ ছবি, শ্ৰৱণ যন্ত্ৰ লগাই থোৱা কাণৰ ছবি: মধ্যমীয়া-ক’লা ছালৰ ৰং
🦻🏿	কলা, ক’লা ছালৰ ৰং, দিব্যাংগ, শ্ৰৱণ যন্ত্ৰ লগাই থোৱা কাণৰ ছবি, শ্ৰৱণ যন্ত্ৰ লগাই থোৱা কাণৰ ছবি: ক’লা ছালৰ ৰং
👃	নাক, শৰীৰ
👃🏻	নাক, নাক: পাতল ছালৰ ৰং, পাতল ছালৰ ৰং, শৰীৰ
👃🏼	নাক, নাক: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং, শৰীৰ
👃🏽	নাক, নাক: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং, শৰীৰ
👃🏾	নাক, নাক: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং, শৰীৰ
👃🏿	ক’লা ছালৰ ৰং, নাক, নাক: ক’লা ছালৰ ৰং, শৰীৰ
🧠	বুদ্ধিমান, মস্তিষ্ক
🦷	দন্ত-চিকিৎসক, দাঁত
🦴	কংকাল, হাঁড়
👀	চকু, চকুজুৰি, মুখ
👁️	চকু, শৰীৰ
👅	জিভা, শৰীৰ
👄	ওঁঠ, মুখ
👶	কেচুৱা, তৰুণ
👶🏻	কেচুৱা, কেচুৱা: পাতল ছালৰ ৰং, তৰুণ, পাতল ছালৰ ৰং
👶🏼	কেচুৱা, কেচুৱা: মধ্যমীয়া-পাতল ছালৰ ৰং, তৰুণ, মধ্যমীয়া-পাতল ছালৰ ৰং
👶🏽	কেচুৱা, কেচুৱা: মধ্যমীয়া ছালৰ ৰং, তৰুণ, মধ্যমীয়া ছালৰ ৰং
👶🏾	কেচুৱা, কেচুৱা: মধ্যমীয়া-ক’লা ছালৰ ৰং, তৰুণ, মধ্যমীয়া-ক’লা ছালৰ ৰং
👶🏿	কেচুৱা, কেচুৱা: ক’লা ছালৰ ৰং, ক’লা ছালৰ ৰং, তৰুণ
🧒	তৰুণ, লিংগ নিউট্ৰেল, শিশু
🧒🏻	তৰুণ, পাতল ছালৰ ৰং, লিংগ নিউট্ৰেল, শিশু, শিশু: পাতল ছালৰ ৰং
🧒🏼	তৰুণ, মধ্যমীয়া-পাতল ছালৰ ৰং, লিংগ নিউট্ৰেল, শিশু, শিশু: মধ্যমীয়া-পাতল ছালৰ ৰং
🧒🏽	তৰুণ, মধ্যমীয়া ছালৰ ৰং, লিংগ নিউট্ৰেল, শিশু, শিশু: মধ্যমীয়া ছালৰ ৰং
🧒🏾	তৰুণ, মধ্যমীয়া-ক’লা ছালৰ ৰং, লিংগ নিউট্ৰেল, শিশু, শিশু: মধ্যমীয়া-ক’লা ছালৰ ৰং
🧒🏿	ক’লা ছালৰ ৰং, তৰুণ, লিংগ নিউট্ৰেল, শিশু, শিশু: ক’লা ছালৰ ৰং
👦	তৰুণ, ল’ৰা
👦🏻	তৰুণ, পাতল ছালৰ ৰং, ল’ৰা, ল’ৰা: পাতল ছালৰ ৰং
👦🏼	তৰুণ, মধ্যমীয়া-পাতল ছালৰ ৰং, ল’ৰা, ল’ৰা: মধ্যমীয়া-পাতল ছালৰ ৰং
👦🏽	তৰুণ, মধ্যমীয়া ছালৰ ৰং, ল’ৰা, ল’ৰা: মধ্যমীয়া ছালৰ ৰং
👦🏾	তৰুণ, মধ্যমীয়া-ক’লা ছালৰ ৰং, ল’ৰা, ল’ৰা: মধ্যমীয়া-ক’লা ছালৰ ৰং
👦🏿	ক’লা ছালৰ ৰং, তৰুণ, ল’ৰা, ল’ৰা: ক’লা ছালৰ ৰং
👧	কন্যাৰাশি, ছোৱালী, তৰুণ, ৰাশি
👧🏻	কন্যাৰাশি, ছোৱালী, ছোৱালী: পাতল ছালৰ ৰং, তৰুণ, পাতল ছালৰ ৰং, ৰাশি
👧🏼	কন্যাৰাশি, ছোৱালী, ছোৱালী: মধ্যমীয়া-পাতল ছালৰ ৰং, তৰুণ, মধ্যমীয়া-পাতল ছালৰ ৰং, ৰাশি
👧🏽	কন্যাৰাশি, ছোৱালী, ছোৱালী: মধ্যমীয়া ছালৰ ৰং, তৰুণ, মধ্যমীয়া ছালৰ ৰং, ৰাশি
👧🏾	কন্যাৰাশি, ছোৱালী, ছোৱালী: মধ্যমীয়া-ক’লা ছালৰ ৰং, তৰুণ, মধ্যমীয়া-ক’লা ছালৰ ৰং, ৰাশি
👧🏿	কন্যাৰাশি, ক’লা ছালৰ ৰং, ছোৱালী, ছোৱালী: ক’লা ছালৰ ৰং, তৰুণ, ৰাশি
🧑	প্ৰাপ্তবয়স্ক, লিংগ নিউট্ৰেল
🧑🏻	পাতল ছালৰ ৰং, প্ৰাপ্তবয়স্ক, প্ৰাপ্তবয়স্ক: পাতল ছালৰ ৰং, লিংগ নিউট্ৰেল
🧑🏼	প্ৰাপ্তবয়স্ক, প্ৰাপ্তবয়স্ক: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং, লিংগ নিউট্ৰেল
🧑🏽	প্ৰাপ্তবয়স্ক, প্ৰাপ্তবয়স্ক: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং, লিংগ নিউট্ৰেল
🧑🏾	প্ৰাপ্তবয়স্ক, প্ৰাপ্তবয়স্ক: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং, লিংগ নিউট্ৰেল
🧑🏿	ক’লা ছালৰ ৰং, প্ৰাপ্তবয়স্ক, প্ৰাপ্তবয়স্ক: ক’লা ছালৰ ৰং, লিংগ নিউট্ৰেল
👱	চুলি, ব্যক্তি: সোণালী চুলি, সোণালী চুলিৰ ব্যক্তি, স্বৰ্ণকেশী
👱🏻	চুলি, পাতল ছালৰ ৰং, ব্যক্তি: পাতল ছালৰ ৰং, সোণালী চুলি, ব্যক্তি: সোণালী চুলি, সোণালী চুলি, সোণালী চুলিৰ ব্যক্তি, স্বৰ্ণকেশী
👱🏼	চুলি, ব্যক্তি: মধ্যমীয়া-পাতল ছালৰ ৰং, সোণালী চুলি, ব্যক্তি: সোণালী চুলি, মধ্যমীয়া-পাতল ছালৰ ৰং, সোণালী চুলি, সোণালী চুলিৰ ব্যক্তি, স্বৰ্ণকেশী
👱🏽	চুলি, ব্যক্তি: মধ্যমীয়া ছালৰ ৰং, সোণালী চুলি, ব্যক্তি: সোণালী চুলি, মধ্যমীয়া ছালৰ ৰং, সোণালী চুলি, সোণালী চুলিৰ ব্যক্তি, স্বৰ্ণকেশী
👱🏾	চুলি, ব্যক্তি: মধ্যমীয়া-ক’লা ছালৰ ৰং, সোণালী চুলি, ব্যক্তি: সোণালী চুলি, মধ্যমীয়া-ক’লা ছালৰ ৰং, সোণালী চুলি, সোণালী চুলিৰ ব্যক্তি, স্বৰ্ণকেশী
👱🏿	ক’লা ছালৰ ৰং, চুলি, ব্যক্তি: ক’লা ছালৰ ৰং, সোণালী চুলি, ব্যক্তি: সোণালী চুলি, সোণালী চুলি, সোণালী চুলিৰ ব্যক্তি, স্বৰ্ণকেশী
👨	পুৰুষ, মুনিহ
👨🏻	পাতল ছালৰ ৰং, পুৰুষ, মুনিহ, মুনিহ: পাতল ছালৰ ৰং
👨🏼	পুৰুষ, মধ্যমীয়া-পাতল ছালৰ ৰং, মুনিহ, মুনিহ: মধ্যমীয়া-পাতল ছালৰ ৰং
👨🏽	পুৰুষ, মধ্যমীয়া ছালৰ ৰং, মুনিহ, মুনিহ: মধ্যমীয়া ছালৰ ৰং
👨🏾	পুৰুষ, মধ্যমীয়া-ক’লা ছালৰ ৰং, মুনিহ, মুনিহ: মধ্যমীয়া-ক’লা ছালৰ ৰং
👨🏿	ক’লা ছালৰ ৰং, পুৰুষ, মুনিহ, মুনিহ: ক’লা ছালৰ ৰং
🧔	দাঢ়ি, পুৰুষ, পুৰুষ: দাঢ়ি, ব্যক্তি
🧔🏻	দাঢ়ি, পাতল ছালৰ ৰং, পুৰুষ, পুৰুষ: দাঢ়ি, পুৰুষ: পাতল ছালৰ ৰং, দাঢ়ি, ব্যক্তি
🧔🏼	দাঢ়ি, পুৰুষ, পুৰুষ: দাঢ়ি, পুৰুষ: মধ্যমীয়া-পাতল ছালৰ ৰং, দাঢ়ি, ব্যক্তি, মধ্যমীয়া-পাতল ছালৰ ৰং
🧔🏽	দাঢ়ি, পুৰুষ, পুৰুষ: দাঢ়ি, পুৰুষ: মধ্যমীয়া ছালৰ ৰং, দাঢ়ি, ব্যক্তি, মধ্যমীয়া ছালৰ ৰং
🧔🏾	দাঢ়ি, পুৰুষ, পুৰুষ: দাঢ়ি, পুৰুষ: মধ্যমীয়া-ক’লা ছালৰ ৰং, দাঢ়ি, ব্যক্তি, মধ্যমীয়া-ক’লা ছালৰ ৰং
🧔🏿	ক’লা ছালৰ ৰং, দাঢ়ি, পুৰুষ, পুৰুষ: ক’লা ছালৰ ৰং, দাঢ়ি, পুৰুষ: দাঢ়ি, ব্যক্তি
👱‍♂	চুলি, পুৰুষ, পুৰুষ: সোণালী চুলি, সোণালী চুলিৰ পুৰুষ, স্বৰ্ণকেশী
👱🏻‍♂	চুলি, পাতল ছালৰ ৰং, পুৰুষ, পুৰুষ: পাতল ছালৰ ৰং, সোণালী চুলি, পুৰুষ: সোণালী চুলি, সোণালী চুলি, সোণালী চুলিৰ পুৰুষ, স্বৰ্ণকেশী
👱🏼‍♂	চুলি, পুৰুষ, পুৰুষ: মধ্যমীয়া-পাতল ছালৰ ৰং, সোণালী চুলি, পুৰুষ: সোণালী চুলি, মধ্যমীয়া-পাতল ছালৰ ৰং, সোণালী চুলি, সোণালী চুলিৰ পুৰুষ, স্বৰ্ণকেশী
👱🏽‍♂	চুলি, পুৰুষ, পুৰুষ: মধ্যমীয়া ছালৰ ৰং, সোণালী চুলি, পুৰুষ: সোণালী চুলি, মধ্যমীয়া ছালৰ ৰং, সোণালী চুলি, সোণালী চুলিৰ পুৰুষ, স্বৰ্ণকেশী
👱🏾‍♂	চুলি, পুৰুষ, পুৰুষ: মধ্যমীয়া-ক’লা ছালৰ ৰং, সোণালী চুলি, পুৰুষ: সোণালী চুলি, মধ্যমীয়া-ক’লা ছালৰ ৰং, সোণালী চুলি, সোণালী চুলিৰ পুৰুষ, স্বৰ্ণকেশী
👱🏿‍♂	ক’লা ছালৰ ৰং, চুলি, পুৰুষ, পুৰুষ: ক’লা ছালৰ ৰং, সোণালী চুলি, পুৰুষ: সোণালী চুলি, সোণালী চুলি, সোণালী চুলিৰ পুৰুষ, স্বৰ্ণকেশী
👨‍🦰	পুৰুষ, মুনিহ, মুনিহ: ৰঙা চুলি, ৰঙা চুলি
👨🏻‍🦰	পাতল ছালৰ ৰং, পুৰুষ, মুনিহ, মুনিহ: পাতল ছালৰ ৰং, ৰঙা চুলি, ৰঙা চুলি
👨🏼‍🦰	পুৰুষ, মধ্যমীয়া-পাতল ছালৰ ৰং, মুনিহ, মুনিহ: মধ্যমীয়া-পাতল ছালৰ ৰং, ৰঙা চুলি, ৰঙা চুলি
👨🏽‍🦰	পুৰুষ, মধ্যমীয়া ছালৰ ৰং, মুনিহ, মুনিহ: মধ্যমীয়া ছালৰ ৰং, ৰঙা চুলি, ৰঙা চুলি
👨🏾‍🦰	পুৰুষ, মধ্যমীয়া-ক’লা ছালৰ ৰং, মুনিহ, মুনিহ: মধ্যমীয়া-ক’লা ছালৰ ৰং, ৰঙা চুলি, ৰঙা চুলি
👨🏿‍🦰	ক’লা ছালৰ ৰং, পুৰুষ, মুনিহ, মুনিহ: ক’লা ছালৰ ৰং, ৰঙা চুলি, ৰঙা চুলি
👨‍🦱	কেঁকোৰা চুলি, পুৰুষ, মুনিহ, মুনিহ: কেঁকোৰা চুলি
👨🏻‍🦱	কেঁকোৰা চুলি, পাতল ছালৰ ৰং, পুৰুষ, মুনিহ, মুনিহ: পাতল ছালৰ ৰং, কেঁকোৰা চুলি
👨🏼‍🦱	কেঁকোৰা চুলি, পুৰুষ, মধ্যমীয়া-পাতল ছালৰ ৰং, মুনিহ, মুনিহ: মধ্যমীয়া-পাতল ছালৰ ৰং, কেঁকোৰা চুলি
👨🏽‍🦱	কেঁকোৰা চুলি, পুৰুষ, মধ্যমীয়া ছালৰ ৰং, মুনিহ, মুনিহ: মধ্যমীয়া ছালৰ ৰং, কেঁকোৰা চুলি
👨🏾‍🦱	কেঁকোৰা চুলি, পুৰুষ, মধ্যমীয়া-ক’লা ছালৰ ৰং, মুনিহ, মুনিহ: মধ্যমীয়া-ক’লা ছালৰ ৰং, কেঁকোৰা চুলি
👨🏿‍🦱	কেঁকোৰা চুলি, ক’লা ছালৰ ৰং, পুৰুষ, মুনিহ, মুনিহ: ক’লা ছালৰ ৰং, কেঁকোৰা চুলি
👨‍🦳	পুৰুষ, বগা চুলি, মুনিহ, মুনিহ: বগা চুলি
👨🏻‍🦳	পাতল ছালৰ ৰং, পুৰুষ, বগা চুলি, মুনিহ, মুনিহ: পাতল ছালৰ ৰং, বগা চুলি
👨🏼‍🦳	পুৰুষ, বগা চুলি, মধ্যমীয়া-পাতল ছালৰ ৰং, মুনিহ, মুনিহ: মধ্যমীয়া-পাতল ছালৰ ৰং, বগা চুলি
👨🏽‍🦳	পুৰুষ, বগা চুলি, মধ্যমীয়া ছালৰ ৰং, মুনিহ, মুনিহ: মধ্যমীয়া ছালৰ ৰং, বগা চুলি
👨🏾‍🦳	পুৰুষ, বগা চুলি, মধ্যমীয়া-ক’লা ছালৰ ৰং, মুনিহ, মুনিহ: মধ্যমীয়া-ক’লা ছালৰ ৰং, বগা চুলি
👨🏿‍🦳	ক’লা ছালৰ ৰং, পুৰুষ, বগা চুলি, মুনিহ, মুনিহ: ক’লা ছালৰ ৰং, বগা চুলি
👨‍🦲	টপা মূৰীয়া, পুৰুষ, মুনিহ, মুনিহ: টপা মূৰীয়া
👨🏻‍🦲	টপা মূৰীয়া, পাতল ছালৰ ৰং, পুৰুষ, মুনিহ, মুনিহ: পাতল ছালৰ ৰং, টপা মূৰীয়া
👨🏼‍🦲	টপা মূৰীয়া, পুৰুষ, মধ্যমীয়া-পাতল ছালৰ ৰং, মুনিহ, মুনিহ: মধ্যমীয়া-পাতল ছালৰ ৰং, টপা মূৰীয়া
👨🏽‍🦲	টপা মূৰীয়া, পুৰুষ, মধ্যমীয়া ছালৰ ৰং, মুনিহ, মুনিহ: মধ্যমীয়া ছালৰ ৰং, টপা মূৰীয়া
👨🏾‍🦲	টপা মূৰীয়া, পুৰুষ, মধ্যমীয়া-ক’লা ছালৰ ৰং, মুনিহ, মুনিহ: মধ্যমীয়া-ক’লা ছালৰ ৰং, টপা মূৰীয়া
👨🏿‍🦲	ক’লা ছালৰ ৰং, টপা মূৰীয়া, পুৰুষ, মুনিহ, মুনিহ: ক’লা ছালৰ ৰং, টপা মূৰীয়া
👩	তিৰোতা, মহিলা
👩🏻	তিৰোতা, তিৰোতা: পাতল ছালৰ ৰং, পাতল ছালৰ ৰং, মহিলা
👩🏼	তিৰোতা, তিৰোতা: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং, মহিলা
