😀	cerenje, lice
💁🏾‍♂	gestikulacija, informacija, muškarac, muškarac otkriva namjere, muškarac otkriva namjere: umjereno tamna boja kože, ruke, umjereno tamna boja kože
💁🏿‍♂	gestikulacija, informacija, muškarac, muškarac otkriva namjere, muškarac otkriva namjere: tamna boja kože, ruke, tamna boja kože
💁‍♀	gestikulacija, informacija, ruke, žena, žena otkriva namjere
💁🏻‍♀	gestikulacija, informacija, ruke, svijetla boja kože, žena, žena otkriva namjere, žena otkriva namjere: svijetla boja kože
💁🏼‍♀	gestikulacija, informacija, ruke, umjereno svijetla boja kože, žena, žena otkriva namjere, žena otkriva namjere: umjereno svijetla boja kože
💁🏽‍♀	gestikulacija, informacija, ruke, umjerena boja kože, žena, žena otkriva namjere, žena otkriva namjere: umjerena boja kože
💁🏾‍♀	gestikulacija, informacija, ruke, umjereno tamna boja kože, žena, žena otkriva namjere, žena otkriva namjere: umjereno tamna boja kože
💁🏿‍♀	gestikulacija, informacija, ruke, tamna boja kože, žena, žena otkriva namjere, žena otkriva namjere: tamna boja kože
🙋	gestikulacija, informacije, osoba podiže ruku, ruke, učestvovanje
🙋🏻	gestikulacija, informacije, osoba podiže ruku, osoba podiže ruku: svijetla boja kože, ruke, svijetla boja kože, učestvovanje
🙋🏼	gestikulacija, informacije, osoba podiže ruku, osoba podiže ruku: umjereno svijetla boja kože, ruke, umjereno svijetla boja kože, učestvovanje
🙋🏽	gestikulacija, informacije, osoba podiže ruku, osoba podiže ruku: umjerena boja kože, ruke, umjerena boja kože, učestvovanje
🙋🏾	gestikulacija, informacije, osoba podiže ruku, osoba podiže ruku: umjereno tamna boja kože, ruke, umjereno tamna boja kože, učestvovanje
🙋🏿	gestikulacija, informacije, osoba podiže ruku, osoba podiže ruku: tamna boja kože, ruke, tamna boja kože, učestvovanje
🙋‍♂	gestikulacija, informacije, muškarac, muškarac podiže ruku, učestvovanje
🙋🏻‍♂	gestikulacija, informacije, muškarac, muškarac podiže ruku, muškarac podiže ruku: svijetla boja kože, svijetla boja kože, učestvovanje
🙋🏼‍♂	gestikulacija, informacije, muškarac, muškarac podiže ruku, muškarac podiže ruku: umjereno svijetla boja kože, umjereno svijetla boja kože, učestvovanje
🙋🏽‍♂	gestikulacija, informacije, muškarac, muškarac podiže ruku, muškarac podiže ruku: umjerena boja kože, umjerena boja kože, učestvovanje
🙋🏾‍♂	gestikulacija, informacije, muškarac, muškarac podiže ruku, muškarac podiže ruku: umjereno tamna boja kože, umjereno tamna boja kože, učestvovanje
🙋🏿‍♂	gestikulacija, informacije, muškarac, muškarac podiže ruku, muškarac podiže ruku: tamna boja kože, tamna boja kože, učestvovanje
🙋‍♀	gestikulacija, informacije, učestvovanje, žena, žena podiže ruku
🙋🏻‍♀	gestikulacija, informacije, svijetla boja kože, učestvovanje, žena, žena podiže ruku, žena podiže ruku: svijetla boja kože
🙋🏼‍♀	gestikulacija, informacije, umjereno svijetla boja kože, učestvovanje, žena, žena podiže ruku, žena podiže ruku: umjereno svijetla boja kože
🙋🏽‍♀	gestikulacija, informacije, umjerena boja kože, učestvovanje, žena, žena podiže ruku, žena podiže ruku: umjerena boja kože
🙋🏾‍♀	gestikulacija, informacije, umjereno tamna boja kože, učestvovanje, žena, žena podiže ruku, žena podiže ruku: umjereno tamna boja kože
🙋🏿‍♀	gestikulacija, informacije, tamna boja kože, učestvovanje, žena, žena podiže ruku, žena podiže ruku: tamna boja kože
🧏	gluha osoba, gluhoća, pomagalo, sluh, uho
🧏🏻	gluha osoba, gluha osoba: svijetla boja kože, gluhoća, pomagalo, sluh, svijetla boja kože, uho
🧏🏼	gluha osoba, gluha osoba: umjereno svijetla boja kože, gluhoća, pomagalo, sluh, uho, umjereno svijetla boja kože
🧏🏽	gluha osoba, gluha osoba: umjerena boja kože, gluhoća, pomagalo, sluh, uho, umjerena boja kože
🧏🏾	gluha osoba, gluha osoba: umjereno tamna boja kože, gluhoća, pomagalo, sluh, uho, umjereno tamna boja kože
🧏🏿	gluha osoba, gluha osoba: tamna boja kože, gluhoća, pomagalo, sluh, tamna boja kože, uho
🧏‍♂	gluh, gluh muškarac, muškarac
🧏🏻‍♂	gluh, gluh muškarac: svijetla boja kože, muškarac, svijetla boja kože
🧏🏼‍♂	gluh, gluh muškarac: umjereno svijetla boja kože, muškarac, umjereno svijetla boja kože
🧏🏽‍♂	gluh, gluh muškarac: umjerena boja kože, muškarac, umjerena boja kože
🧏🏾‍♂	gluh, gluh muškarac: umjereno tamna boja kože, muškarac, umjereno tamna boja kože
🧏🏿‍♂	gluh, gluh muškarac: tamna boja kože, muškarac, tamna boja kože
🧏‍♀	gluha, gluha žena, žena
🧏🏻‍♀	gluha, gluha žena: svijetla boja kože, svijetla boja kože, žena
🧏🏼‍♀	gluha, gluha žena: umjereno svijetla boja kože, umjereno svijetla boja kože, žena
🧏🏽‍♀	gluha, gluha žena: umjerena boja kože, umjerena boja kože, žena
🧏🏾‍♀	gluha, gluha žena: umjereno tamna boja kože, umjereno tamna boja kože, žena
🧏🏿‍♀	gluha, gluha žena: tamna boja kože, tamna boja kože, žena
🙇	gestikulacija, izvinjenje, naklon, osoba se naklanja, poniznost
🙇🏻	gestikulacija, izvinjenje, naklon, osoba se naklanja, osoba se naklanja: svijetla boja kože, poniznost, svijetla boja kože
🙇🏼	gestikulacija, izvinjenje, naklon, osoba se naklanja, osoba se naklanja: umjereno svijetla boja kože, poniznost, umjereno svijetla boja kože
🙇🏽	gestikulacija, izvinjenje, naklon, osoba se naklanja, osoba se naklanja: umjerena boja kože, poniznost, umjerena boja kože
🙇🏾	gestikulacija, izvinjenje, naklon, osoba se naklanja, osoba se naklanja: umjereno tamna boja kože, poniznost, umjereno tamna boja kože
🙇🏿	gestikulacija, izvinjenje, naklon, osoba se naklanja, osoba se naklanja: tamna boja kože, poniznost, tamna boja kože
🙇‍♂	gestikulacija, izvinjenje, muškarac, muškarac se duboko naklanja, naklon
🙇🏻‍♂	gestikulacija, izvinjenje, muškarac, muškarac se duboko naklanja, muškarac se duboko naklanja: svijetla boja kože, naklon, svijetla boja kože
🙇🏼‍♂	gestikulacija, izvinjenje, muškarac, muškarac se duboko naklanja, muškarac se duboko naklanja: umjereno svijetla boja kože, naklon, umjereno svijetla boja kože
🙇🏽‍♂	gestikulacija, izvinjenje, muškarac, muškarac se duboko naklanja, muškarac se duboko naklanja: umjerena boja kože, naklon, umjerena boja kože
🙇🏾‍♂	gestikulacija, izvinjenje, muškarac, muškarac se duboko naklanja, muškarac se duboko naklanja: umjereno tamna boja kože, naklon, umjereno tamna boja kože
🙇🏿‍♂	gestikulacija, izvinjenje, muškarac, muškarac se duboko naklanja, muškarac se duboko naklanja: tamna boja kože, naklon, tamna boja kože
🙇‍♀	gestikulacija, izvinjenje, naklon, žena, žena se duboko naklanja
🙇🏻‍♀	gestikulacija, izvinjenje, naklon, svijetla boja kože, žena, žena se duboko naklanja, žena se duboko naklanja: svijetla boja kože
🙇🏼‍♀	gestikulacija, izvinjenje, naklon, umjereno svijetla boja kože, žena, žena se duboko naklanja, žena se duboko naklanja: umjereno svijetla boja kože
🙇🏽‍♀	gestikulacija, izvinjenje, naklon, umjerena boja kože, žena, žena se duboko naklanja, žena se duboko naklanja: umjerena boja kože
🙇🏾‍♀	gestikulacija, izvinjenje, naklon, umjereno tamna boja kože, žena, žena se duboko naklanja, žena se duboko naklanja: umjereno tamna boja kože
🙇🏿‍♀	gestikulacija, izvinjenje, naklon, tamna boja kože, žena, žena se duboko naklanja, žena se duboko naklanja: tamna boja kože
🤦	dlan, lice, nevjerica, očaj
🤦🏻	dlan, lice, nevjerica, očaj, očaj: svijetla boja kože, svijetla boja kože
🤦🏼	dlan, lice, nevjerica, očaj, očaj: umjereno svijetla boja kože, umjereno svijetla boja kože
🤦🏽	dlan, lice, nevjerica, očaj, očaj: umjerena boja kože, umjerena boja kože
🤦🏾	dlan, lice, nevjerica, očaj, očaj: umjereno tamna boja kože, umjereno tamna boja kože
🤦🏿	dlan, lice, nevjerica, očaj, očaj: tamna boja kože, tamna boja kože
🤦‍♂	gestikulacija, muškarac s rukom na čelu, nevjerica, ogorčenje, razočaranje
🤦🏻‍♂	gestikulacija, muškarac s rukom na čelu, muškarac s rukom na čelu: svijetla boja kože, nevjerica, ogorčenje, razočaranje, svijetla boja kože
🤦🏼‍♂	gestikulacija, muškarac s rukom na čelu, muškarac s rukom na čelu: umjereno svijetla boja kože, nevjerica, ogorčenje, razočaranje, umjereno svijetla boja kože
🤦🏽‍♂	gestikulacija, muškarac s rukom na čelu, muškarac s rukom na čelu: umjerena boja kože, nevjerica, ogorčenje, razočaranje, umjerena boja kože
🤦🏾‍♂	gestikulacija, muškarac s rukom na čelu, muškarac s rukom na čelu: umjereno tamna boja kože, nevjerica, ogorčenje, razočaranje, umjereno tamna boja kože
🤦🏿‍♂	gestikulacija, muškarac s rukom na čelu, muškarac s rukom na čelu: tamna boja kože, nevjerica, ogorčenje, razočaranje, tamna boja kože
🤦‍♀	gestikulacija, nevjerica, ogorčenje, razočaranje, žena s rukom na čelu
🤦🏻‍♀	gestikulacija, nevjerica, ogorčenje, razočaranje, svijetla boja kože, žena s rukom na čelu, žena s rukom na čelu: svijetla boja kože
🤦🏼‍♀	gestikulacija, nevjerica, ogorčenje, razočaranje, umjereno svijetla boja kože, žena s rukom na čelu, žena s rukom na čelu: umjereno svijetla boja kože
🤦🏽‍♀	gestikulacija, nevjerica, ogorčenje, razočaranje, umjerena boja kože, žena s rukom na čelu, žena s rukom na čelu: umjerena boja kože
🤦🏾‍♀	gestikulacija, nevjerica, ogorčenje, razočaranje, umjereno tamna boja kože, žena s rukom na čelu, žena s rukom na čelu: umjereno tamna boja kože
🤦🏿‍♀	gestikulacija, nevjerica, ogorčenje, razočaranje, tamna boja kože, žena s rukom na čelu, žena s rukom na čelu: tamna boja kože
🤷	nezainteresiranost, neznanje, slijeganje ramenima, sumnja
🤷🏻	nezainteresiranost, neznanje, slijeganje ramenima, slijeganje ramenima: svijetla boja kože, sumnja, svijetla boja kože
🤷🏼	nezainteresiranost, neznanje, slijeganje ramenima, slijeganje ramenima: umjereno svijetla boja kože, sumnja, umjereno svijetla boja kože
🤷🏽	nezainteresiranost, neznanje, slijeganje ramenima, slijeganje ramenima: umjerena boja kože, sumnja, umjerena boja kože
🤷🏾	nezainteresiranost, neznanje, slijeganje ramenima, slijeganje ramenima: umjereno tamna boja kože, sumnja, umjereno tamna boja kože
🤷🏿	nezainteresiranost, neznanje, slijeganje ramenima, slijeganje ramenima: tamna boja kože, sumnja, tamna boja kože
🤷‍♂	gestikulacija, muškarac, muškarac sliježe ramenima, neznanje, ravnodušnost
🤷🏻‍♂	gestikulacija, muškarac, muškarac sliježe ramenima, muškarac sliježe ramenima: svijetla boja kože, neznanje, ravnodušnost, svijetla boja kože
🤷🏼‍♂	gestikulacija, muškarac, muškarac sliježe ramenima, muškarac sliježe ramenima: umjereno svijetla boja kože, neznanje, ravnodušnost, umjereno svijetla boja kože
🤷🏽‍♂	gestikulacija, muškarac, muškarac sliježe ramenima, muškarac sliježe ramenima: umjerena boja kože, neznanje, ravnodušnost, umjerena boja kože
🤷🏾‍♂	gestikulacija, muškarac, muškarac sliježe ramenima, muškarac sliježe ramenima: umjereno tamna boja kože, neznanje, ravnodušnost, umjereno tamna boja kože
🤷🏿‍♂	gestikulacija, muškarac, muškarac sliježe ramenima, muškarac sliježe ramenima: tamna boja kože, neznanje, ravnodušnost, tamna boja kože
🤷‍♀	gestikulacija, neznanje, ravnodušnost, žena, žena sliježe ramenima
🤷🏻‍♀	gestikulacija, neznanje, ravnodušnost, svijetla boja kože, žena, žena sliježe ramenima, žena sliježe ramenima: svijetla boja kože
🤷🏼‍♀	gestikulacija, neznanje, ravnodušnost, umjereno svijetla boja kože, žena, žena sliježe ramenima, žena sliježe ramenima: umjereno svijetla boja kože
🤷🏽‍♀	gestikulacija, neznanje, ravnodušnost, umjerena boja kože, žena, žena sliježe ramenima, žena sliježe ramenima: umjerena boja kože
🤷🏾‍♀	gestikulacija, neznanje, ravnodušnost, umjereno tamna boja kože, žena, žena sliježe ramenima, žena sliježe ramenima: umjereno tamna boja kože
🤷🏿‍♀	gestikulacija, neznanje, ravnodušnost, tamna boja kože, žena, žena sliježe ramenima, žena sliježe ramenima: tamna boja kože
👨‍⚕	doktor, liječnik, ljekar, medicinski tehničar, zdravstveni radnik
👨🏻‍⚕	doktor, liječnik, ljekar, medicinski tehničar, svijetla boja kože, zdravstveni radnik, zdravstveni radnik: svijetla boja kože
👨🏼‍⚕	doktor, liječnik, ljekar, medicinski tehničar, umjereno svijetla boja kože, zdravstveni radnik, zdravstveni radnik: umjereno svijetla boja kože
👨🏽‍⚕	doktor, liječnik, ljekar, medicinski tehničar, umjerena boja kože, zdravstveni radnik, zdravstveni radnik: umjerena boja kože
👨🏾‍⚕	doktor, liječnik, ljekar, medicinski tehničar, umjereno tamna boja kože, zdravstveni radnik, zdravstveni radnik: umjereno tamna boja kože
👨🏿‍⚕	doktor, liječnik, ljekar, medicinski tehničar, tamna boja kože, zdravstveni radnik, zdravstveni radnik: tamna boja kože
👩‍⚕	doktorica, liječnica, ljekarka, medicinska sestra, zdravstvena radnica
👩🏻‍⚕	doktorica, liječnica, ljekarka, medicinska sestra, svijetla boja kože, zdravstvena radnica, zdravstvena radnica: svijetla boja kože
👩🏼‍⚕	doktorica, liječnica, ljekarka, medicinska sestra, umjereno svijetla boja kože, zdravstvena radnica, zdravstvena radnica: umjereno svijetla boja kože
👩🏽‍⚕	doktorica, liječnica, ljekarka, medicinska sestra, umjerena boja kože, zdravstvena radnica, zdravstvena radnica: umjerena boja kože
👩🏾‍⚕	doktorica, liječnica, ljekarka, medicinska sestra, umjereno tamna boja kože, zdravstvena radnica, zdravstvena radnica: umjereno tamna boja kože
👩🏿‍⚕	doktorica, liječnica, ljekarka, medicinska sestra, tamna boja kože, zdravstvena radnica, zdravstvena radnica: tamna boja kože
👨‍🎓	diploma, muškarac, student
👨🏻‍🎓	diploma, muškarac, student, student: svijetla boja kože, svijetla boja kože
👨🏼‍🎓	diploma, muškarac, student, student: umjereno svijetla boja kože, umjereno svijetla boja kože
👨🏽‍🎓	diploma, muškarac, student, student: umjerena boja kože, umjerena boja kože
👨🏾‍🎓	diploma, muškarac, student, student: umjereno tamna boja kože, umjereno tamna boja kože
👨🏿‍🎓	diploma, muškarac, student, student: tamna boja kože, tamna boja kože
👩‍🎓	diploma, student, studentica, žena
👩🏻‍🎓	diploma, student, studentica, studentica: svijetla boja kože, svijetla boja kože, žena
👩🏼‍🎓	diploma, student, studentica, studentica: umjereno svijetla boja kože, umjereno svijetla boja kože, žena
👩🏽‍🎓	diploma, student, studentica, studentica: umjerena boja kože, umjerena boja kože, žena
👩🏾‍🎓	diploma, student, studentica, studentica: umjereno tamna boja kože, umjereno tamna boja kože, žena
👩🏿‍🎓	diploma, student, studentica, studentica: tamna boja kože, tamna boja kože, žena
👨‍🏫	muškarac, nastavnik, profesor, učitelj
👨🏻‍🏫	muškarac, nastavnik, profesor, profesor: svijetla boja kože, svijetla boja kože, učitelj
👨🏼‍🏫	muškarac, nastavnik, profesor, profesor: umjereno svijetla boja kože, umjereno svijetla boja kože, učitelj
👨🏽‍🏫	muškarac, nastavnik, profesor, profesor: umjerena boja kože, umjerena boja kože, učitelj
👨🏾‍🏫	muškarac, nastavnik, profesor, profesor: umjereno tamna boja kože, umjereno tamna boja kože, učitelj
👨🏿‍🏫	muškarac, nastavnik, profesor, profesor: tamna boja kože, tamna boja kože, učitelj
👩‍🏫	nastavnik, profesor, profesorica, učitelj, žena
👩🏻‍🏫	nastavnik, profesor, profesorica, profesorica: svijetla boja kože, svijetla boja kože, učitelj, žena
👩🏼‍🏫	nastavnik, profesor, profesorica, profesorica: umjereno svijetla boja kože, umjereno svijetla boja kože, učitelj, žena
👩🏽‍🏫	nastavnik, profesor, profesorica, profesorica: umjerena boja kože, umjerena boja kože, učitelj, žena
👩🏾‍🏫	nastavnik, profesor, profesorica, profesorica: umjereno tamna boja kože, umjereno tamna boja kože, učitelj, žena
👩🏿‍🏫	nastavnik, profesor, profesorica, profesorica: tamna boja kože, tamna boja kože, učitelj, žena
👨‍⚖	muškarac, muškarac sudija, pravda, sudija
👨🏻‍⚖	muškarac, muškarac sudija: svijetla boja kože, pravda, sudija, svijetla boja kože
👨🏼‍⚖	muškarac, muškarac sudija: umjereno svijetla boja kože, pravda, sudija, umjereno svijetla boja kože
👨🏽‍⚖	muškarac, muškarac sudija: umjerena boja kože, pravda, sudija, umjerena boja kože
👨🏾‍⚖	muškarac, muškarac sudija: umjereno tamna boja kože, pravda, sudija, umjereno tamna boja kože
👨🏿‍⚖	muškarac, muškarac sudija: tamna boja kože, pravda, sudija, tamna boja kože
👩‍⚖	pravda, sudija, žena, žena sudija
👩🏻‍⚖	pravda, sudija, svijetla boja kože, žena, žena sudija: svijetla boja kože
👩🏼‍⚖	pravda, sudija, umjereno svijetla boja kože, žena, žena sudija: umjereno svijetla boja kože
👩🏽‍⚖	pravda, sudija, umjerena boja kože, žena, žena sudija: umjerena boja kože
👩🏾‍⚖	pravda, sudija, umjereno tamna boja kože, žena, žena sudija: umjereno tamna boja kože
👩🏿‍⚖	pravda, sudija, tamna boja kože, žena, žena sudija: tamna boja kože
👨‍🌾	farmer, muškarac, poljoprivrednik, selo
👨🏻‍🌾	farmer, muškarac, poljoprivrednik, poljoprivrednik: svijetla boja kože, selo, svijetla boja kože
👨🏼‍🌾	farmer, muškarac, poljoprivrednik, poljoprivrednik: umjereno svijetla boja kože, selo, umjereno svijetla boja kože
👨🏽‍🌾	farmer, muškarac, poljoprivrednik, poljoprivrednik: umjerena boja kože, selo, umjerena boja kože
👨🏾‍🌾	farmer, muškarac, poljoprivrednik, poljoprivrednik: umjereno tamna boja kože, selo, umjereno tamna boja kože
👨🏿‍🌾	farmer, muškarac, poljoprivrednik, poljoprivrednik: tamna boja kože, selo, tamna boja kože
👩‍🌾	farmer, poljoprivrednica, poljoprivrednik, selo, žena
👩🏻‍🌾	farmer, poljoprivrednica, poljoprivrednica: svijetla boja kože, poljoprivrednik, selo, svijetla boja kože, žena
👩🏼‍🌾	farmer, poljoprivrednica, poljoprivrednica: umjereno svijetla boja kože, poljoprivrednik, selo, umjereno svijetla boja kože, žena
👩🏽‍🌾	farmer, poljoprivrednica, poljoprivrednica: umjerena boja kože, poljoprivrednik, selo, umjerena boja kože, žena
👩🏾‍🌾	farmer, poljoprivrednica, poljoprivrednica: umjereno tamna boja kože, poljoprivrednik, selo, umjereno tamna boja kože, žena
👩🏿‍🌾	farmer, poljoprivrednica, poljoprivrednica: tamna boja kože, poljoprivrednik, selo, tamna boja kože, žena
👨‍🍳	kuhar, kuhinja, muškarac, šef kuhinje
👨🏻‍🍳	kuhar, kuhar: svijetla boja kože, kuhinja, muškarac, svijetla boja kože, šef kuhinje
👨🏼‍🍳	kuhar, kuhar: umjereno svijetla boja kože, kuhinja, muškarac, umjereno svijetla boja kože, šef kuhinje
👨🏽‍🍳	kuhar, kuhar: umjerena boja kože, kuhinja, muškarac, umjerena boja kože, šef kuhinje
👨🏾‍🍳	kuhar, kuhar: umjereno tamna boja kože, kuhinja, muškarac, umjereno tamna boja kože, šef kuhinje
👨🏿‍🍳	kuhar, kuhar: tamna boja kože, kuhinja, muškarac, tamna boja kože, šef kuhinje
👩‍🍳	kuhar, kuharica, kuhinja, šef kuhinje, žena
👩🏻‍🍳	kuhar, kuharica, kuharica: svijetla boja kože, kuhinja, svijetla boja kože, šef kuhinje, žena
👩🏼‍🍳	kuhar, kuharica, kuharica: umjereno svijetla boja kože, kuhinja, umjereno svijetla boja kože, šef kuhinje, žena
👩🏽‍🍳	kuhar, kuharica, kuharica: umjerena boja kože, kuhinja, umjerena boja kože, šef kuhinje, žena
👩🏾‍🍳	kuhar, kuharica, kuharica: umjereno tamna boja kože, kuhinja, umjereno tamna boja kože, šef kuhinje, žena
👩🏿‍🍳	kuhar, kuharica, kuharica: tamna boja kože, kuhinja, tamna boja kože, šef kuhinje, žena
👨‍🔧	alat, mehaničar, muškarac
👨🏻‍🔧	alat, mehaničar, mehaničar: svijetla boja kože, muškarac, svijetla boja kože
👨🏼‍🔧	alat, mehaničar, mehaničar: umjereno svijetla boja kože, muškarac, umjereno svijetla boja kože
👨🏽‍🔧	alat, mehaničar, mehaničar: umjerena boja kože, muškarac, umjerena boja kože
👨🏾‍🔧	alat, mehaničar, mehaničar: umjereno tamna boja kože, muškarac, umjereno tamna boja kože
👨🏿‍🔧	alat, mehaničar, mehaničar: tamna boja kože, muškarac, tamna boja kože
👩‍🔧	alat, mehaničar, mehaničarka, žena
👩🏻‍🔧	alat, mehaničar, mehaničarka, mehaničarka: svijetla boja kože, svijetla boja kože, žena
👩🏼‍🔧	alat, mehaničar, mehaničarka, mehaničarka: umjereno svijetla boja kože, umjereno svijetla boja kože, žena
👩🏽‍🔧	alat, mehaničar, mehaničarka, mehaničarka: umjerena boja kože, umjerena boja kože, žena
👩🏾‍🔧	alat, mehaničar, mehaničarka, mehaničarka: umjereno tamna boja kože, umjereno tamna boja kože, žena
👩🏿‍🔧	alat, mehaničar, mehaničarka, mehaničarka: tamna boja kože, tamna boja kože, žena
👨‍🏭	fabrika, industrijska proizvodnja, mašine, radnik, radnik u fabrici
👨🏻‍🏭	fabrika, industrijska proizvodnja, mašine, radnik, radnik u fabrici, radnik u fabrici: svijetla boja kože, svijetla boja kože
👨🏼‍🏭	fabrika, industrijska proizvodnja, mašine, radnik, radnik u fabrici, radnik u fabrici: umjereno svijetla boja kože, umjereno svijetla boja kože
👨🏽‍🏭	fabrika, industrijska proizvodnja, mašine, radnik, radnik u fabrici, radnik u fabrici: umjerena boja kože, umjerena boja kože
👨🏾‍🏭	fabrika, industrijska proizvodnja, mašine, radnik, radnik u fabrici, radnik u fabrici: umjereno tamna boja kože, umjereno tamna boja kože
👨🏿‍🏭	fabrika, industrijska proizvodnja, mašine, radnik, radnik u fabrici, radnik u fabrici: tamna boja kože, tamna boja kože
👩‍🏭	fabrika, industrijska proizvodnja, mašine, radnica u fabrici, radnik
👩🏻‍🏭	fabrika, industrijska proizvodnja, mašine, radnica u fabrici, radnica u fabrici: svijetla boja kože, radnik, svijetla boja kože
👩🏼‍🏭	fabrika, industrijska proizvodnja, mašine, radnica u fabrici, radnica u fabrici: umjereno svijetla boja kože, radnik, umjereno svijetla boja kože
👩🏽‍🏭	fabrika, industrijska proizvodnja, mašine, radnica u fabrici, radnica u fabrici: umjerena boja kože, radnik, umjerena boja kože
👩🏾‍🏭	fabrika, industrijska proizvodnja, mašine, radnica u fabrici, radnica u fabrici: umjereno tamna boja kože, radnik, umjereno tamna boja kože
👩🏿‍🏭	fabrika, industrijska proizvodnja, mašine, radnica u fabrici, radnica u fabrici: tamna boja kože, radnik, tamna boja kože
👨‍💼	menadžer, muškarac u kancelariji, posao, poslovno odijelo, zaposlenik
👨🏻‍💼	menadžer, muškarac u kancelariji, muškarac u kancelariji: svijetla boja kože, posao, poslovno odijelo, svijetla boja kože, zaposlenik
👨🏼‍💼	menadžer, muškarac u kancelariji, muškarac u kancelariji: umjereno svijetla boja kože, posao, poslovno odijelo, umjereno svijetla boja kože, zaposlenik
👨🏽‍💼	menadžer, muškarac u kancelariji, muškarac u kancelariji: umjerena boja kože, posao, poslovno odijelo, umjerena boja kože, zaposlenik
👨🏾‍💼	menadžer, muškarac u kancelariji, muškarac u kancelariji: umjereno tamna boja kože, posao, poslovno odijelo, umjereno tamna boja kože, zaposlenik
👨🏿‍💼	menadžer, muškarac u kancelariji, muškarac u kancelariji: tamna boja kože, posao, poslovno odijelo, tamna boja kože, zaposlenik
👩‍💼	menadžer, posao, poslovno odijelo, zaposlenik, žena u kancelariji
👩🏻‍💼	menadžer, posao, poslovno odijelo, svijetla boja kože, zaposlenik, žena u kancelariji, žena u kancelariji: svijetla boja kože
👩🏼‍💼	menadžer, posao, poslovno odijelo, umjereno svijetla boja kože, zaposlenik, žena u kancelariji, žena u kancelariji: umjereno svijetla boja kože
👩🏽‍💼	menadžer, posao, poslovno odijelo, umjerena boja kože, zaposlenik, žena u kancelariji, žena u kancelariji: umjerena boja kože
👩🏾‍💼	menadžer, posao, poslovno odijelo, umjereno tamna boja kože, zaposlenik, žena u kancelariji, žena u kancelariji: umjereno tamna boja kože
👩🏿‍💼	menadžer, posao, poslovno odijelo, tamna boja kože, zaposlenik, žena u kancelariji, žena u kancelariji: tamna boja kože
👨‍🔬	biolog, fizičar, hemičar, inžinjer, naučnik
👨🏻‍🔬	biolog, fizičar, hemičar, inžinjer, naučnik, naučnik: svijetla boja kože, svijetla boja kože
👨🏼‍🔬	biolog, fizičar, hemičar, inžinjer, naučnik, naučnik: umjereno svijetla boja kože, umjereno svijetla boja kože
👨🏽‍🔬	biolog, fizičar, hemičar, inžinjer, naučnik, naučnik: umjerena boja kože, umjerena boja kože
👨🏾‍🔬	biolog, fizičar, hemičar, inžinjer, naučnik, naučnik: umjereno tamna boja kože, umjereno tamna boja kože
👨🏿‍🔬	biolog, fizičar, hemičar, inžinjer, naučnik, naučnik: tamna boja kože, tamna boja kože
👩‍🔬	biolog, fizičar, hemičar, inžinjer, naučnica
👩🏻‍🔬	biolog, fizičar, hemičar, inžinjer, naučnica, naučnica: svijetla boja kože, svijetla boja kože
👩🏼‍🔬	biolog, fizičar, hemičar, inžinjer, naučnica, naučnica: umjereno svijetla boja kože, umjereno svijetla boja kože
👩🏽‍🔬	biolog, fizičar, hemičar, inžinjer, naučnica, naučnica: umjerena boja kože, umjerena boja kože
👩🏾‍🔬	biolog, fizičar, hemičar, inžinjer, naučnica, naučnica: umjereno tamna boja kože, umjereno tamna boja kože
👩🏿‍🔬	biolog, fizičar, hemičar, inžinjer, naučnica, naučnica: tamna boja kože, tamna boja kože
👨‍💻	muškarac, programer, pronalazač, softver, tehnolog
👨🏻‍💻	muškarac, programer, pronalazač, softver, svijetla boja kože, tehnolog, tehnolog: svijetla boja kože
👨🏼‍💻	muškarac, programer, pronalazač, softver, tehnolog, tehnolog: umjereno svijetla boja kože, umjereno svijetla boja kože
👨🏽‍💻	muškarac, programer, pronalazač, softver, tehnolog, tehnolog: umjerena boja kože, umjerena boja kože
👨🏾‍💻	muškarac, programer, pronalazač, softver, tehnolog, tehnolog: umjereno tamna boja kože, umjereno tamna boja kože
👨🏿‍💻	muškarac, programer, pronalazač, softver, tamna boja kože, tehnolog, tehnolog: tamna boja kože
👩‍💻	programer, pronalazač, softver, žena, žena tehnolog
👩🏻‍💻	programer, pronalazač, softver, svijetla boja kože, žena, žena tehnolog, žena tehnolog: svijetla boja kože
👩🏼‍💻	programer, pronalazač, softver, umjereno svijetla boja kože, žena, žena tehnolog, žena tehnolog: umjereno svijetla boja kože
👩🏽‍💻	programer, pronalazač, softver, umjerena boja kože, žena, žena tehnolog, žena tehnolog: umjerena boja kože
👩🏾‍💻	programer, pronalazač, softver, umjereno tamna boja kože, žena, žena tehnolog, žena tehnolog: umjereno tamna boja kože
👩🏿‍💻	programer, pronalazač, softver, tamna boja kože, žena, žena tehnolog, žena tehnolog: tamna boja kože
👨‍🎤	izvođač, pjevač, roker, zabavljač, zvijezda
👨🏻‍🎤	izvođač, pjevač, pjevač: svijetla boja kože, roker, svijetla boja kože, zabavljač, zvijezda
👨🏼‍🎤	izvođač, pjevač, pjevač: umjereno svijetla boja kože, roker, umjereno svijetla boja kože, zabavljač, zvijezda
👨🏽‍🎤	izvođač, pjevač, pjevač: umjerena boja kože, roker, umjerena boja kože, zabavljač, zvijezda
