😀	դեմք, ծիծաղող դեմք, քմծիծաղել
🙋‍♂	ժեստ, ձեռքը բարձրացնել, ձեռքը բարձրացրած տղամարդ, մարդ, տղամարդ
🙋🏻‍♂	բաց գույնի մաշկ, ժեստ, ձեռքը բարձրացնել, ձեռքը բարձրացրած տղամարդ, ձեռքը բարձրացրած տղամարդ՝ բաց գույնի մաշկ, մարդ, տղամարդ
🙋🏼‍♂	ժեստ, ձեռքը բարձրացնել, ձեռքը բարձրացրած տղամարդ, ձեռքը բարձրացրած տղամարդ՝ միջին բաց գույնի մաշկ, մարդ, միջին բաց գույնի մաշկ, տղամարդ
🙋🏽‍♂	ժեստ, ձեռքը բարձրացնել, ձեռքը բարձրացրած տղամարդ, ձեռքը բարձրացրած տղամարդ՝ միջին գույնի մաշկ, մարդ, միջին գույնի մաշկ, տղամարդ
🙋🏾‍♂	ժեստ, ձեռքը բարձրացնել, ձեռքը բարձրացրած տղամարդ, ձեռքը բարձրացրած տղամարդ՝ միջին մուգ գույնի մաշկ, մարդ, միջին մուգ գույնի մաշկ, տղամարդ
🙋🏿‍♂	ժեստ, ձեռքը բարձրացնել, ձեռքը բարձրացրած տղամարդ, ձեռքը բարձրացրած տղամարդ՝ մուգ գույնի մաշկ, մարդ, մուգ գույնի մաշկ, տղամարդ
🙋‍♀	ժեստ, կին, ձեռքը բարձրացնել, ձեռքը բարձրացրած կին
🙋🏻‍♀	բաց գույնի մաշկ, ժեստ, կին, ձեռքը բարձրացնել, ձեռքը բարձրացրած կին, ձեռքը բարձրացրած կին՝ բաց գույնի մաշկ
🙋🏼‍♀	ժեստ, կին, ձեռքը բարձրացնել, ձեռքը բարձրացրած կին, ձեռքը բարձրացրած կին՝ միջին բաց գույնի մաշկ, միջին բաց գույնի մաշկ
🙋🏽‍♀	ժեստ, կին, ձեռքը բարձրացնել, ձեռքը բարձրացրած կին, ձեռքը բարձրացրած կին՝ միջին գույնի մաշկ, միջին գույնի մաշկ
🙋🏾‍♀	ժեստ, կին, ձեռքը բարձրացնել, ձեռքը բարձրացրած կին, ձեռքը բարձրացրած կին՝ միջին մուգ գույնի մաշկ, միջին մուգ գույնի մաշկ
🙋🏿‍♀	ժեստ, կին, ձեռքը բարձրացնել, ձեռքը բարձրացրած կին, ձեռքը բարձրացրած կին՝ մուգ գույնի մաշկ, մուգ գույնի մաշկ
🧏	ականջ, լսողություն, խուլ, խուլ անձ, հաշմանդամ
🧏🏻	ականջ, բաց գույնի մաշկ, լսողություն, խուլ, խուլ անձ, խուլ անձ՝ բաց գույնի մաշկ, հաշմանդամ
🧏🏼	ականջ, լսողություն, խուլ, խուլ անձ, խուլ անձ՝ միջին բաց գույնի մաշկ, հաշմանդամ, միջին բաց գույնի մաշկ
🧏🏽	ականջ, լսողություն, խուլ, խուլ անձ, խուլ անձ՝ միջին գույնի մաշկ, հաշմանդամ, միջին գույնի մաշկ
🧏🏾	ականջ, լսողություն, խուլ, խուլ անձ, խուլ անձ՝ միջին մուգ գույնի մաշկ, հաշմանդամ, միջին մուգ գույնի մաշկ
🧏🏿	ականջ, լսողություն, խուլ, խուլ անձ, խուլ անձ՝ մուգ գույնի մաշկ, հաշմանդամ, մուգ գույնի մաշկ
🧏‍♂	խուլ, խուլ տղամարդ, տղամարդ
🧏🏻‍♂	բաց գույնի մաշկ, խուլ, խուլ տղամարդ՝ բաց գույնի մաշկ, տղամարդ
🧏🏼‍♂	խուլ, խուլ տղամարդ՝ միջին բաց գույնի մաշկ, միջին բաց գույնի մաշկ, տղամարդ
🧏🏽‍♂	խուլ, խուլ տղամարդ՝ միջին գույնի մաշկ, միջին գույնի մաշկ, տղամարդ
🧏🏾‍♂	խուլ, խուլ տղամարդ՝ միջին մուգ գույնի մաշկ, միջին մուգ գույնի մաշկ, տղամարդ
🧏🏿‍♂	խուլ, խուլ տղամարդ՝ մուգ գույնի մաշկ, մուգ գույնի մաշկ, տղամարդ
🧏‍♀	խուլ, խուլ կին, կին
🧏🏻‍♀	բաց գույնի մաշկ, խուլ, խուլ կին՝ բաց գույնի մաշկ, կին
🧏🏼‍♀	խուլ, խուլ կին՝ միջին բաց գույնի մաշկ, կին, միջին բաց գույնի մաշկ
🧏🏽‍♀	խուլ, խուլ կին՝ միջին գույնի մաշկ, կին, միջին գույնի մաշկ
🧏🏾‍♀	խուլ, խուլ կին՝ միջին մուգ գույնի մաշկ, կին, միջին մուգ գույնի մաշկ
🧏🏿‍♀	խուլ, խուլ կին՝ մուգ գույնի մաշկ, կին, մուգ գույնի մաշկ
🙇	ժեստ, խոնարհվել, խոնարհվող անձ, ներողություն, ներողություն խնդրել
🙇🏻	բաց գույնի մաշկ, ժեստ, խոնարհվել, խոնարհվող անձ, խոնարհվող անձ՝ բաց գույնի մաշկ, ներողություն, ներողություն խնդրել
🙇🏼	ժեստ, խոնարհվել, խոնարհվող անձ, խոնարհվող անձ՝ միջին բաց գույնի մաշկ, միջին բաց գույնի մաշկ, ներողություն, ներողություն խնդրել
🙇🏽	ժեստ, խոնարհվել, խոնարհվող անձ, խոնարհվող անձ՝ միջին գույնի մաշկ, միջին գույնի մաշկ, ներողություն, ներողություն խնդրել
🙇🏾	ժեստ, խոնարհվել, խոնարհվող անձ, խոնարհվող անձ՝ միջին մուգ գույնի մաշկ, միջին մուգ գույնի մաշկ, ներողություն, ներողություն խնդրել
🙇🏿	ժեստ, խոնարհվել, խոնարհվող անձ, խոնարհվող անձ՝ մուգ գույնի մաշկ, մուգ գույնի մաշկ, ներողություն, ներողություն խնդրել
🙇‍♂	ժեստ, խոնարհվել, խոնարհվող տղամարդ, ներողություն, տղամարդ
🙇🏻‍♂	բաց գույնի մաշկ, ժեստ, խոնարհվել, խոնարհվող տղամարդ, խոնարհվող տղամարդ՝ բաց գույնի մաշկ, ներողություն, տղամարդ
🙇🏼‍♂	ժեստ, խոնարհվել, խոնարհվող տղամարդ, խոնարհվող տղամարդ՝ միջին բաց գույնի մաշկ, միջին բաց գույնի մաշկ, ներողություն, տղամարդ
🙇🏽‍♂	ժեստ, խոնարհվել, խոնարհվող տղամարդ, խոնարհվող տղամարդ՝ միջին գույնի մաշկ, միջին գույնի մաշկ, ներողություն, տղամարդ
🙇🏾‍♂	ժեստ, խոնարհվել, խոնարհվող տղամարդ, խոնարհվող տղամարդ՝ միջին մուգ գույնի մաշկ, միջին մուգ գույնի մաշկ, ներողություն, տղամարդ
🙇🏿‍♂	ժեստ, խոնարհվել, խոնարհվող տղամարդ, խոնարհվող տղամարդ՝ մուգ գույնի մաշկ, մուգ գույնի մաշկ, ներողություն, տղամարդ
🙇‍♀	ժեստ, խոնարհվել, խոնարհվող կին, կին, ներողություն
🙇🏻‍♀	բաց գույնի մաշկ, ժեստ, խոնարհվել, խոնարհվող կին, խոնարհվող կին՝ բաց գույնի մաշկ, կին, ներողություն
🙇🏼‍♀	ժեստ, խոնարհվել, խոնարհվող կին, խոնարհվող կին՝ միջին բաց գույնի մաշկ, կին, միջին բաց գույնի մաշկ, ներողություն
🙇🏽‍♀	ժեստ, խոնարհվել, խոնարհվող կին, խոնարհվող կին՝ միջին գույնի մաշկ, կին, միջին գույնի մաշկ, ներողություն
🙇🏾‍♀	ժեստ, խոնարհվել, խոնարհվող կին, խոնարհվող կին՝ միջին մուգ գույնի մաշկ, կին, միջին մուգ գույնի մաշկ, ներողություն
🙇🏿‍♀	ժեստ, խոնարհվել, խոնարհվող կին, խոնարհվող կին՝ մուգ գույնի մաշկ, կին, մուգ գույնի մաշկ, ներողություն
🤦	անհանվատություն, դեմք, խոսքեր չկան, ձեռքի ափ
🤦🏻	անհանվատություն, բաց գույնի մաշկ, դեմք, խոսքեր չկան, խոսքեր չկան՝ բաց գույնի մաշկ, ձեռքի ափ
🤦🏼	անհանվատություն, դեմք, խոսքեր չկան, խոսքեր չկան՝ միջին բաց գույնի մաշկ, ձեռքի ափ, միջին բաց գույնի մաշկ
🤦🏽	անհանվատություն, դեմք, խոսքեր չկան, խոսքեր չկան՝ միջին գույնի մաշկ, ձեռքի ափ, միջին գույնի մաշկ
🤦🏾	անհանվատություն, դեմք, խոսքեր չկան, խոսքեր չկան՝ միջին մուգ գույնի մաշկ, ձեռքի ափ, միջին մուգ գույնի մաշկ
🤦🏿	անհանվատություն, դեմք, խոսքեր չկան, խոսքեր չկան՝ մուգ գույնի մաշկ, ձեռքի ափ, մուգ գույնի մաշկ
🤦‍♂	անհավատություն, դեմք, ձեռքի ափ, տղամարդ, տղամարդը կորցրել է խոսելու ունակությունը
🤦🏻‍♂	անհավատություն, բաց գույնի մաշկ, դեմք, ձեռքի ափ, տղամարդ, տղամարդը կորցրել է խոսելու ունակությունը, տղամարդը կորցրել է խոսելու ունակությունը՝ բաց գույնի մաշկ
🤦🏼‍♂	անհավատություն, դեմք, ձեռքի ափ, միջին բաց գույնի մաշկ, տղամարդ, տղամարդը կորցրել է խոսելու ունակությունը, տղամարդը կորցրել է խոսելու ունակությունը՝ միջին բաց գույնի մաշկ
🤦🏽‍♂	անհավատություն, դեմք, ձեռքի ափ, միջին գույնի մաշկ, տղամարդ, տղամարդը կորցրել է խոսելու ունակությունը, տղամարդը կորցրել է խոսելու ունակությունը՝ միջին գույնի մաշկ
🤦🏾‍♂	անհավատություն, դեմք, ձեռքի ափ, միջին մուգ գույնի մաշկ, տղամարդ, տղամարդը կորցրել է խոսելու ունակությունը, տղամարդը կորցրել է խոսելու ունակությունը՝ միջին մուգ գույնի մաշկ
🤦🏿‍♂	անհավատություն, դեմք, ձեռքի ափ, մուգ գույնի մաշկ, տղամարդ, տղամարդը կորցրել է խոսելու ունակությունը, տղամարդը կորցրել է խոսելու ունակությունը՝ մուգ գույնի մաշկ
🤦‍♀	անհավատություն, դեմք, կին, կինը կորցրել է խոսելու ունակությունը, ձեռքի ափ
🤦🏻‍♀	անհավատություն, բաց գույնի մաշկ, դեմք, կին, կինը կորցրել է խոսելու ունակությունը, կինը կորցրել է խոսելու ունակությունը՝ բաց գույնի մաշկ, ձեռքի ափ
🤦🏼‍♀	անհավատություն, դեմք, կին, կինը կորցրել է խոսելու ունակությունը, կինը կորցրել է խոսելու ունակությունը՝ միջին բաց գույնի մաշկ, ձեռքի ափ, միջին բաց գույնի մաշկ
🤦🏽‍♀	անհավատություն, դեմք, կին, կինը կորցրել է խոսելու ունակությունը, կինը կորցրել է խոսելու ունակությունը՝ միջին գույնի մաշկ, ձեռքի ափ, միջին գույնի մաշկ
🤦🏾‍♀	անհավատություն, դեմք, կին, կինը կորցրել է խոսելու ունակությունը, կինը կորցրել է խոսելու ունակությունը՝ միջին մուգ գույնի մաշկ, ձեռքի ափ, միջին մուգ գույնի մաշկ
🤦🏿‍♀	անհավատություն, դեմք, կին, կինը կորցրել է խոսելու ունակությունը, կինը կորցրել է խոսելու ունակությունը՝ մուգ գույնի մաշկ, ձեռքի ափ, մուգ գույնի մաշկ
🤷	անտարբերություն, արհամարանք, թոթվում է ուսերը, կասկած
🤷🏻	անտարբերություն, արհամարանք, բաց գույնի մաշկ, թոթվում է ուսերը, թոթվում է ուսերը՝ բաց գույնի մաշկ, կասկած
🤷🏼	անտարբերություն, արհամարանք, թոթվում է ուսերը, թոթվում է ուսերը՝ միջին բաց գույնի մաշկ, կասկած, միջին բաց գույնի մաշկ
🤷🏽	անտարբերություն, արհամարանք, թոթվում է ուսերը, թոթվում է ուսերը՝ միջին գույնի մաշկ, կասկած, միջին գույնի մաշկ
🤷🏾	անտարբերություն, արհամարանք, թոթվում է ուսերը, թոթվում է ուսերը՝ միջին մուգ գույնի մաշկ, կասկած, միջին մուգ գույնի մաշկ
🤷🏿	անտարբերություն, արհամարանք, թոթվում է ուսերը, թոթվում է ուսերը՝ մուգ գույնի մաշկ, կասկած, մուգ գույնի մաշկ
🤷‍♂	անտարբերություն, կասկած, մարդ, ուսերը թոթվող մարդ, տղամարդ
🤷🏻‍♂	անտարբերություն, բաց գույնի մաշկ, կասկած, մարդ, ուսերը թոթվող մարդ, ուսերը թոթվող մարդ՝ բաց գույնի մաշկ, տղամարդ
🤷🏼‍♂	անտարբերություն, կասկած, մարդ, միջին բաց գույնի մաշկ, ուսերը թոթվող մարդ, ուսերը թոթվող մարդ՝ միջին բաց գույնի մաշկ, տղամարդ
🤷🏽‍♂	անտարբերություն, կասկած, մարդ, միջին գույնի մաշկ, ուսերը թոթվող մարդ, ուսերը թոթվող մարդ՝ միջին գույնի մաշկ, տղամարդ
🤷🏾‍♂	անտարբերություն, կասկած, մարդ, միջին մուգ գույնի մաշկ, ուսերը թոթվող մարդ, ուսերը թոթվող մարդ՝ միջին մուգ գույնի մաշկ, տղամարդ
🤷🏿‍♂	անտարբերություն, կասկած, մարդ, մուգ գույնի մաշկ, ուսերը թոթվող մարդ, ուսերը թոթվող մարդ՝ մուգ գույնի մաշկ, տղամարդ
🤷‍♀	անտարբերություն, կասկած, կին, ուսերը թոթվող կին
🤷🏻‍♀	անտարբերություն, բաց գույնի մաշկ, կասկած, կին, ուսերը թոթվող կին, ուսերը թոթվող կին՝ բաց գույնի մաշկ
🤷🏼‍♀	անտարբերություն, կասկած, կին, միջին բաց գույնի մաշկ, ուսերը թոթվող կին, ուսերը թոթվող կին՝ միջին բաց գույնի մաշկ
🤷🏽‍♀	անտարբերություն, կասկած, կին, միջին գույնի մաշկ, ուսերը թոթվող կին, ուսերը թոթվող կին՝ միջին գույնի մաշկ
🤷🏾‍♀	անտարբերություն, կասկած, կին, միջին մուգ գույնի մաշկ, ուսերը թոթվող կին, ուսերը թոթվող կին՝ միջին մուգ գույնի մաշկ
🤷🏿‍♀	անտարբերություն, կասկած, կին, մուգ գույնի մաշկ, ուսերը թոթվող կին, ուսերը թոթվող կին՝ մուգ գույնի մաշկ
👨‍⚕	առողջապահություն, բժիշկ, բժշկություն, տղամարդ
👨🏻‍⚕	առողջապահություն, բաց գույնի մաշկ, բժիշկ, բժիշկ՝ բաց գույնի մաշկ, բժշկություն, տղամարդ
👨🏼‍⚕	առողջապահություն, բժիշկ, բժիշկ՝ միջին բաց գույնի մաշկ, բժշկություն, միջին բաց գույնի մաշկ, տղամարդ
👨🏽‍⚕	առողջապահություն, բժիշկ, բժիշկ՝ միջին գույնի մաշկ, բժշկություն, միջին գույնի մաշկ, տղամարդ
👨🏾‍⚕	առողջապահություն, բժիշկ, բժիշկ՝ միջին մուգ գույնի մաշկ, բժշկություն, միջին մուգ գույնի մաշկ, տղամարդ
👨🏿‍⚕	առողջապահություն, բժիշկ, բժիշկ՝ մուգ գույնի մաշկ, բժշկություն, մուգ գույնի մաշկ, տղամարդ
👩‍⚕	առողջապահություն, բժիշկ, բժշկություն, բժշկուհի, կին
👩🏻‍⚕	առողջապահություն, բաց գույնի մաշկ, բժիշկ, բժշկություն, բժշկուհի, բժշկուհի՝ բաց գույնի մաշկ, կին
👩🏼‍⚕	առողջապահություն, բժիշկ, բժշկություն, բժշկուհի, բժշկուհի՝ միջին բաց գույնի մաշկ, կին, միջին բաց գույնի մաշկ
👩🏽‍⚕	առողջապահություն, բժիշկ, բժշկություն, բժշկուհի, բժշկուհի՝ միջին գույնի մաշկ, կին, միջին գույնի մաշկ
👩🏾‍⚕	առողջապահություն, բժիշկ, բժշկություն, բժշկուհի, բժշկուհի՝ միջին մուգ գույնի մաշկ, կին, միջին մուգ գույնի մաշկ
👩🏿‍⚕	առողջապահություն, բժիշկ, բժշկություն, բժշկուհի, բժշկուհի՝ մուգ գույնի մաշկ, կին, մուգ գույնի մաշկ
👨‍🎓	ուսանող, ուսանող տղա, տղա
👨🏻‍🎓	բաց գույնի մաշկ, ուսանող, ուսանող տղա՝ բաց գույնի մաշկ, տղա
👨🏼‍🎓	միջին բաց գույնի մաշկ, ուսանող, ուսանող տղա՝ միջին բաց գույնի մաշկ, տղա
👨🏽‍🎓	միջին գույնի մաշկ, ուսանող, ուսանող տղա՝ միջին գույնի մաշկ, տղա
👨🏾‍🎓	միջին մուգ գույնի մաշկ, ուսանող, ուսանող տղա՝ միջին մուգ գույնի մաշկ, տղա
👨🏿‍🎓	մուգ գույնի մաշկ, ուսանող, ուսանող տղա՝ մուգ գույնի մաշկ, տղա
👩‍🎓	աղջիկ, ուսանող, ուսանողուհի
👩🏻‍🎓	աղջիկ, բաց գույնի մաշկ, ուսանող, ուսանողուհի, ուսանողուհի՝ բաց գույնի մաշկ
👩🏼‍🎓	աղջիկ, միջին բաց գույնի մաշկ, ուսանող, ուսանողուհի, ուսանողուհի՝ միջին բաց գույնի մաշկ
👩🏽‍🎓	աղջիկ, միջին գույնի մաշկ, ուսանող, ուսանողուհի, ուսանողուհի՝ միջին գույնի մաշկ
👩🏾‍🎓	աղջիկ, միջին մուգ գույնի մաշկ, ուսանող, ուսանողուհի, ուսանողուհի՝ միջին մուգ գույնի մաշկ
👩🏿‍🎓	աղջիկ, մուգ գույնի մաշկ, ուսանող, ուսանողուհի, ուսանողուհի՝ մուգ գույնի մաշկ
👨‍🏫	դասատու, ուսուցիչ, տղամարդ, տղամարդ ուսուցիչ
👨🏻‍🏫	բաց գույնի մաշկ, դասատու, ուսուցիչ, տղամարդ, տղամարդ ուսուցիչ՝ բաց գույնի մաշկ
👨🏼‍🏫	դասատու, միջին բաց գույնի մաշկ, ուսուցիչ, տղամարդ, տղամարդ ուսուցիչ՝ միջին բաց գույնի մաշկ
👨🏽‍🏫	դասատու, միջին գույնի մաշկ, ուսուցիչ, տղամարդ, տղամարդ ուսուցիչ՝ միջին գույնի մաշկ
👨🏾‍🏫	դասատու, միջին մուգ գույնի մաշկ, ուսուցիչ, տղամարդ, տղամարդ ուսուցիչ՝ միջին մուգ գույնի մաշկ
👨🏿‍🏫	դասատու, մուգ գույնի մաշկ, ուսուցիչ, տղամարդ, տղամարդ ուսուցիչ՝ մուգ գույնի մաշկ
👩‍🏫	դասատու, կին, ուսուցիչ, ուսուցչուհի
👩🏻‍🏫	բաց գույնի մաշկ, դասատու, կին, ուսուցիչ, ուսուցչուհի, ուսուցչուհի՝ բաց գույնի մաշկ
👩🏼‍🏫	դասատու, կին, միջին բաց գույնի մաշկ, ուսուցիչ, ուսուցչուհի, ուսուցչուհի՝ միջին բաց գույնի մաշկ
👩🏽‍🏫	դասատու, կին, միջին գույնի մաշկ, ուսուցիչ, ուսուցչուհի, ուսուցչուհի՝ միջին գույնի մաշկ
👩🏾‍🏫	դասատու, կին, միջին մուգ գույնի մաշկ, ուսուցիչ, ուսուցչուհի, ուսուցչուհի՝ միջին մուգ գույնի մաշկ
👩🏿‍🏫	դասատու, կին, մուգ գույնի մաշկ, ուսուցիչ, ուսուցչուհի, ուսուցչուհի՝ մուգ գույնի մաշկ
👨‍⚖	դատավոր, տղամարդ, տղամարդ դատավոր, օրենք
👨🏻‍⚖	բաց գույնի մաշկ, դատավոր, տղամարդ, տղամարդ դատավոր՝ բաց գույնի մաշկ, օրենք
👨🏼‍⚖	դատավոր, միջին բաց գույնի մաշկ, տղամարդ, տղամարդ դատավոր՝ միջին բաց գույնի մաշկ, օրենք
👨🏽‍⚖	դատավոր, միջին գույնի մաշկ, տղամարդ, տղամարդ դատավոր՝ միջին գույնի մաշկ, օրենք
👨🏾‍⚖	դատավոր, միջին մուգ գույնի մաշկ, տղամարդ, տղամարդ դատավոր՝ միջին մուգ գույնի մաշկ, օրենք
👨🏿‍⚖	դատավոր, մուգ գույնի մաշկ, տղամարդ, տղամարդ դատավոր՝ մուգ գույնի մաշկ, օրենք
👩‍⚖	դատավոր, կին, կին դատավոր, օրենք
👩🏻‍⚖	բաց գույնի մաշկ, դատավոր, կին, կին դատավոր՝ բաց գույնի մաշկ, օրենք
👩🏼‍⚖	դատավոր, կին, կին դատավոր՝ միջին բաց գույնի մաշկ, միջին բաց գույնի մաշկ, օրենք
👩🏽‍⚖	դատավոր, կին, կին դատավոր՝ միջին գույնի մաշկ, միջին գույնի մաշկ, օրենք
👩🏾‍⚖	դատավոր, կին, կին դատավոր՝ միջին մուգ գույնի մաշկ, միջին մուգ գույնի մաշկ, օրենք
👩🏿‍⚖	դատավոր, կին, կին դատավոր՝ մուգ գույնի մաշկ, մուգ գույնի մաշկ, օրենք
👨‍🌾	ագարակատեր, այգեգործ, գյուղացի, տղամարդ ֆերմեր, ֆերմեր
👨🏻‍🌾	ագարակատեր, այգեգործ, բաց գույնի մաշկ, գյուղացի, տղամարդ ֆերմեր, տղամարդ ֆերմեր՝ բաց գույնի մաշկ, ֆերմեր
👨🏼‍🌾	ագարակատեր, այգեգործ, գյուղացի, միջին բաց գույնի մաշկ, տղամարդ ֆերմեր, տղամարդ ֆերմեր՝ միջին բաց գույնի մաշկ, ֆերմեր
👨🏽‍🌾	ագարակատեր, այգեգործ, գյուղացի, միջին գույնի մաշկ, տղամարդ ֆերմեր, տղամարդ ֆերմեր՝ միջին գույնի մաշկ, ֆերմեր
👨🏾‍🌾	ագարակատեր, այգեգործ, գյուղացի, միջին մուգ գույնի մաշկ, տղամարդ ֆերմեր, տղամարդ ֆերմեր՝ միջին մուգ գույնի մաշկ, ֆերմեր
👨🏿‍🌾	ագարակատեր, այգեգործ, գյուղացի, մուգ գույնի մաշկ, տղամարդ ֆերմեր, տղամարդ ֆերմեր՝ մուգ գույնի մաշկ, ֆերմեր
👩‍🌾	ագարակատեր, գյուղացի, կին, կին ֆերմեր, ֆերմեր
👩🏻‍🌾	ագարակատեր, բաց գույնի մաշկ, գյուղացի, կին, կին ֆերմեր՝ բաց գույնի մաշկ, ֆերմեր
👩🏼‍🌾	ագարակատեր, գյուղացի, կին, կին ֆերմեր՝ միջին բաց գույնի մաշկ, միջին բաց գույնի մաշկ, ֆերմեր
👩🏽‍🌾	ագարակատեր, գյուղացի, կին, կին ֆերմեր՝ միջին գույնի մաշկ, միջին գույնի մաշկ, ֆերմեր
👩🏾‍🌾	ագարակատեր, գյուղացի, կին, կին ֆերմեր՝ միջին մուգ գույնի մաշկ, միջին մուգ գույնի մաշկ, ֆերմեր
👩🏿‍🌾	ագարակատեր, գյուղացի, կին, կին ֆերմեր՝ մուգ գույնի մաշկ, մուգ գույնի մաշկ, ֆերմեր
👨‍🍳	խոհարար, տղամարդ, տղամարդ խոհարար
👨🏻‍🍳	բաց գույնի մաշկ, խոհարար, տղամարդ, տղամարդ խոհարար՝ բաց գույնի մաշկ
👨🏼‍🍳	խոհարար, միջին բաց գույնի մաշկ, տղամարդ, տղամարդ խոհարար՝ միջին բաց գույնի մաշկ
👨🏽‍🍳	խոհարար, միջին գույնի մաշկ, տղամարդ, տղամարդ խոհարար՝ միջին գույնի մաշկ
👨🏾‍🍳	խոհարար, միջին մուգ գույնի մաշկ, տղամարդ, տղամարդ խոհարար՝ միջին մուգ գույնի մաշկ
👨🏿‍🍳	խոհարար, մուգ գույնի մաշկ, տղամարդ, տղամարդ խոհարար՝ մուգ գույնի մաշկ
👩‍🍳	խոհարար, խոհարարուհի, կին
👩🏻‍🍳	բաց գույնի մաշկ, խոհարար, խոհարարուհի, խոհարարուհի՝ բաց գույնի մաշկ, կին
👩🏼‍🍳	խոհարար, խոհարարուհի, խոհարարուհի՝ միջին բաց գույնի մաշկ, կին, միջին բաց գույնի մաշկ
👩🏽‍🍳	խոհարար, խոհարարուհի, խոհարարուհի՝ միջին գույնի մաշկ, կին, միջին գույնի մաշկ
👩🏾‍🍳	խոհարար, խոհարարուհի, խոհարարուհի՝ միջին մուգ գույնի մաշկ, կին, միջին մուգ գույնի մաշկ
👩🏿‍🍳	խոհարար, խոհարարուհի, խոհարարուհի՝ մուգ գույնի մաշկ, կին, մուգ գույնի մաշկ
👨‍🔧	էլեկտրիկ, մեխանիկ, տղամարդ, տղամարդ փականագործ, փականագործ
👨🏻‍🔧	բաց գույնի մաշկ, էլեկտրիկ, մեխանիկ, տղամարդ, տղամարդ փականագործ՝ բաց գույնի մաշկ, փականագործ
👨🏼‍🔧	էլեկտրիկ, մեխանիկ, միջին բաց գույնի մաշկ, տղամարդ, տղամարդ փականագործ՝ միջին բաց գույնի մաշկ, փականագործ
👨🏽‍🔧	էլեկտրիկ, մեխանիկ, միջին գույնի մաշկ, տղամարդ, տղամարդ փականագործ՝ միջին գույնի մաշկ, փականագործ
👨🏾‍🔧	էլեկտրիկ, մեխանիկ, միջին մուգ գույնի մաշկ, տղամարդ, տղամարդ փականագործ՝ միջին մուգ գույնի մաշկ, փականագործ
👨🏿‍🔧	էլեկտրիկ, մեխանիկ, մուգ գույնի մաշկ, տղամարդ, տղամարդ փականագործ՝ մուգ գույնի մաշկ, փականագործ
👩‍🔧	էլեկտրիկ, կին, կին փականագործ, մեխանիկ, փականագործ
👩🏻‍🔧	բաց գույնի մաշկ, էլեկտրիկ, կին, կին փականագործ՝ բաց գույնի մաշկ, մեխանիկ, փականագործ
👩🏼‍🔧	էլեկտրիկ, կին, կին փականագործ՝ միջին բաց գույնի մաշկ, մեխանիկ, միջին բաց գույնի մաշկ, փականագործ
👩🏽‍🔧	էլեկտրիկ, կին, կին փականագործ՝ միջին գույնի մաշկ, մեխանիկ, միջին գույնի մաշկ, փականագործ
👩🏾‍🔧	էլեկտրիկ, կին, կին փականագործ՝ միջին մուգ գույնի մաշկ, մեխանիկ, միջին մուգ գույնի մաշկ, փականագործ
👩🏿‍🔧	էլեկտրիկ, կին, կին փականագործ՝ մուգ գույնի մաշկ, մեխանիկ, մուգ գույնի մաշկ, փականագործ
👨‍🏭	արդյունաբերություն, բանվոր, գործարան, տղամարդ, տղամարդ բանվոր
👨🏻‍🏭	արդյունաբերություն, բանվոր, բաց գույնի մաշկ, գործարան, տղամարդ, տղամարդ բանվոր՝ բաց գույնի մաշկ
👨🏼‍🏭	արդյունաբերություն, բանվոր, գործարան, միջին բաց գույնի մաշկ, տղամարդ, տղամարդ բանվոր՝ միջին բաց գույնի մաշկ
👨🏽‍🏭	արդյունաբերություն, բանվոր, գործարան, միջին գույնի մաշկ, տղամարդ, տղամարդ բանվոր՝ միջին գույնի մաշկ
👨🏾‍🏭	արդյունաբերություն, բանվոր, գործարան, միջին մուգ գույնի մաշկ, տղամարդ, տղամարդ բանվոր՝ միջին մուգ գույնի մաշկ
👨🏿‍🏭	արդյունաբերություն, բանվոր, գործարան, մուգ գույնի մաշկ, տղամարդ, տղամարդ բանվոր՝ մուգ գույնի մաշկ
👩‍🏭	արդյունաբերություն, բանվոր, բանվորուհի, գործարան, կին
👩🏻‍🏭	արդյունաբերություն, բանվոր, բանվորուհի, բանվորուհի՝ բաց գույնի մաշկ, բաց գույնի մաշկ, գործարան, կին
👩🏼‍🏭	արդյունաբերություն, բանվոր, բանվորուհի, բանվորուհի՝ միջին բաց գույնի մաշկ, գործարան, կին, միջին բաց գույնի մաշկ
👩🏽‍🏭	արդյունաբերություն, բանվոր, բանվորուհի, բանվորուհի՝ միջին գույնի մաշկ, գործարան, կին, միջին գույնի մաշկ
👩🏾‍🏭	արդյունաբերություն, բանվոր, բանվորուհի, բանվորուհի՝ միջին մուգ գույնի մաշկ, գործարան, կին, միջին մուգ գույնի մաշկ
👩🏿‍🏭	արդյունաբերություն, բանվոր, բանվորուհի, բանվորուհի՝ մուգ գույնի մաշկ, գործարան, կին, մուգ գույնի մաշկ
👨‍💼	բիզնես, գրասենյակ, ղեկավար, տղամարդ, տղամարդ գրասենյակի աշխատող
👨🏻‍💼	բաց գույնի մաշկ, բիզնես, գրասենյակ, ղեկավար, տղամարդ, տղամարդ գրասենյակի աշխատող, տղամարդ գրասենյակի աշխատող՝ բաց գույնի մաշկ
👨🏼‍💼	բիզնես, գրասենյակ, ղեկավար, միջին բաց գույնի մաշկ, տղամարդ, տղամարդ գրասենյակի աշխատող, տղամարդ գրասենյակի աշխատող՝ միջին բաց գույնի մաշկ
