😀	seja, smaids, smiekli
🙅🏿	aizliegts, cilvēks ar aizlieguma žestu, cilvēks ar aizlieguma žestu: tumšs ādas tonis, nedrīkst, nē, roka, tumšs ādas tonis, žests
🙅‍♂	nepiekrišana, pret, vīrietis, vīrietis ar aizlieguma žestu, žests
🙅🏻‍♂	gaišs ādas tonis, nepiekrišana, pret, vīrietis, vīrietis ar aizlieguma žestu, vīrietis ar aizlieguma žestu: gaišs ādas tonis, žests
🙅🏼‍♂	nepiekrišana, pret, vidēji gaišs ādas tonis, vīrietis, vīrietis ar aizlieguma žestu, vīrietis ar aizlieguma žestu: vidēji gaišs ādas tonis, žests
🙅🏽‍♂	nepiekrišana, pret, vidējs ādas tonis, vīrietis, vīrietis ar aizlieguma žestu, vīrietis ar aizlieguma žestu: vidējs ādas tonis, žests
🙅🏾‍♂	nepiekrišana, pret, vidēji tumšs ādas tonis, vīrietis, vīrietis ar aizlieguma žestu, vīrietis ar aizlieguma žestu: vidēji tumšs ādas tonis, žests
🙅🏿‍♂	nepiekrišana, pret, tumšs ādas tonis, vīrietis, vīrietis ar aizlieguma žestu, vīrietis ar aizlieguma žestu: tumšs ādas tonis, žests
🙅‍♀	nepiekrišana, pret, sieviete, sieviete ar aizlieguma žestu, žests
🙅🏻‍♀	gaišs ādas tonis, nepiekrišana, pret, sieviete, sieviete ar aizlieguma žestu, sieviete ar aizlieguma žestu: gaišs ādas tonis, žests
🙅🏼‍♀	nepiekrišana, pret, sieviete, sieviete ar aizlieguma žestu, sieviete ar aizlieguma žestu: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, žests
🙅🏽‍♀	nepiekrišana, pret, sieviete, sieviete ar aizlieguma žestu, sieviete ar aizlieguma žestu: vidējs ādas tonis, vidējs ādas tonis, žests
🙅🏾‍♀	nepiekrišana, pret, sieviete, sieviete ar aizlieguma žestu, sieviete ar aizlieguma žestu: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis, žests
🙅🏿‍♀	nepiekrišana, pret, sieviete, sieviete ar aizlieguma žestu, sieviete ar aizlieguma žestu: tumšs ādas tonis, tumšs ādas tonis, žests
🙆	cilvēks ar apstiprinājuma žestu, labi, ok, roka, žests
🙆🏻	cilvēks ar apstiprinājuma žestu, cilvēks ar apstiprinājuma žestu: gaišs ādas tonis, gaišs ādas tonis, labi, ok, roka, žests
🙆🏼	cilvēks ar apstiprinājuma žestu, cilvēks ar apstiprinājuma žestu: vidēji gaišs ādas tonis, labi, ok, roka, vidēji gaišs ādas tonis, žests
🙆🏽	cilvēks ar apstiprinājuma žestu, cilvēks ar apstiprinājuma žestu: vidējs ādas tonis, labi, ok, roka, vidējs ādas tonis, žests
🙆🏾	cilvēks ar apstiprinājuma žestu, cilvēks ar apstiprinājuma žestu: vidēji tumšs ādas tonis, labi, ok, roka, vidēji tumšs ādas tonis, žests
🙆🏿	cilvēks ar apstiprinājuma žestu, cilvēks ar apstiprinājuma žestu: tumšs ādas tonis, labi, ok, roka, tumšs ādas tonis, žests
🙆‍♂	par, piekrišana, vīrietis, vīrietis ar apstiprinājuma žestu, žests
🙆🏻‍♂	gaišs ādas tonis, par, piekrišana, vīrietis, vīrietis ar apstiprinājuma žestu, vīrietis ar apstiprinājuma žestu: gaišs ādas tonis, žests
🙆🏼‍♂	par, piekrišana, vidēji gaišs ādas tonis, vīrietis, vīrietis ar apstiprinājuma žestu, vīrietis ar apstiprinājuma žestu: vidēji gaišs ādas tonis, žests
🙆🏽‍♂	par, piekrišana, vidējs ādas tonis, vīrietis, vīrietis ar apstiprinājuma žestu, vīrietis ar apstiprinājuma žestu: vidējs ādas tonis, žests
🙆🏾‍♂	par, piekrišana, vidēji tumšs ādas tonis, vīrietis, vīrietis ar apstiprinājuma žestu, vīrietis ar apstiprinājuma žestu: vidēji tumšs ādas tonis, žests
🙆🏿‍♂	par, piekrišana, tumšs ādas tonis, vīrietis, vīrietis ar apstiprinājuma žestu, vīrietis ar apstiprinājuma žestu: tumšs ādas tonis, žests
🙆‍♀	par, piekrišana, sieviete, sieviete ar apstiprinājuma žestu, žests
🙆🏻‍♀	gaišs ādas tonis, par, piekrišana, sieviete, sieviete ar apstiprinājuma žestu, sieviete ar apstiprinājuma žestu: gaišs ādas tonis, žests
🙆🏼‍♀	par, piekrišana, sieviete, sieviete ar apstiprinājuma žestu, sieviete ar apstiprinājuma žestu: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, žests
🙆🏽‍♀	par, piekrišana, sieviete, sieviete ar apstiprinājuma žestu, sieviete ar apstiprinājuma žestu: vidējs ādas tonis, vidējs ādas tonis, žests
🙆🏾‍♀	par, piekrišana, sieviete, sieviete ar apstiprinājuma žestu, sieviete ar apstiprinājuma žestu: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis, žests
🙆🏿‍♀	par, piekrišana, sieviete, sieviete ar apstiprinājuma žestu, sieviete ar apstiprinājuma žestu: tumšs ādas tonis, tumšs ādas tonis, žests
💁	informācija, palīdzība, pastiept, persona ar pastieptu roku, roka
💁🏻	gaišs ādas tonis, informācija, palīdzība, pastiept, persona ar pastieptu roku, persona ar pastieptu roku: gaišs ādas tonis, roka
💁🏼	informācija, palīdzība, pastiept, persona ar pastieptu roku, persona ar pastieptu roku: vidēji gaišs ādas tonis, roka, vidēji gaišs ādas tonis
💁🏽	informācija, palīdzība, pastiept, persona ar pastieptu roku, persona ar pastieptu roku: vidējs ādas tonis, roka, vidējs ādas tonis
💁🏾	informācija, palīdzība, pastiept, persona ar pastieptu roku, persona ar pastieptu roku: vidēji tumšs ādas tonis, roka, vidēji tumšs ādas tonis
💁🏿	informācija, palīdzība, pastiept, persona ar pastieptu roku, persona ar pastieptu roku: tumšs ādas tonis, roka, tumšs ādas tonis
💁‍♂	bezkaunība, vīrietis, vīrietis ar pastieptu roku, žests
💁🏻‍♂	bezkaunība, gaišs ādas tonis, vīrietis, vīrietis ar pastieptu roku, vīrietis ar pastieptu roku: gaišs ādas tonis, žests
💁🏼‍♂	bezkaunība, vidēji gaišs ādas tonis, vīrietis, vīrietis ar pastieptu roku, vīrietis ar pastieptu roku: vidēji gaišs ādas tonis, žests
💁🏽‍♂	bezkaunība, vidējs ādas tonis, vīrietis, vīrietis ar pastieptu roku, vīrietis ar pastieptu roku: vidējs ādas tonis, žests
💁🏾‍♂	bezkaunība, vidēji tumšs ādas tonis, vīrietis, vīrietis ar pastieptu roku, vīrietis ar pastieptu roku: vidēji tumšs ādas tonis, žests
💁🏿‍♂	bezkaunība, tumšs ādas tonis, vīrietis, vīrietis ar pastieptu roku, vīrietis ar pastieptu roku: tumšs ādas tonis, žests
💁‍♀	bezkaunība, sieviete, sieviete ar pastieptu roku, žests
💁🏻‍♀	bezkaunība, gaišs ādas tonis, sieviete, sieviete ar pastieptu roku, sieviete ar pastieptu roku: gaišs ādas tonis, žests
💁🏼‍♀	bezkaunība, sieviete, sieviete ar pastieptu roku, sieviete ar pastieptu roku: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, žests
💁🏽‍♀	bezkaunība, sieviete, sieviete ar pastieptu roku, sieviete ar pastieptu roku: vidējs ādas tonis, vidējs ādas tonis, žests
💁🏾‍♀	bezkaunība, sieviete, sieviete ar pastieptu roku, sieviete ar pastieptu roku: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis, žests
💁🏿‍♀	bezkaunība, sieviete, sieviete ar pastieptu roku, sieviete ar pastieptu roku: tumšs ādas tonis, tumšs ādas tonis, žests
🙋	cilvēks ar paceltu roku, laimīgs, pacelts, roka, žests
🙋🏻	cilvēks ar paceltu roku, cilvēks ar paceltu roku: gaišs ādas tonis, gaišs ādas tonis, laimīgs, pacelts, roka, žests
🙋🏼	cilvēks ar paceltu roku, cilvēks ar paceltu roku: vidēji gaišs ādas tonis, laimīgs, pacelts, roka, vidēji gaišs ādas tonis, žests
🙋🏽	cilvēks ar paceltu roku, cilvēks ar paceltu roku: vidējs ādas tonis, laimīgs, pacelts, roka, vidējs ādas tonis, žests
🙋🏾	cilvēks ar paceltu roku, cilvēks ar paceltu roku: vidēji tumšs ādas tonis, laimīgs, pacelts, roka, vidēji tumšs ādas tonis, žests
🙋🏿	cilvēks ar paceltu roku, cilvēks ar paceltu roku: tumšs ādas tonis, laimīgs, pacelts, roka, tumšs ādas tonis, žests
🙋‍♂	pacelta roka, vīrietis, vīrietis ar paceltu roku, žests
🙋🏻‍♂	gaišs ādas tonis, pacelta roka, vīrietis, vīrietis ar paceltu roku, vīrietis ar paceltu roku: gaišs ādas tonis, žests
🙋🏼‍♂	pacelta roka, vidēji gaišs ādas tonis, vīrietis, vīrietis ar paceltu roku, vīrietis ar paceltu roku: vidēji gaišs ādas tonis, žests
🙋🏽‍♂	pacelta roka, vidējs ādas tonis, vīrietis, vīrietis ar paceltu roku, vīrietis ar paceltu roku: vidējs ādas tonis, žests
🙋🏾‍♂	pacelta roka, vidēji tumšs ādas tonis, vīrietis, vīrietis ar paceltu roku, vīrietis ar paceltu roku: vidēji tumšs ādas tonis, žests
🙋🏿‍♂	pacelta roka, tumšs ādas tonis, vīrietis, vīrietis ar paceltu roku, vīrietis ar paceltu roku: tumšs ādas tonis, žests
🙋‍♀	pacelta roka, sieviete, sieviete ar paceltu roku, žests
🙋🏻‍♀	gaišs ādas tonis, pacelta roka, sieviete, sieviete ar paceltu roku, sieviete ar paceltu roku: gaišs ādas tonis, žests
🙋🏼‍♀	pacelta roka, sieviete, sieviete ar paceltu roku, sieviete ar paceltu roku: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, žests
🙋🏽‍♀	pacelta roka, sieviete, sieviete ar paceltu roku, sieviete ar paceltu roku: vidējs ādas tonis, vidējs ādas tonis, žests
🙋🏾‍♀	pacelta roka, sieviete, sieviete ar paceltu roku, sieviete ar paceltu roku: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis, žests
🙋🏿‍♀	pacelta roka, sieviete, sieviete ar paceltu roku, sieviete ar paceltu roku: tumšs ādas tonis, tumšs ādas tonis, žests
🧏	auss, dzirde, nedzirdīga persona, nedzirdīgs, pieejamība
🧏🏻	auss, dzirde, gaišs ādas tonis, nedzirdīga persona, nedzirdīga persona: gaišs ādas tonis, nedzirdīgs, pieejamība
🧏🏼	auss, dzirde, nedzirdīga persona, nedzirdīga persona: vidēji gaišs ādas tonis, nedzirdīgs, pieejamība, vidēji gaišs ādas tonis
🧏🏽	auss, dzirde, nedzirdīga persona, nedzirdīga persona: vidējs ādas tonis, nedzirdīgs, pieejamība, vidējs ādas tonis
🧏🏾	auss, dzirde, nedzirdīga persona, nedzirdīga persona: vidēji tumšs ādas tonis, nedzirdīgs, pieejamība, vidēji tumšs ādas tonis
🧏🏿	auss, dzirde, nedzirdīga persona, nedzirdīga persona: tumšs ādas tonis, nedzirdīgs, pieejamība, tumšs ādas tonis
🧏‍♂	nedzirdīgs, nedzirdīgs vīrietis, vīrietis
🧏🏻‍♂	gaišs ādas tonis, nedzirdīgs, nedzirdīgs vīrietis: gaišs ādas tonis, vīrietis
🧏🏼‍♂	nedzirdīgs, nedzirdīgs vīrietis: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, vīrietis
🧏🏽‍♂	nedzirdīgs, nedzirdīgs vīrietis: vidējs ādas tonis, vidējs ādas tonis, vīrietis
🧏🏾‍♂	nedzirdīgs, nedzirdīgs vīrietis: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis, vīrietis
🧏🏿‍♂	nedzirdīgs, nedzirdīgs vīrietis: tumšs ādas tonis, tumšs ādas tonis, vīrietis
🧏‍♀	nedzirdīga, nedzirdīga sieviete, sieviete
🧏🏻‍♀	gaišs ādas tonis, nedzirdīga, nedzirdīga sieviete: gaišs ādas tonis, sieviete
🧏🏼‍♀	nedzirdīga, nedzirdīga sieviete: vidēji gaišs ādas tonis, sieviete, vidēji gaišs ādas tonis
🧏🏽‍♀	nedzirdīga, nedzirdīga sieviete: vidējs ādas tonis, sieviete, vidējs ādas tonis
🧏🏾‍♀	nedzirdīga, nedzirdīga sieviete: vidēji tumšs ādas tonis, sieviete, vidēji tumšs ādas tonis
🧏🏿‍♀	nedzirdīga, nedzirdīga sieviete: tumšs ādas tonis, sieviete, tumšs ādas tonis
🙇	atvainošanās, cilvēks paklanās, paklanīties, žests
🙇🏻	atvainošanās, cilvēks paklanās, cilvēks paklanās: gaišs ādas tonis, gaišs ādas tonis, paklanīties, žests
🙇🏼	atvainošanās, cilvēks paklanās, cilvēks paklanās: vidēji gaišs ādas tonis, paklanīties, vidēji gaišs ādas tonis, žests
🙇🏽	atvainošanās, cilvēks paklanās, cilvēks paklanās: vidējs ādas tonis, paklanīties, vidējs ādas tonis, žests
🙇🏾	atvainošanās, cilvēks paklanās, cilvēks paklanās: vidēji tumšs ādas tonis, paklanīties, vidēji tumšs ādas tonis, žests
🙇🏿	atvainošanās, cilvēks paklanās, cilvēks paklanās: tumšs ādas tonis, paklanīties, tumšs ādas tonis, žests
🙇‍♂	cieņa, paklanīšanās, vīrietis, vīrietis paklanās
🙇🏻‍♂	cieņa, gaišs ādas tonis, paklanīšanās, vīrietis, vīrietis paklanās, vīrietis paklanās: gaišs ādas tonis
🙇🏼‍♂	cieņa, paklanīšanās, vidēji gaišs ādas tonis, vīrietis, vīrietis paklanās, vīrietis paklanās: vidēji gaišs ādas tonis
🙇🏽‍♂	cieņa, paklanīšanās, vidējs ādas tonis, vīrietis, vīrietis paklanās, vīrietis paklanās: vidējs ādas tonis
🙇🏾‍♂	cieņa, paklanīšanās, vidēji tumšs ādas tonis, vīrietis, vīrietis paklanās, vīrietis paklanās: vidēji tumšs ādas tonis
🙇🏿‍♂	cieņa, paklanīšanās, tumšs ādas tonis, vīrietis, vīrietis paklanās, vīrietis paklanās: tumšs ādas tonis
🙇‍♀	cieņa, paklanīšanās, sieviete, sieviete paklanās
🙇🏻‍♀	cieņa, gaišs ādas tonis, paklanīšanās, sieviete, sieviete paklanās, sieviete paklanās: gaišs ādas tonis
🙇🏼‍♀	cieņa, paklanīšanās, sieviete, sieviete paklanās, sieviete paklanās: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis
🙇🏽‍♀	cieņa, paklanīšanās, sieviete, sieviete paklanās, sieviete paklanās: vidējs ādas tonis, vidējs ādas tonis
🙇🏾‍♀	cieņa, paklanīšanās, sieviete, sieviete paklanās, sieviete paklanās: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis
🙇🏿‍♀	cieņa, paklanīšanās, sieviete, sieviete paklanās, sieviete paklanās: tumšs ādas tonis, tumšs ādas tonis
🤦	cilvēks ar saķertu galvu, neticība, nu nopietni, plauksta, seja
🤦🏻	cilvēks ar saķertu galvu, cilvēks ar saķertu galvu: gaišs ādas tonis, gaišs ādas tonis, neticība, nu nopietni, plauksta, seja
🤦🏼	cilvēks ar saķertu galvu, cilvēks ar saķertu galvu: vidēji gaišs ādas tonis, neticība, nu nopietni, plauksta, seja, vidēji gaišs ādas tonis
🤦🏽	cilvēks ar saķertu galvu, cilvēks ar saķertu galvu: vidējs ādas tonis, neticība, nu nopietni, plauksta, seja, vidējs ādas tonis
🤦🏾	cilvēks ar saķertu galvu, cilvēks ar saķertu galvu: vidēji tumšs ādas tonis, neticība, nu nopietni, plauksta, seja, vidēji tumšs ādas tonis
🤦🏿	cilvēks ar saķertu galvu, cilvēks ar saķertu galvu: tumšs ādas tonis, neticība, nu nopietni, plauksta, seja, tumšs ādas tonis
🤦‍♂	aizkaitinājums, nav vārdu, roka, vīrietis, vīrietis ar saķertu galvu
🤦🏻‍♂	aizkaitinājums, gaišs ādas tonis, nav vārdu, roka, vīrietis, vīrietis ar saķertu galvu, vīrietis ar saķertu galvu: gaišs ādas tonis
🤦🏼‍♂	aizkaitinājums, nav vārdu, roka, vidēji gaišs ādas tonis, vīrietis, vīrietis ar saķertu galvu, vīrietis ar saķertu galvu: vidēji gaišs ādas tonis
🤦🏽‍♂	aizkaitinājums, nav vārdu, roka, vidējs ādas tonis, vīrietis, vīrietis ar saķertu galvu, vīrietis ar saķertu galvu: vidējs ādas tonis
🤦🏾‍♂	aizkaitinājums, nav vārdu, roka, vidēji tumšs ādas tonis, vīrietis, vīrietis ar saķertu galvu, vīrietis ar saķertu galvu: vidēji tumšs ādas tonis
🤦🏿‍♂	aizkaitinājums, nav vārdu, roka, tumšs ādas tonis, vīrietis, vīrietis ar saķertu galvu, vīrietis ar saķertu galvu: tumšs ādas tonis
🤦‍♀	aizkaitinājums, nav vārdu, roka, sieviete, sieviete ar saķertu galvu
🤦🏻‍♀	aizkaitinājums, gaišs ādas tonis, nav vārdu, roka, sieviete, sieviete ar saķertu galvu, sieviete ar saķertu galvu: gaišs ādas tonis
🤦🏼‍♀	aizkaitinājums, nav vārdu, roka, sieviete, sieviete ar saķertu galvu, sieviete ar saķertu galvu: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis
🤦🏽‍♀	aizkaitinājums, nav vārdu, roka, sieviete, sieviete ar saķertu galvu, sieviete ar saķertu galvu: vidējs ādas tonis, vidējs ādas tonis
🤦🏾‍♀	aizkaitinājums, nav vārdu, roka, sieviete, sieviete ar saķertu galvu, sieviete ar saķertu galvu: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis
🤦🏿‍♀	aizkaitinājums, nav vārdu, roka, sieviete, sieviete ar saķertu galvu, sieviete ar saķertu galvu: tumšs ādas tonis, tumšs ādas tonis
🤷	neziņa, rausta plecus, vienaldzība, šaubas
🤷🏻	gaišs ādas tonis, neziņa, rausta plecus, rausta plecus: gaišs ādas tonis, vienaldzība, šaubas
🤷🏼	neziņa, rausta plecus, rausta plecus: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, vienaldzība, šaubas
🤷🏽	neziņa, rausta plecus, rausta plecus: vidējs ādas tonis, vidējs ādas tonis, vienaldzība, šaubas
🤷🏾	neziņa, rausta plecus, rausta plecus: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis, vienaldzība, šaubas
🤷🏿	neziņa, rausta plecus, rausta plecus: tumšs ādas tonis, tumšs ādas tonis, vienaldzība, šaubas
🤷‍♂	neziņa, rausta plecus, vienaldzība, vienalga, vīrietis, vīrietis rausta plecus
🤷🏻‍♂	gaišs ādas tonis, neziņa, rausta plecus, vienaldzība, vienalga, vīrietis, vīrietis rausta plecus, vīrietis rausta plecus: gaišs ādas tonis
🤷🏼‍♂	neziņa, rausta plecus, vidēji gaišs ādas tonis, vienaldzība, vienalga, vīrietis, vīrietis rausta plecus, vīrietis rausta plecus: vidēji gaišs ādas tonis
🤷🏽‍♂	neziņa, rausta plecus, vidējs ādas tonis, vienaldzība, vienalga, vīrietis, vīrietis rausta plecus, vīrietis rausta plecus: vidējs ādas tonis
🤷🏾‍♂	neziņa, rausta plecus, vidēji tumšs ādas tonis, vienaldzība, vienalga, vīrietis, vīrietis rausta plecus, vīrietis rausta plecus: vidēji tumšs ādas tonis
🤷🏿‍♂	neziņa, rausta plecus, tumšs ādas tonis, vienaldzība, vienalga, vīrietis, vīrietis rausta plecus, vīrietis rausta plecus: tumšs ādas tonis
🤷‍♀	neziņa, rausta plecus, sieviete, sieviete rausta plecus, vienaldzība, vienalga
🤷🏻‍♀	gaišs ādas tonis, neziņa, rausta plecus, sieviete, sieviete rausta plecus, sieviete rausta plecus: gaišs ādas tonis, vienaldzība, vienalga
🤷🏼‍♀	neziņa, rausta plecus, sieviete, sieviete rausta plecus, sieviete rausta plecus: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, vienaldzība, vienalga
🤷🏽‍♀	neziņa, rausta plecus, sieviete, sieviete rausta plecus, sieviete rausta plecus: vidējs ādas tonis, vidējs ādas tonis, vienaldzība, vienalga
🤷🏾‍♀	neziņa, rausta plecus, sieviete, sieviete rausta plecus, sieviete rausta plecus: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis, vienaldzība, vienalga
🤷🏿‍♀	neziņa, rausta plecus, sieviete, sieviete rausta plecus, sieviete rausta plecus: tumšs ādas tonis, tumšs ādas tonis, vienaldzība, vienalga
👨‍⚕	brālītis, dakteris, terapeits, veselības aprūpes speciālists, vīrietis, ārsts
👨🏻‍⚕	brālītis, dakteris, gaišs ādas tonis, terapeits, veselības aprūpes speciālists, veselības aprūpes speciālists: gaišs ādas tonis, vīrietis, ārsts
👨🏼‍⚕	brālītis, dakteris, terapeits, veselības aprūpes speciālists, veselības aprūpes speciālists: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, vīrietis, ārsts
👨🏽‍⚕	brālītis, dakteris, terapeits, veselības aprūpes speciālists, veselības aprūpes speciālists: vidējs ādas tonis, vidējs ādas tonis, vīrietis, ārsts
👨🏾‍⚕	brālītis, dakteris, terapeits, veselības aprūpes speciālists, veselības aprūpes speciālists: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis, vīrietis, ārsts
👨🏿‍⚕	brālītis, dakteris, terapeits, tumšs ādas tonis, veselības aprūpes speciālists, veselības aprūpes speciālists: tumšs ādas tonis, vīrietis, ārsts
👩‍⚕	daktere, medmāsa, sieviete, terapeite, veselības aprūpes speciāliste, ārste
👩🏻‍⚕	daktere, gaišs ādas tonis, medmāsa, sieviete, terapeite, veselības aprūpes speciāliste, veselības aprūpes speciāliste: gaišs ādas tonis, ārste
👩🏼‍⚕	daktere, medmāsa, sieviete, terapeite, veselības aprūpes speciāliste, veselības aprūpes speciāliste: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, ārste
👩🏽‍⚕	daktere, medmāsa, sieviete, terapeite, veselības aprūpes speciāliste, veselības aprūpes speciāliste: vidējs ādas tonis, vidējs ādas tonis, ārste
👩🏾‍⚕	daktere, medmāsa, sieviete, terapeite, veselības aprūpes speciāliste, veselības aprūpes speciāliste: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis, ārste
👩🏿‍⚕	daktere, medmāsa, sieviete, terapeite, tumšs ādas tonis, veselības aprūpes speciāliste, veselības aprūpes speciāliste: tumšs ādas tonis, ārste
👨‍🎓	absolvents, students, vīrietis
👨🏻‍🎓	absolvents, gaišs ādas tonis, students, students: gaišs ādas tonis, vīrietis
👨🏼‍🎓	absolvents, students, students: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, vīrietis
👨🏽‍🎓	absolvents, students, students: vidējs ādas tonis, vidējs ādas tonis, vīrietis
👨🏾‍🎓	absolvents, students, students: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis, vīrietis
👨🏿‍🎓	absolvents, students, students: tumšs ādas tonis, tumšs ādas tonis, vīrietis
👩‍🎓	absolvente, sieviete, studente
👩🏻‍🎓	absolvente, gaišs ādas tonis, sieviete, studente, studente: gaišs ādas tonis
👩🏼‍🎓	absolvente, sieviete, studente, studente: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis
👩🏽‍🎓	absolvente, sieviete, studente, studente: vidējs ādas tonis, vidējs ādas tonis
👩🏾‍🎓	absolvente, sieviete, studente, studente: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis
👩🏿‍🎓	absolvente, sieviete, studente, studente: tumšs ādas tonis, tumšs ādas tonis
👨‍🏫	pasniedzējs, profesors, skolotājs, vīrietis
👨🏻‍🏫	gaišs ādas tonis, pasniedzējs, profesors, skolotājs, skolotājs: gaišs ādas tonis, vīrietis
👨🏼‍🏫	pasniedzējs, profesors, skolotājs, skolotājs: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, vīrietis
👨🏽‍🏫	pasniedzējs, profesors, skolotājs, skolotājs: vidējs ādas tonis, vidējs ādas tonis, vīrietis
👨🏾‍🏫	pasniedzējs, profesors, skolotājs, skolotājs: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis, vīrietis
👨🏿‍🏫	pasniedzējs, profesors, skolotājs, skolotājs: tumšs ādas tonis, tumšs ādas tonis, vīrietis
👩‍🏫	pasniedzēja, profesore, sieviete, skolotāja
👩🏻‍🏫	gaišs ādas tonis, pasniedzēja, profesore, sieviete, skolotāja, skolotāja: gaišs ādas tonis
👩🏼‍🏫	pasniedzēja, profesore, sieviete, skolotāja, skolotāja: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis
👩🏽‍🏫	pasniedzēja, profesore, sieviete, skolotāja, skolotāja: vidējs ādas tonis, vidējs ādas tonis
👩🏾‍🏫	pasniedzēja, profesore, sieviete, skolotāja, skolotāja: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis
👩🏿‍🏫	pasniedzēja, profesore, sieviete, skolotāja, skolotāja: tumšs ādas tonis, tumšs ādas tonis
👨‍⚖	likums, svari, tiesnesis, vīrietis
👨🏻‍⚖	gaišs ādas tonis, likums, svari, tiesnesis, tiesnesis: gaišs ādas tonis, vīrietis
👨🏼‍⚖	likums, svari, tiesnesis, tiesnesis: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, vīrietis
👨🏽‍⚖	likums, svari, tiesnesis, tiesnesis: vidējs ādas tonis, vidējs ādas tonis, vīrietis
👨🏾‍⚖	likums, svari, tiesnesis, tiesnesis: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis, vīrietis
👨🏿‍⚖	likums, svari, tiesnesis, tiesnesis: tumšs ādas tonis, tumšs ādas tonis, vīrietis
👩‍⚖	likums, sieviete, svari, tiesnese
👩🏻‍⚖	gaišs ādas tonis, likums, sieviete, svari, tiesnese, tiesnese: gaišs ādas tonis
👩🏼‍⚖	likums, sieviete, svari, tiesnese, tiesnese: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis
👩🏽‍⚖	likums, sieviete, svari, tiesnese, tiesnese: vidējs ādas tonis, vidējs ādas tonis
👩🏾‍⚖	likums, sieviete, svari, tiesnese, tiesnese: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis
👩🏿‍⚖	likums, sieviete, svari, tiesnese, tiesnese: tumšs ādas tonis, tumšs ādas tonis
👨‍🌾	dārzenieks, lauksaimnieks, vīrietis
👨🏻‍🌾	dārzenieks, gaišs ādas tonis, lauksaimnieks, lauksaimnieks: gaišs ādas tonis, vīrietis
👨🏼‍🌾	dārzenieks, lauksaimnieks, lauksaimnieks: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, vīrietis
👨🏽‍🌾	dārzenieks, lauksaimnieks, lauksaimnieks: vidējs ādas tonis, vidējs ādas tonis, vīrietis
👨🏾‍🌾	dārzenieks, lauksaimnieks, lauksaimnieks: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis, vīrietis
👨🏿‍🌾	dārzenieks, lauksaimnieks, lauksaimnieks: tumšs ādas tonis, tumšs ādas tonis, vīrietis
👩‍🌾	dārzeniece, lauksaimniece, sieviete
👩🏻‍🌾	dārzeniece, gaišs ādas tonis, lauksaimniece, lauksaimniece: gaišs ādas tonis, sieviete
👩🏼‍🌾	dārzeniece, lauksaimniece, lauksaimniece: vidēji gaišs ādas tonis, sieviete, vidēji gaišs ādas tonis
👩🏽‍🌾	dārzeniece, lauksaimniece, lauksaimniece: vidējs ādas tonis, sieviete, vidējs ādas tonis
👩🏾‍🌾	dārzeniece, lauksaimniece, lauksaimniece: vidēji tumšs ādas tonis, sieviete, vidēji tumšs ādas tonis
👩🏿‍🌾	dārzeniece, lauksaimniece, lauksaimniece: tumšs ādas tonis, sieviete, tumšs ādas tonis
👨‍🍳	pavārs, vīrietis, šefpavārs
👨🏻‍🍳	gaišs ādas tonis, pavārs, pavārs: gaišs ādas tonis, vīrietis, šefpavārs
👨🏼‍🍳	pavārs, pavārs: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, vīrietis, šefpavārs
👨🏽‍🍳	pavārs, pavārs: vidējs ādas tonis, vidējs ādas tonis, vīrietis, šefpavārs
