😀	roześmiana buźka, szeroko uśmiechnięta twarz
🤷🏿‍♀	karnacja ciemna, kobieta, kobieta wzruszająca ramionami, kobieta wzruszająca ramionami: karnacja ciemna, obojętność, wzruszenie ramion, wątpliwość
👨‍⚕	lekarz, mężczyzna, terapeuta
👨🏻‍⚕	karnacja jasna, lekarz, lekarz: karnacja jasna, mężczyzna, terapeuta
👨🏼‍⚕	karnacja średnio jasna, lekarz, lekarz: karnacja średnio jasna, mężczyzna, terapeuta
👨🏽‍⚕	karnacja średnia, lekarz, lekarz: karnacja średnia, mężczyzna, terapeuta
👨🏾‍⚕	karnacja średnio ciemna, lekarz, lekarz: karnacja średnio ciemna, mężczyzna, terapeuta
👨🏿‍⚕	karnacja ciemna, lekarz, lekarz: karnacja ciemna, mężczyzna, terapeuta
👩‍⚕	kobieta, lekarka, terapeutka
👩🏻‍⚕	karnacja jasna, kobieta, lekarka, lekarka: karnacja jasna, terapeutka
👩🏼‍⚕	karnacja średnio jasna, kobieta, lekarka, lekarka: karnacja średnio jasna, terapeutka
👩🏽‍⚕	karnacja średnia, kobieta, lekarka, lekarka: karnacja średnia, terapeutka
👩🏾‍⚕	karnacja średnio ciemna, kobieta, lekarka, lekarka: karnacja średnio ciemna, terapeutka
👩🏿‍⚕	karnacja ciemna, kobieta, lekarka, lekarka: karnacja ciemna, terapeutka
👨‍🎓	mężczyzna, student
👨🏻‍🎓	karnacja jasna, mężczyzna, student, student: karnacja jasna
👨🏼‍🎓	karnacja średnio jasna, mężczyzna, student, student: karnacja średnio jasna
👨🏽‍🎓	karnacja średnia, mężczyzna, student, student: karnacja średnia
👨🏾‍🎓	karnacja średnio ciemna, mężczyzna, student, student: karnacja średnio ciemna
👨🏿‍🎓	karnacja ciemna, mężczyzna, student, student: karnacja ciemna
👩‍🎓	kobieta, studentka
👩🏻‍🎓	karnacja jasna, kobieta, studentka, studentka: karnacja jasna
👩🏼‍🎓	karnacja średnio jasna, kobieta, studentka, studentka: karnacja średnio jasna
👩🏽‍🎓	karnacja średnia, kobieta, studentka, studentka: karnacja średnia
👩🏾‍🎓	karnacja średnio ciemna, kobieta, studentka, studentka: karnacja średnio ciemna
👩🏿‍🎓	karnacja ciemna, kobieta, studentka, studentka: karnacja ciemna
👨‍🏫	mężczyzna, nauczyciel, profesor, wykładowca
👨🏻‍🏫	karnacja jasna, mężczyzna, nauczyciel, nauczyciel: karnacja jasna, profesor, wykładowca
👨🏼‍🏫	karnacja średnio jasna, mężczyzna, nauczyciel, nauczyciel: karnacja średnio jasna, profesor, wykładowca
👨🏽‍🏫	karnacja średnia, mężczyzna, nauczyciel, nauczyciel: karnacja średnia, profesor, wykładowca
👨🏾‍🏫	karnacja średnio ciemna, mężczyzna, nauczyciel, nauczyciel: karnacja średnio ciemna, profesor, wykładowca
👨🏿‍🏫	karnacja ciemna, mężczyzna, nauczyciel, nauczyciel: karnacja ciemna, profesor, wykładowca
👩‍🏫	kobieta, nauczycielka, profesor, wykładowczyni
👩🏻‍🏫	karnacja jasna, kobieta, nauczycielka, nauczycielka: karnacja jasna, profesor, wykładowczyni
👩🏼‍🏫	karnacja średnio jasna, kobieta, nauczycielka, nauczycielka: karnacja średnio jasna, profesor, wykładowczyni
👩🏽‍🏫	karnacja średnia, kobieta, nauczycielka, nauczycielka: karnacja średnia, profesor, wykładowczyni
👩🏾‍🏫	karnacja średnio ciemna, kobieta, nauczycielka, nauczycielka: karnacja średnio ciemna, profesor, wykładowczyni
👩🏿‍🏫	karnacja ciemna, kobieta, nauczycielka, nauczycielka: karnacja ciemna, profesor, wykładowczyni
👨‍⚖	mężczyzna, mężczyzna sędzia, sędzia
👨🏻‍⚖	karnacja jasna, mężczyzna, mężczyzna sędzia: karnacja jasna, sędzia
👨🏼‍⚖	karnacja średnio jasna, mężczyzna, mężczyzna sędzia: karnacja średnio jasna, sędzia
👨🏽‍⚖	karnacja średnia, mężczyzna, mężczyzna sędzia: karnacja średnia, sędzia
👨🏾‍⚖	karnacja średnio ciemna, mężczyzna, mężczyzna sędzia: karnacja średnio ciemna, sędzia
👨🏿‍⚖	karnacja ciemna, mężczyzna, mężczyzna sędzia: karnacja ciemna, sędzia
👩‍⚖	kobieta, kobieta sędzia, sędzina
👩🏻‍⚖	karnacja jasna, kobieta, kobieta sędzia, kobieta sędzia: karnacja jasna, sędzina
👩🏼‍⚖	karnacja średnio jasna, kobieta, kobieta sędzia, kobieta sędzia: karnacja średnio jasna, sędzina
👩🏽‍⚖	karnacja średnia, kobieta, kobieta sędzia, kobieta sędzia: karnacja średnia, sędzina
👩🏾‍⚖	karnacja średnio ciemna, kobieta, kobieta sędzia, kobieta sędzia: karnacja średnio ciemna, sędzina
👩🏿‍⚖	karnacja ciemna, kobieta, kobieta sędzia, kobieta sędzia: karnacja ciemna, sędzina
👨‍🌾	farmer, mężczyzna, ogrodnik, rolnik
👨🏻‍🌾	farmer, karnacja jasna, mężczyzna, ogrodnik, rolnik, rolnik: karnacja jasna
👨🏼‍🌾	farmer, karnacja średnio jasna, mężczyzna, ogrodnik, rolnik, rolnik: karnacja średnio jasna
👨🏽‍🌾	farmer, karnacja średnia, mężczyzna, ogrodnik, rolnik, rolnik: karnacja średnia
👨🏾‍🌾	farmer, karnacja średnio ciemna, mężczyzna, ogrodnik, rolnik, rolnik: karnacja średnio ciemna
👨🏿‍🌾	farmer, karnacja ciemna, mężczyzna, ogrodnik, rolnik, rolnik: karnacja ciemna
👩‍🌾	farmerka, kobieta, ogrodniczka, rolniczka
👩🏻‍🌾	farmerka, karnacja jasna, kobieta, ogrodniczka, rolniczka, rolniczka: karnacja jasna
👩🏼‍🌾	farmerka, karnacja średnio jasna, kobieta, ogrodniczka, rolniczka, rolniczka: karnacja średnio jasna
👩🏽‍🌾	farmerka, karnacja średnia, kobieta, ogrodniczka, rolniczka, rolniczka: karnacja średnia
👩🏾‍🌾	farmerka, karnacja średnio ciemna, kobieta, ogrodniczka, rolniczka, rolniczka: karnacja średnio ciemna
👩🏿‍🌾	farmerka, karnacja ciemna, kobieta, ogrodniczka, rolniczka, rolniczka: karnacja ciemna
👨‍🍳	kucharz, mężczyzna, szef kuchni
👨🏻‍🍳	karnacja jasna, kucharz, kucharz: karnacja jasna, mężczyzna, szef kuchni
👨🏼‍🍳	karnacja średnio jasna, kucharz, kucharz: karnacja średnio jasna, mężczyzna, szef kuchni
👨🏽‍🍳	karnacja średnia, kucharz, kucharz: karnacja średnia, mężczyzna, szef kuchni
👨🏾‍🍳	karnacja średnio ciemna, kucharz, kucharz: karnacja średnio ciemna, mężczyzna, szef kuchni
👨🏿‍🍳	karnacja ciemna, kucharz, kucharz: karnacja ciemna, mężczyzna, szef kuchni
👩‍🍳	kobieta, kucharka, szef kuchni
👩🏻‍🍳	karnacja jasna, kobieta, kucharka, kucharka: karnacja jasna, szef kuchni
👩🏼‍🍳	karnacja średnio jasna, kobieta, kucharka, kucharka: karnacja średnio jasna, szef kuchni
👩🏽‍🍳	karnacja średnia, kobieta, kucharka, kucharka: karnacja średnia, szef kuchni
👩🏾‍🍳	karnacja średnio ciemna, kobieta, kucharka, kucharka: karnacja średnio ciemna, szef kuchni
👩🏿‍🍳	karnacja ciemna, kobieta, kucharka, kucharka: karnacja ciemna, szef kuchni
👨‍🔧	elektryk, hydraulik, mechanik, mężczyzna, mężczyzna elektryk
👨🏻‍🔧	elektryk, hydraulik, karnacja jasna, mechanik, mężczyzna, mężczyzna elektryk: karnacja jasna
👨🏼‍🔧	elektryk, hydraulik, karnacja średnio jasna, mechanik, mężczyzna, mężczyzna elektryk: karnacja średnio jasna
👨🏽‍🔧	elektryk, hydraulik, karnacja średnia, mechanik, mężczyzna, mężczyzna elektryk: karnacja średnia
👨🏾‍🔧	elektryk, hydraulik, karnacja średnio ciemna, mechanik, mężczyzna, mężczyzna elektryk: karnacja średnio ciemna
👨🏿‍🔧	elektryk, hydraulik, karnacja ciemna, mechanik, mężczyzna, mężczyzna elektryk: karnacja ciemna
👩‍🔧	elektryk, hydraulik, kobieta, kobieta elektryk, mechanik
👩🏻‍🔧	elektryk, hydraulik, karnacja jasna, kobieta, kobieta elektryk: karnacja jasna, mechanik
👩🏼‍🔧	elektryk, hydraulik, karnacja średnio jasna, kobieta, kobieta elektryk: karnacja średnio jasna, mechanik
👩🏽‍🔧	elektryk, hydraulik, karnacja średnia, kobieta, kobieta elektryk: karnacja średnia, mechanik
👩🏾‍🔧	elektryk, hydraulik, karnacja średnio ciemna, kobieta, kobieta elektryk: karnacja średnio ciemna, mechanik
👩🏿‍🔧	elektryk, hydraulik, karnacja ciemna, kobieta, kobieta elektryk: karnacja ciemna, mechanik
👨‍🏭	fabryka, montażysta, mężczyzna, pracownik, pracownik fabryki
👨🏻‍🏭	fabryka, karnacja jasna, montażysta, mężczyzna, pracownik, pracownik fabryki, pracownik fabryki: karnacja jasna
👨🏼‍🏭	fabryka, karnacja średnio jasna, montażysta, mężczyzna, pracownik, pracownik fabryki, pracownik fabryki: karnacja średnio jasna
👨🏽‍🏭	fabryka, karnacja średnia, montażysta, mężczyzna, pracownik, pracownik fabryki, pracownik fabryki: karnacja średnia
👨🏾‍🏭	fabryka, karnacja średnio ciemna, montażysta, mężczyzna, pracownik, pracownik fabryki, pracownik fabryki: karnacja średnio ciemna
👨🏿‍🏭	fabryka, karnacja ciemna, montażysta, mężczyzna, pracownik, pracownik fabryki, pracownik fabryki: karnacja ciemna
👩‍🏭	fabryka, kobieta, montażystka, pracownica, pracownica fabryki
👩🏻‍🏭	fabryka, karnacja jasna, kobieta, montażystka, pracownica, pracownica fabryki, pracownica fabryki: karnacja jasna
👩🏼‍🏭	fabryka, karnacja średnio jasna, kobieta, montażystka, pracownica, pracownica fabryki, pracownica fabryki: karnacja średnio jasna
👩🏽‍🏭	fabryka, karnacja średnia, kobieta, montażystka, pracownica, pracownica fabryki, pracownica fabryki: karnacja średnia
👩🏾‍🏭	fabryka, karnacja średnio ciemna, kobieta, montażystka, pracownica, pracownica fabryki, pracownica fabryki: karnacja średnio ciemna
👩🏿‍🏭	fabryka, karnacja ciemna, kobieta, montażystka, pracownica, pracownica fabryki, pracownica fabryki: karnacja ciemna
👨‍💼	architekt, biuro, biznesmen, mężczyzna, pracownik biurowy
👨🏻‍💼	architekt, biuro, biznesmen, karnacja jasna, mężczyzna, pracownik biurowy, pracownik biurowy: karnacja jasna
👨🏼‍💼	architekt, biuro, biznesmen, karnacja średnio jasna, mężczyzna, pracownik biurowy, pracownik biurowy: karnacja średnio jasna
👨🏽‍💼	architekt, biuro, biznesmen, karnacja średnia, mężczyzna, pracownik biurowy, pracownik biurowy: karnacja średnia
👨🏾‍💼	architekt, biuro, biznesmen, karnacja średnio ciemna, mężczyzna, pracownik biurowy, pracownik biurowy: karnacja średnio ciemna
👨🏿‍💼	architekt, biuro, biznesmen, karnacja ciemna, mężczyzna, pracownik biurowy, pracownik biurowy: karnacja ciemna
👩‍💼	architekt, biuro, bizneswoman, kobieta, pracownica biurowa
👩🏻‍💼	architekt, biuro, bizneswoman, karnacja jasna, kobieta, pracownica biurowa, pracownica biurowa: karnacja jasna
👩🏼‍💼	architekt, biuro, bizneswoman, karnacja średnio jasna, kobieta, pracownica biurowa, pracownica biurowa: karnacja średnio jasna
👩🏽‍💼	architekt, biuro, bizneswoman, karnacja średnia, kobieta, pracownica biurowa, pracownica biurowa: karnacja średnia
👩🏾‍💼	architekt, biuro, bizneswoman, karnacja średnio ciemna, kobieta, pracownica biurowa, pracownica biurowa: karnacja średnio ciemna
👩🏿‍💼	architekt, biuro, bizneswoman, karnacja ciemna, kobieta, pracownica biurowa, pracownica biurowa: karnacja ciemna
👨‍🔬	biolog, chemik, inżynier, mężczyzna, mężczyzna naukowiec
👨🏻‍🔬	biolog, chemik, inżynier, karnacja jasna, mężczyzna, mężczyzna naukowiec, mężczyzna naukowiec: karnacja jasna
👨🏼‍🔬	biolog, chemik, inżynier, karnacja średnio jasna, mężczyzna, mężczyzna naukowiec, mężczyzna naukowiec: karnacja średnio jasna
👨🏽‍🔬	biolog, chemik, inżynier, karnacja średnia, mężczyzna, mężczyzna naukowiec, mężczyzna naukowiec: karnacja średnia
👨🏾‍🔬	biolog, chemik, inżynier, karnacja średnio ciemna, mężczyzna, mężczyzna naukowiec, mężczyzna naukowiec: karnacja średnio ciemna
👨🏿‍🔬	biolog, chemik, inżynier, karnacja ciemna, mężczyzna, mężczyzna naukowiec, mężczyzna naukowiec: karnacja ciemna
👩‍🔬	biolog, chemik, inżynier, kobieta, kobieta naukowiec
👩🏻‍🔬	biolog, chemik, inżynier, karnacja jasna, kobieta, kobieta naukowiec, kobieta naukowiec: karnacja jasna
👩🏼‍🔬	biolog, chemik, inżynier, karnacja średnio jasna, kobieta, kobieta naukowiec, kobieta naukowiec: karnacja średnio jasna
👩🏽‍🔬	biolog, chemik, inżynier, karnacja średnia, kobieta, kobieta naukowiec, kobieta naukowiec: karnacja średnia
👩🏾‍🔬	biolog, chemik, inżynier, karnacja średnio ciemna, kobieta, kobieta naukowiec, kobieta naukowiec: karnacja średnio ciemna
👩🏿‍🔬	biolog, chemik, inżynier, karnacja ciemna, kobieta, kobieta naukowiec, kobieta naukowiec: karnacja ciemna
👨‍💻	mężczyzna, mężczyzna technolog, oprogramowanie, programista, wynalazca
👨🏻‍💻	karnacja jasna, mężczyzna, mężczyzna technolog, mężczyzna technolog: karnacja jasna, oprogramowanie, programista, wynalazca
👨🏼‍💻	karnacja średnio jasna, mężczyzna, mężczyzna technolog, mężczyzna technolog: karnacja średnio jasna, oprogramowanie, programista, wynalazca
👨🏽‍💻	karnacja średnia, mężczyzna, mężczyzna technolog, mężczyzna technolog: karnacja średnia, oprogramowanie, programista, wynalazca
👨🏾‍💻	karnacja średnio ciemna, mężczyzna, mężczyzna technolog, mężczyzna technolog: karnacja średnio ciemna, oprogramowanie, programista, wynalazca
👨🏿‍💻	karnacja ciemna, mężczyzna, mężczyzna technolog, mężczyzna technolog: karnacja ciemna, oprogramowanie, programista, wynalazca
👩‍💻	kobieta, kobieta technolog, oprogramowanie, programistka, wynalazczyni
👩🏻‍💻	karnacja jasna, kobieta, kobieta technolog, kobieta technolog: karnacja jasna, oprogramowanie, programistka, wynalazczyni
👩🏼‍💻	karnacja średnio jasna, kobieta, kobieta technolog, kobieta technolog: karnacja średnio jasna, oprogramowanie, programistka, wynalazczyni
👩🏽‍💻	karnacja średnia, kobieta, kobieta technolog, kobieta technolog: karnacja średnia, oprogramowanie, programistka, wynalazczyni
👩🏾‍💻	karnacja średnio ciemna, kobieta, kobieta technolog, kobieta technolog: karnacja średnio ciemna, oprogramowanie, programistka, wynalazczyni
👩🏿‍💻	karnacja ciemna, kobieta, kobieta technolog, kobieta technolog: karnacja ciemna, oprogramowanie, programistka, wynalazczyni
👨‍🎤	aktor, mężczyzna, piosenkarz, rock
👨🏻‍🎤	aktor, karnacja jasna, mężczyzna, piosenkarz, piosenkarz: karnacja jasna, rock
👨🏼‍🎤	aktor, karnacja średnio jasna, mężczyzna, piosenkarz, piosenkarz: karnacja średnio jasna, rock
👨🏽‍🎤	aktor, karnacja średnia, mężczyzna, piosenkarz, piosenkarz: karnacja średnia, rock
👨🏾‍🎤	aktor, karnacja średnio ciemna, mężczyzna, piosenkarz, piosenkarz: karnacja średnio ciemna, rock
👨🏿‍🎤	aktor, karnacja ciemna, mężczyzna, piosenkarz, piosenkarz: karnacja ciemna, rock
👩‍🎤	aktorka, kobieta, piosenkarka, rock
👩🏻‍🎤	aktorka, karnacja jasna, kobieta, piosenkarka, piosenkarka: karnacja jasna, rock
👩🏼‍🎤	aktorka, karnacja średnio jasna, kobieta, piosenkarka, piosenkarka: karnacja średnio jasna, rock
👩🏽‍🎤	aktorka, karnacja średnia, kobieta, piosenkarka, piosenkarka: karnacja średnia, rock
👩🏾‍🎤	aktorka, karnacja średnio ciemna, kobieta, piosenkarka, piosenkarka: karnacja średnio ciemna, rock
👩🏿‍🎤	aktorka, karnacja ciemna, kobieta, piosenkarka, piosenkarka: karnacja ciemna, rock
👨‍🎨	artysta, mężczyzna, paleta
👨🏻‍🎨	artysta, artysta: karnacja jasna, karnacja jasna, mężczyzna, paleta
👨🏼‍🎨	artysta, artysta: karnacja średnio jasna, karnacja średnio jasna, mężczyzna, paleta
👨🏽‍🎨	artysta, artysta: karnacja średnia, karnacja średnia, mężczyzna, paleta
👨🏾‍🎨	artysta, artysta: karnacja średnio ciemna, karnacja średnio ciemna, mężczyzna, paleta
👨🏿‍🎨	artysta, artysta: karnacja ciemna, karnacja ciemna, mężczyzna, paleta
👩‍🎨	artystka, kobieta, paleta
👩🏻‍🎨	artystka, artystka: karnacja jasna, karnacja jasna, kobieta, paleta
👩🏼‍🎨	artystka, artystka: karnacja średnio jasna, karnacja średnio jasna, kobieta, paleta
👩🏽‍🎨	artystka, artystka: karnacja średnia, karnacja średnia, kobieta, paleta
👩🏾‍🎨	artystka, artystka: karnacja średnio ciemna, karnacja średnio ciemna, kobieta, paleta
👩🏿‍🎨	artystka, artystka: karnacja ciemna, karnacja ciemna, kobieta, paleta
👨‍✈	mężczyzna, mężczyzna pilot, pilot, samolot
👨🏻‍✈	karnacja jasna, mężczyzna, mężczyzna pilot: karnacja jasna, pilot, samolot
👨🏼‍✈	karnacja średnio jasna, mężczyzna, mężczyzna pilot: karnacja średnio jasna, pilot, samolot
👨🏽‍✈	karnacja średnia, mężczyzna, mężczyzna pilot: karnacja średnia, pilot, samolot
👨🏾‍✈	karnacja średnio ciemna, mężczyzna, mężczyzna pilot: karnacja średnio ciemna, pilot, samolot
👨🏿‍✈	karnacja ciemna, mężczyzna, mężczyzna pilot: karnacja ciemna, pilot, samolot
👩‍✈	kobieta, kobieta pilot, pilot, samolot
👩🏻‍✈	karnacja jasna, kobieta, kobieta pilot: karnacja jasna, pilot, samolot
👩🏼‍✈	karnacja średnio jasna, kobieta, kobieta pilot: karnacja średnio jasna, pilot, samolot
👩🏽‍✈	karnacja średnia, kobieta, kobieta pilot: karnacja średnia, pilot, samolot
👩🏾‍✈	karnacja średnio ciemna, kobieta, kobieta pilot: karnacja średnio ciemna, pilot, samolot
👩🏿‍✈	karnacja ciemna, kobieta, kobieta pilot: karnacja ciemna, pilot, samolot
👨‍🚀	astronauta, kosmos, mężczyzna, rakieta
👨🏻‍🚀	astronauta, astronauta: karnacja jasna, karnacja jasna, kosmos, mężczyzna, rakieta
👨🏼‍🚀	astronauta, astronauta: karnacja średnio jasna, karnacja średnio jasna, kosmos, mężczyzna, rakieta
👨🏽‍🚀	astronauta, astronauta: karnacja średnia, karnacja średnia, kosmos, mężczyzna, rakieta
👨🏾‍🚀	astronauta, astronauta: karnacja średnio ciemna, karnacja średnio ciemna, kosmos, mężczyzna, rakieta
👨🏿‍🚀	astronauta, astronauta: karnacja ciemna, karnacja ciemna, kosmos, mężczyzna, rakieta
👩‍🚀	astronautka, kobieta, kosmos, rakieta
👩🏻‍🚀	astronautka, astronautka: karnacja jasna, karnacja jasna, kobieta, kosmos, rakieta
👩🏼‍🚀	astronautka, astronautka: karnacja średnio jasna, karnacja średnio jasna, kobieta, kosmos, rakieta
👩🏽‍🚀	astronautka, astronautka: karnacja średnia, karnacja średnia, kobieta, kosmos, rakieta
👩🏾‍🚀	astronautka, astronautka: karnacja średnio ciemna, karnacja średnio ciemna, kobieta, kosmos, rakieta
👩🏿‍🚀	astronautka, astronautka: karnacja ciemna, karnacja ciemna, kobieta, kosmos, rakieta
👨‍🚒	mężczyzna, mężczyzna strażak, strażak, wóz strażacki
👨🏻‍🚒	karnacja jasna, mężczyzna, mężczyzna strażak: karnacja jasna, strażak, wóz strażacki
👨🏼‍🚒	karnacja średnio jasna, mężczyzna, mężczyzna strażak: karnacja średnio jasna, strażak, wóz strażacki
👨🏽‍🚒	karnacja średnia, mężczyzna, mężczyzna strażak: karnacja średnia, strażak, wóz strażacki
👨🏾‍🚒	karnacja średnio ciemna, mężczyzna, mężczyzna strażak: karnacja średnio ciemna, strażak, wóz strażacki
👨🏿‍🚒	karnacja ciemna, mężczyzna, mężczyzna strażak: karnacja ciemna, strażak, wóz strażacki
👩‍🚒	kobieta, kobieta strażak, strażak, wóz strażacki
👩🏻‍🚒	karnacja jasna, kobieta, kobieta strażak: karnacja jasna, strażak, wóz strażacki
👩🏼‍🚒	karnacja średnio jasna, kobieta, kobieta strażak: karnacja średnio jasna, strażak, wóz strażacki
👩🏽‍🚒	karnacja średnia, kobieta, kobieta strażak: karnacja średnia, strażak, wóz strażacki
👩🏾‍🚒	karnacja średnio ciemna, kobieta, kobieta strażak: karnacja średnio ciemna, strażak, wóz strażacki
👩🏿‍🚒	karnacja ciemna, kobieta, kobieta strażak: karnacja ciemna, strażak, wóz strażacki
👮	oficer, policjant
👮🏻	karnacja jasna, oficer, policjant, policjant: karnacja jasna
👮🏼	karnacja średnio jasna, oficer, policjant, policjant: karnacja średnio jasna
👮🏽	karnacja średnia, oficer, policjant, policjant: karnacja średnia
👮🏾	karnacja średnio ciemna, oficer, policjant, policjant: karnacja średnio ciemna
👮🏿	karnacja ciemna, oficer, policjant, policjant: karnacja ciemna
👮‍♂	glina, mężczyzna, mężczyzna policjant, oficer, policjant
👮🏻‍♂	glina, karnacja jasna, mężczyzna, mężczyzna policjant: karnacja jasna, oficer, policjant
👮🏼‍♂	glina, karnacja średnio jasna, mężczyzna, mężczyzna policjant: karnacja średnio jasna, oficer, policjant
👮🏽‍♂	glina, karnacja średnia, mężczyzna, mężczyzna policjant: karnacja średnia, oficer, policjant
👮🏾‍♂	glina, karnacja średnio ciemna, mężczyzna, mężczyzna policjant: karnacja średnio ciemna, oficer, policjant
👮🏿‍♂	glina, karnacja ciemna, mężczyzna, mężczyzna policjant: karnacja ciemna, oficer, policjant
👮‍♀	glina, kobieta, kobieta policjant, oficer, policjantka
👮🏻‍♀	glina, karnacja jasna, kobieta, kobieta policjant, kobieta policjant: karnacja jasna, oficer, policjantka
👮🏼‍♀	glina, karnacja średnio jasna, kobieta, kobieta policjant, kobieta policjant: karnacja średnio jasna, oficer, policjantka
👮🏽‍♀	glina, karnacja średnia, kobieta, kobieta policjant, kobieta policjant: karnacja średnia, oficer, policjantka
👮🏾‍♀	glina, karnacja średnio ciemna, kobieta, kobieta policjant, kobieta policjant: karnacja średnio ciemna, oficer, policjantka
👮🏿‍♀	glina, karnacja ciemna, kobieta, kobieta policjant, kobieta policjant: karnacja ciemna, oficer, policjantka
🕵️	detektyw, szpieg, śledczy
🕵🏻	detektyw, detektyw: karnacja jasna, karnacja jasna, szpieg, śledczy
🕵🏼	detektyw, detektyw: karnacja średnio jasna, karnacja średnio jasna, szpieg, śledczy
🕵🏽	detektyw, detektyw: karnacja średnia, karnacja średnia, szpieg, śledczy
🕵🏾	detektyw, detektyw: karnacja średnio ciemna, karnacja średnio ciemna, szpieg, śledczy
🕵🏿	detektyw, detektyw: karnacja ciemna, karnacja ciemna, szpieg, śledczy
🕵‍♂	detektyw, mężczyzna, mężczyzna detektyw, szpieg
🕵🏻‍♂	detektyw, karnacja jasna, mężczyzna, mężczyzna detektyw: karnacja jasna, szpieg
🕵🏼‍♂	detektyw, karnacja średnio jasna, mężczyzna, mężczyzna detektyw: karnacja średnio jasna, szpieg
🕵🏽‍♂	detektyw, karnacja średnia, mężczyzna, mężczyzna detektyw: karnacja średnia, szpieg
🕵🏾‍♂	detektyw, karnacja średnio ciemna, mężczyzna, mężczyzna detektyw: karnacja średnio ciemna, szpieg
🕵🏿‍♂	detektyw, karnacja ciemna, mężczyzna, mężczyzna detektyw: karnacja ciemna, szpieg
🕵‍♀	detektyw, kobieta, kobieta detektyw, szpieg
🕵🏻‍♀	detektyw, karnacja jasna, kobieta, kobieta detektyw: karnacja jasna, szpieg
🕵🏼‍♀	detektyw, karnacja średnio jasna, kobieta, kobieta detektyw: karnacja średnio jasna, szpieg
🕵🏽‍♀	detektyw, karnacja średnia, kobieta, kobieta detektyw: karnacja średnia, szpieg
🕵🏾‍♀	detektyw, karnacja średnio ciemna, kobieta, kobieta detektyw: karnacja średnio ciemna, szpieg
🕵🏿‍♀	detektyw, karnacja ciemna, kobieta, kobieta detektyw: karnacja ciemna, szpieg
💂	gwardzista, strażnik
💂🏻	gwardzista, gwardzista: karnacja jasna, karnacja jasna, strażnik
💂🏼	gwardzista, gwardzista: karnacja średnio jasna, karnacja średnio jasna, strażnik
💂🏽	gwardzista, gwardzista: karnacja średnia, karnacja średnia, strażnik
💂🏾	gwardzista, gwardzista: karnacja średnio ciemna, karnacja średnio ciemna, strażnik
💂🏿	gwardzista, gwardzista: karnacja ciemna, karnacja ciemna, strażnik
💂‍♂	gwardzista, mężczyzna, mężczyzna gwardzista, strażnik
💂🏻‍♂	gwardzista, karnacja jasna, mężczyzna, mężczyzna gwardzista: karnacja jasna, strażnik
💂🏼‍♂	gwardzista, karnacja średnio jasna, mężczyzna, mężczyzna gwardzista: karnacja średnio jasna, strażnik
💂🏽‍♂	gwardzista, karnacja średnia, mężczyzna, mężczyzna gwardzista: karnacja średnia, strażnik
💂🏾‍♂	gwardzista, karnacja średnio ciemna, mężczyzna, mężczyzna gwardzista: karnacja średnio ciemna, strażnik
💂🏿‍♂	gwardzista, karnacja ciemna, mężczyzna, mężczyzna gwardzista: karnacja ciemna, strażnik
💂‍♀	gwardzistka, kobieta, kobieta gwardzista, strażniczka
💂🏻‍♀	gwardzistka, karnacja jasna, kobieta, kobieta gwardzista, kobieta gwardzista: karnacja jasna, strażniczka
💂🏼‍♀	gwardzistka, karnacja średnio jasna, kobieta, kobieta gwardzista, kobieta gwardzista: karnacja średnio jasna, strażniczka
💂🏽‍♀	gwardzistka, karnacja średnia, kobieta, kobieta gwardzista, kobieta gwardzista: karnacja średnia, strażniczka
💂🏾‍♀	gwardzistka, karnacja średnio ciemna, kobieta, kobieta gwardzista, kobieta gwardzista: karnacja średnio ciemna, strażniczka
💂🏿‍♀	gwardzistka, karnacja ciemna, kobieta, kobieta gwardzista, kobieta gwardzista: karnacja ciemna, strażniczka
👷	budowlaniec, kask
👷🏻	budowlaniec, budowlaniec: karnacja jasna, karnacja jasna, kask
👷🏼	budowlaniec, budowlaniec: karnacja średnio jasna, karnacja średnio jasna, kask
👷🏽	budowlaniec, budowlaniec: karnacja średnia, karnacja średnia, kask
👷🏾	budowlaniec, budowlaniec: karnacja średnio ciemna, karnacja średnio ciemna, kask
👷🏿	budowlaniec, budowlaniec: karnacja ciemna, karnacja ciemna, kask
👷‍♂	budowlaniec, mężczyzna, mężczyzna budowlaniec, robotnik
👷🏻‍♂	budowlaniec, karnacja jasna, mężczyzna, mężczyzna budowlaniec: karnacja jasna, robotnik
👷🏼‍♂	budowlaniec, karnacja średnio jasna, mężczyzna, mężczyzna budowlaniec: karnacja średnio jasna, robotnik
👷🏽‍♂	budowlaniec, karnacja średnia, mężczyzna, mężczyzna budowlaniec: karnacja średnia, robotnik
👷🏾‍♂	budowlaniec, karnacja średnio ciemna, mężczyzna, mężczyzna budowlaniec: karnacja średnio ciemna, robotnik
👷🏿‍♂	budowlaniec, karnacja ciemna, mężczyzna, mężczyzna budowlaniec: karnacja ciemna, robotnik
👷‍♀	budowlaniec, kobieta, kobieta budowlaniec, robotnik
👷🏻‍♀	budowlaniec, karnacja jasna, kobieta, kobieta budowlaniec: karnacja jasna, robotnik
👷🏼‍♀	budowlaniec, karnacja średnio jasna, kobieta, kobieta budowlaniec: karnacja średnio jasna, robotnik
👷🏽‍♀	budowlaniec, karnacja średnia, kobieta, kobieta budowlaniec: karnacja średnia, robotnik
👷🏾‍♀	budowlaniec, karnacja średnio ciemna, kobieta, kobieta budowlaniec: karnacja średnio ciemna, robotnik
