😀	лицо, радость, счастье, улыбка, широкая улыбка, широко улыбается
👨🏿‍🦰	взрослый, мужчина, мужчина: очень темный тон кожи рыжие волосы, очень темный тон кожи, рыжие волосы, усы, человек
👨‍🦱	взрослый, кудрявые волосы, мужчина, мужчина: кудрявые волосы, усы, человек
👨🏻‍🦱	взрослый, кудрявые волосы, мужчина, мужчина: очень светлый тон кожи кудрявые волосы, очень светлый тон кожи, усы, человек
👨🏼‍🦱	взрослый, кудрявые волосы, мужчина, мужчина: светлый тон кожи кудрявые волосы, светлый тон кожи, усы, человек
👨🏽‍🦱	взрослый, кудрявые волосы, мужчина, мужчина: средний тон кожи кудрявые волосы, средний тон кожи, усы, человек
👨🏾‍🦱	взрослый, кудрявые волосы, мужчина, мужчина: темный тон кожи кудрявые волосы, темный тон кожи, усы, человек
👨🏿‍🦱	взрослый, кудрявые волосы, мужчина, мужчина: очень темный тон кожи кудрявые волосы, очень темный тон кожи, усы, человек
👨‍🦳	взрослый, мужчина, мужчина: седые волосы, седые волосы, усы, человек
👨🏻‍🦳	взрослый, мужчина, мужчина: очень светлый тон кожи седые волосы, очень светлый тон кожи, седые волосы, усы, человек
👨🏼‍🦳	взрослый, мужчина, мужчина: светлый тон кожи седые волосы, светлый тон кожи, седые волосы, усы, человек
👨🏽‍🦳	взрослый, мужчина, мужчина: средний тон кожи седые волосы, седые волосы, средний тон кожи, усы, человек
👨🏾‍🦳	взрослый, мужчина, мужчина: темный тон кожи седые волосы, седые волосы, темный тон кожи, усы, человек
👨🏿‍🦳	взрослый, мужчина, мужчина: очень темный тон кожи седые волосы, очень темный тон кожи, седые волосы, усы, человек
👨‍🦲	без волос, взрослый, мужчина, мужчина: без волос, усы, человек
👨🏻‍🦲	без волос, взрослый, мужчина, мужчина: очень светлый тон кожи без волос, очень светлый тон кожи, усы, человек
👨🏼‍🦲	без волос, взрослый, мужчина, мужчина: светлый тон кожи без волос, светлый тон кожи, усы, человек
👨🏽‍🦲	без волос, взрослый, мужчина, мужчина: средний тон кожи без волос, средний тон кожи, усы, человек
👨🏾‍🦲	без волос, взрослый, мужчина, мужчина: темный тон кожи без волос, темный тон кожи, усы, человек
👨🏿‍🦲	без волос, взрослый, мужчина, мужчина: очень темный тон кожи без волос, очень темный тон кожи, усы, человек
👩	взрослая, волосы, длинные, женщина, человек
👩🏻	взрослая, волосы, длинные, женщина, женщина: очень светлый тон кожи, очень светлый тон кожи, человек
👩🏼	взрослая, волосы, длинные, женщина, женщина: светлый тон кожи, светлый тон кожи, человек
👩🏽	взрослая, волосы, длинные, женщина, женщина: средний тон кожи, средний тон кожи, человек
👩🏾	взрослая, волосы, длинные, женщина, женщина: темный тон кожи, темный тон кожи, человек
👩🏿	взрослая, волосы, длинные, женщина, женщина: очень темный тон кожи, очень темный тон кожи, человек
👱‍♀	блондинка, женщина, женщина со светлыми волосами, светлые волосы, человек со светлыми волосами
👱🏻‍♀	блондинка, блондинка: очень светлый тон кожи, женщина, женщина со светлыми волосами, очень светлый тон кожи, светлые волосы, человек со светлыми волосами
👱🏼‍♀	блондинка, блондинка: светлый тон кожи, женщина, женщина со светлыми волосами, светлые волосы, светлый тон кожи, человек со светлыми волосами
👱🏽‍♀	блондинка, блондинка: средний тон кожи, женщина, женщина со светлыми волосами, светлые волосы, средний тон кожи, человек со светлыми волосами
👱🏾‍♀	блондинка, блондинка: темный тон кожи, женщина, женщина со светлыми волосами, светлые волосы, темный тон кожи, человек со светлыми волосами
👱🏿‍♀	блондинка, блондинка: очень темный тон кожи, женщина, женщина со светлыми волосами, очень темный тон кожи, светлые волосы, человек со светлыми волосами
👩‍🦰	взрослая, волосы, длинные, женщина, женщина: рыжие волосы, рыжие волосы, человек
👩🏻‍🦰	взрослая, волосы, длинные, женщина, женщина: очень светлый тон кожи рыжие волосы, очень светлый тон кожи, рыжие волосы, человек
👩🏼‍🦰	взрослая, волосы, длинные, женщина, женщина: светлый тон кожи рыжие волосы, рыжие волосы, светлый тон кожи, человек
👩🏽‍🦰	взрослая, волосы, длинные, женщина, женщина: средний тон кожи рыжие волосы, рыжие волосы, средний тон кожи, человек
👩🏾‍🦰	взрослая, волосы, длинные, женщина, женщина: темный тон кожи рыжие волосы, рыжие волосы, темный тон кожи, человек
👩🏿‍🦰	взрослая, волосы, длинные, женщина, женщина: очень темный тон кожи рыжие волосы, очень темный тон кожи, рыжие волосы, человек
👩‍🦱	взрослая, волосы, длинные, женщина, женщина: кудрявые волосы, кудрявые волосы, человек
👩🏻‍🦱	взрослая, волосы, длинные, женщина, женщина: очень светлый тон кожи кудрявые волосы, кудрявые волосы, очень светлый тон кожи, человек
👩🏼‍🦱	взрослая, волосы, длинные, женщина, женщина: светлый тон кожи кудрявые волосы, кудрявые волосы, светлый тон кожи, человек
👩🏽‍🦱	взрослая, волосы, длинные, женщина, женщина: средний тон кожи кудрявые волосы, кудрявые волосы, средний тон кожи, человек
👩🏾‍🦱	взрослая, волосы, длинные, женщина, женщина: темный тон кожи кудрявые волосы, кудрявые волосы, темный тон кожи, человек
👩🏿‍🦱	взрослая, волосы, длинные, женщина, женщина: очень темный тон кожи кудрявые волосы, кудрявые волосы, очень темный тон кожи, человек
👩‍🦳	взрослая, волосы, длинные, женщина, женщина: седые волосы, седые волосы, человек
👩🏻‍🦳	взрослая, волосы, длинные, женщина, женщина: очень светлый тон кожи седые волосы, очень светлый тон кожи, седые волосы, человек
👩🏼‍🦳	взрослая, волосы, длинные, женщина, женщина: светлый тон кожи седые волосы, светлый тон кожи, седые волосы, человек
👩🏽‍🦳	взрослая, волосы, длинные, женщина, женщина: средний тон кожи седые волосы, седые волосы, средний тон кожи, человек
👩🏾‍🦳	взрослая, волосы, длинные, женщина, женщина: темный тон кожи седые волосы, седые волосы, темный тон кожи, человек
👩🏿‍🦳	взрослая, волосы, длинные, женщина, женщина: очень темный тон кожи седые волосы, очень темный тон кожи, седые волосы, человек
👩‍🦲	без волос, взрослая, волосы, длинные, женщина, женщина: без волос, человек
👩🏻‍🦲	без волос, взрослая, волосы, длинные, женщина, женщина: очень светлый тон кожи без волос, очень светлый тон кожи, человек
👩🏼‍🦲	без волос, взрослая, волосы, длинные, женщина, женщина: светлый тон кожи без волос, светлый тон кожи, человек
👩🏽‍🦲	без волос, взрослая, волосы, длинные, женщина, женщина: средний тон кожи без волос, средний тон кожи, человек
👩🏾‍🦲	без волос, взрослая, волосы, длинные, женщина, женщина: темный тон кожи без волос, темный тон кожи, человек
👩🏿‍🦲	без волос, взрослая, волосы, длинные, женщина, женщина: очень темный тон кожи без волос, очень темный тон кожи, человек
🧓	в возрасте, гендерно нейтральный, пожилой, пожилой человек, старый
🧓🏻	в возрасте, гендерно нейтральный, очень светлый тон кожи, пожилой, пожилой человек, пожилой человек: очень светлый тон кожи, старый
🧓🏼	в возрасте, гендерно нейтральный, пожилой, пожилой человек, пожилой человек: светлый тон кожи, светлый тон кожи, старый
🧓🏽	в возрасте, гендерно нейтральный, пожилой, пожилой человек, пожилой человек: средний тон кожи, средний тон кожи, старый
🧓🏾	в возрасте, гендерно нейтральный, пожилой, пожилой человек, пожилой человек: темный тон кожи, старый, темный тон кожи
🧓🏿	в возрасте, гендерно нейтральный, очень темный тон кожи, пожилой, пожилой человек, пожилой человек: очень темный тон кожи, старый
👴	годы, мужчина, пожилой, пожилой мужчина, старик, старый, человек
👴🏻	годы, мужчина, очень светлый тон кожи, пожилой, пожилой мужчина: очень светлый тон кожи, старик, старый, человек
👴🏼	годы, мужчина, пожилой, пожилой мужчина: светлый тон кожи, светлый тон кожи, старик, старый, человек
👴🏽	годы, мужчина, пожилой, пожилой мужчина: средний тон кожи, средний тон кожи, старик, старый, человек
👴🏾	годы, мужчина, пожилой, пожилой мужчина: темный тон кожи, старик, старый, темный тон кожи, человек
👴🏿	годы, мужчина, очень темный тон кожи, пожилой, пожилой мужчина: очень темный тон кожи, старик, старый, человек
👵	женщина, пожилая, пожилая женщина, старая, старуха, человек
👵🏻	женщина, очень светлый тон кожи, пожилая, пожилая женщина: очень светлый тон кожи, старая, старуха, человек
👵🏼	женщина, пожилая, пожилая женщина: светлый тон кожи, светлый тон кожи, старая, старуха, человек
👵🏽	женщина, пожилая, пожилая женщина: средний тон кожи, средний тон кожи, старая, старуха, человек
👵🏾	женщина, пожилая, пожилая женщина: темный тон кожи, старая, старуха, темный тон кожи, человек
👵🏿	женщина, очень темный тон кожи, пожилая, пожилая женщина: очень темный тон кожи, старая, старуха, человек
🙍	лицо, нахмурившийся человек, расстроен, хмурый, человек
🙍🏻	лицо, нахмурившийся человек, нахмурившийся человек: очень светлый тон кожи, очень светлый тон кожи, расстроен, хмурый, человек
🙍🏼	лицо, нахмурившийся человек, нахмурившийся человек: светлый тон кожи, расстроен, светлый тон кожи, хмурый, человек
🙍🏽	лицо, нахмурившийся человек, нахмурившийся человек: средний тон кожи, расстроен, средний тон кожи, хмурый, человек
🙍🏾	лицо, нахмурившийся человек, нахмурившийся человек: темный тон кожи, расстроен, темный тон кожи, хмурый, человек
🙍🏿	лицо, нахмурившийся человек, нахмурившийся человек: очень темный тон кожи, очень темный тон кожи, расстроен, хмурый, человек
🙍‍♂	мужчина, нахмурившийся мужчина, расстроен, хмурый, человек
🙍🏻‍♂	мужчина, нахмурившийся мужчина, нахмурившийся мужчина: очень светлый тон кожи, очень светлый тон кожи, расстроен, хмурый, человек
🙍🏼‍♂	мужчина, нахмурившийся мужчина, нахмурившийся мужчина: светлый тон кожи, расстроен, светлый тон кожи, хмурый, человек
🙍🏽‍♂	мужчина, нахмурившийся мужчина, нахмурившийся мужчина: средний тон кожи, расстроен, средний тон кожи, хмурый, человек
🙍🏾‍♂	мужчина, нахмурившийся мужчина, нахмурившийся мужчина: темный тон кожи, расстроен, темный тон кожи, хмурый, человек
🙍🏿‍♂	мужчина, нахмурившийся мужчина, нахмурившийся мужчина: очень темный тон кожи, очень темный тон кожи, расстроен, хмурый, человек
🙍‍♀	женщина, нахмурившаяся женщина, расстроена, хмурая, человек
🙍🏻‍♀	женщина, нахмурившаяся женщина, нахмурившаяся женщина: очень светлый тон кожи, очень светлый тон кожи, расстроена, хмурая, человек
🙍🏼‍♀	женщина, нахмурившаяся женщина, нахмурившаяся женщина: светлый тон кожи, расстроена, светлый тон кожи, хмурая, человек
🙍🏽‍♀	женщина, нахмурившаяся женщина, нахмурившаяся женщина: средний тон кожи, расстроена, средний тон кожи, хмурая, человек
🙍🏾‍♀	женщина, нахмурившаяся женщина, нахмурившаяся женщина: темный тон кожи, расстроена, темный тон кожи, хмурая, человек
🙍🏿‍♀	женщина, нахмурившаяся женщина, нахмурившаяся женщина: очень темный тон кожи, очень темный тон кожи, расстроена, хмурая, человек
🙎	недовольство, обида, обиженный, обиженный человек
🙎🏻	недовольство, обида, обиженный, обиженный человек, обиженный человек: очень светлый тон кожи, очень светлый тон кожи
🙎🏼	недовольство, обида, обиженный, обиженный человек, обиженный человек: светлый тон кожи, светлый тон кожи
🙎🏽	недовольство, обида, обиженный, обиженный человек, обиженный человек: средний тон кожи, средний тон кожи
🙎🏾	недовольство, обида, обиженный, обиженный человек, обиженный человек: темный тон кожи, темный тон кожи
🙎🏿	недовольство, обида, обиженный, обиженный человек, обиженный человек: очень темный тон кожи, очень темный тон кожи
🙎‍♂	недовольство, обида, обиженный, обиженный мужчина
🙎🏻‍♂	недовольство, обида, обиженный, обиженный мужчина, обиженный мужчина: очень светлый тон кожи, очень светлый тон кожи
🙎🏼‍♂	недовольство, обида, обиженный, обиженный мужчина, обиженный мужчина: светлый тон кожи, светлый тон кожи
🙎🏽‍♂	недовольство, обида, обиженный, обиженный мужчина, обиженный мужчина: средний тон кожи, средний тон кожи
🙎🏾‍♂	недовольство, обида, обиженный, обиженный мужчина, обиженный мужчина: темный тон кожи, темный тон кожи
🙎🏿‍♂	недовольство, обида, обиженный, обиженный мужчина, обиженный мужчина: очень темный тон кожи, очень темный тон кожи
🙎‍♀	недовольство, обида, обиженная, обиженная женщина
🙎🏻‍♀	недовольство, обида, обиженная, обиженная женщина, обиженная женщина: очень светлый тон кожи, очень светлый тон кожи
🙎🏼‍♀	недовольство, обида, обиженная, обиженная женщина, обиженная женщина: светлый тон кожи, светлый тон кожи
🙎🏽‍♀	недовольство, обида, обиженная, обиженная женщина, обиженная женщина: средний тон кожи, средний тон кожи
🙎🏾‍♀	недовольство, обида, обиженная, обиженная женщина, обиженная женщина: темный тон кожи, темный тон кожи
🙎🏿‍♀	недовольство, обида, обиженная, обиженная женщина, обиженная женщина: очень темный тон кожи, очень темный тон кожи
🙅	жест, запрещено, нельзя, руки, человек, человек против
🙅🏻	жест, запрещено, нельзя, очень светлый тон кожи, руки, человек, человек против, человек против: очень светлый тон кожи
🙅🏼	жест, запрещено, нельзя, руки, светлый тон кожи, человек, человек против, человек против: светлый тон кожи
🙅🏽	жест, запрещено, нельзя, руки, средний тон кожи, человек, человек против, человек против: средний тон кожи
🙅🏾	жест, запрещено, нельзя, руки, темный тон кожи, человек, человек против, человек против: темный тон кожи
🙅🏿	жест, запрещено, нельзя, очень темный тон кожи, руки, человек, человек против, человек против: очень темный тон кожи
🙅‍♂	жест, запрещено, мужчина, мужчина против, нельзя, руки
🙅🏻‍♂	жест, запрещено, мужчина, мужчина против, мужчина против: очень светлый тон кожи, нельзя, очень светлый тон кожи, руки
🙅🏼‍♂	жест, запрещено, мужчина, мужчина против, мужчина против: светлый тон кожи, нельзя, руки, светлый тон кожи
🙅🏽‍♂	жест, запрещено, мужчина, мужчина против, мужчина против: средний тон кожи, нельзя, руки, средний тон кожи
🙅🏾‍♂	жест, запрещено, мужчина, мужчина против, мужчина против: темный тон кожи, нельзя, руки, темный тон кожи
🙅🏿‍♂	жест, запрещено, мужчина, мужчина против, мужчина против: очень темный тон кожи, нельзя, очень темный тон кожи, руки
🙅‍♀	женщина, женщина против, жест, запрещено, нельзя, руки
🙅🏻‍♀	женщина, женщина против, женщина против: очень светлый тон кожи, жест, запрещено, нельзя, очень светлый тон кожи, руки
🙅🏼‍♀	женщина, женщина против, женщина против: светлый тон кожи, жест, запрещено, нельзя, руки, светлый тон кожи
🙅🏽‍♀	женщина, женщина против, женщина против: средний тон кожи, жест, запрещено, нельзя, руки, средний тон кожи
🙅🏾‍♀	женщина, женщина против, женщина против: темный тон кожи, жест, запрещено, нельзя, руки, темный тон кожи
🙅🏿‍♀	женщина, женщина против, женщина против: очень темный тон кожи, жест, запрещено, нельзя, очень темный тон кожи, руки
🙆	жест, ок, окей, отлично, руки, человек, человек за
🙆🏻	жест, ок, окей, отлично, очень светлый тон кожи, руки, человек, человек за, человек за: очень светлый тон кожи
🙆🏼	жест, ок, окей, отлично, руки, светлый тон кожи, человек, человек за, человек за: светлый тон кожи
🙆🏽	жест, ок, окей, отлично, руки, средний тон кожи, человек, человек за, человек за: средний тон кожи
🙆🏾	жест, ок, окей, отлично, руки, темный тон кожи, человек, человек за, человек за: темный тон кожи
🙆🏿	жест, ок, окей, отлично, очень темный тон кожи, руки, человек, человек за, человек за: очень темный тон кожи
🙆‍♂	жест, мужчина, мужчина за, ок, окей, отлично, руки
🙆🏻‍♂	жест, мужчина, мужчина за, мужчина за: очень светлый тон кожи, ок, окей, отлично, очень светлый тон кожи, руки
🙆🏼‍♂	жест, мужчина, мужчина за, мужчина за: светлый тон кожи, ок, окей, отлично, руки, светлый тон кожи
🙆🏽‍♂	жест, мужчина, мужчина за, мужчина за: средний тон кожи, ок, окей, отлично, руки, средний тон кожи
🙆🏾‍♂	жест, мужчина, мужчина за, мужчина за: темный тон кожи, ок, окей, отлично, руки, темный тон кожи
🙆🏿‍♂	жест, мужчина, мужчина за, мужчина за: очень темный тон кожи, ок, окей, отлично, очень темный тон кожи, руки
🙆‍♀	женщина, женщина за, жест, ок, окей, отлично, руки
🙆🏻‍♀	женщина, женщина за, женщина за: очень светлый тон кожи, жест, ок, окей, отлично, очень светлый тон кожи, руки
🙆🏼‍♀	женщина, женщина за, женщина за: светлый тон кожи, жест, ок, окей, отлично, руки, светлый тон кожи
🙆🏽‍♀	женщина, женщина за, женщина за: средний тон кожи, жест, ок, окей, отлично, руки, средний тон кожи
🙆🏾‍♀	женщина, женщина за, женщина за: темный тон кожи, жест, ок, окей, отлично, руки, темный тон кожи
🙆🏿‍♀	женщина, женщина за, женщина за: очень темный тон кожи, жест, ок, окей, отлично, очень темный тон кожи, руки
💁	информация, помощь, рука, человек тянет руку
💁🏻	информация, очень светлый тон кожи, помощь, рука, человек тянет руку, человек тянет руку: очень светлый тон кожи
💁🏼	информация, помощь, рука, светлый тон кожи, человек тянет руку, человек тянет руку: светлый тон кожи
💁🏽	информация, помощь, рука, средний тон кожи, человек тянет руку, человек тянет руку: средний тон кожи
💁🏾	информация, помощь, рука, темный тон кожи, человек тянет руку, человек тянет руку: темный тон кожи
💁🏿	информация, очень темный тон кожи, помощь, рука, человек тянет руку, человек тянет руку: очень темный тон кожи
💁‍♂	информация, мужчина тянет руку, помощь, рука
💁🏻‍♂	информация, мужчина тянет руку, мужчина тянет руку: очень светлый тон кожи, очень светлый тон кожи, помощь, рука
💁🏼‍♂	информация, мужчина тянет руку, мужчина тянет руку: светлый тон кожи, помощь, рука, светлый тон кожи
💁🏽‍♂	информация, мужчина тянет руку, мужчина тянет руку: средний тон кожи, помощь, рука, средний тон кожи
💁🏾‍♂	информация, мужчина тянет руку, мужчина тянет руку: темный тон кожи, помощь, рука, темный тон кожи
💁🏿‍♂	информация, мужчина тянет руку, мужчина тянет руку: очень темный тон кожи, очень темный тон кожи, помощь, рука
💁‍♀	женщина тянет руку, информация, помощь, рука
💁🏻‍♀	женщина тянет руку, женщина тянет руку: очень светлый тон кожи, информация, очень светлый тон кожи, помощь, рука
💁🏼‍♀	женщина тянет руку, женщина тянет руку: светлый тон кожи, информация, помощь, рука, светлый тон кожи
💁🏽‍♀	женщина тянет руку, женщина тянет руку: средний тон кожи, информация, помощь, рука, средний тон кожи
💁🏾‍♀	женщина тянет руку, женщина тянет руку: темный тон кожи, информация, помощь, рука, темный тон кожи
💁🏿‍♀	женщина тянет руку, женщина тянет руку: очень темный тон кожи, информация, очень темный тон кожи, помощь, рука
🙋	жест, поднятая рука, рука, человек, человек с поднятой рукой
🙋🏻	жест, очень светлый тон кожи, поднятая рука, рука, человек, человек с поднятой рукой, человек с поднятой рукой: очень светлый тон кожи
🙋🏼	жест, поднятая рука, рука, светлый тон кожи, человек, человек с поднятой рукой, человек с поднятой рукой: светлый тон кожи
🙋🏽	жест, поднятая рука, рука, средний тон кожи, человек, человек с поднятой рукой, человек с поднятой рукой: средний тон кожи
🙋🏾	жест, поднятая рука, рука, темный тон кожи, человек, человек с поднятой рукой, человек с поднятой рукой: темный тон кожи
🙋🏿	жест, очень темный тон кожи, поднятая рука, рука, человек, человек с поднятой рукой, человек с поднятой рукой: очень темный тон кожи
🙋‍♂	жест, мужчина, мужчина с поднятой рукой, поднятая рука, рука
🙋🏻‍♂	жест, мужчина, мужчина с поднятой рукой, мужчина с поднятой рукой: очень светлый тон кожи, очень светлый тон кожи, поднятая рука, рука
🙋🏼‍♂	жест, мужчина, мужчина с поднятой рукой, мужчина с поднятой рукой: светлый тон кожи, поднятая рука, рука, светлый тон кожи
🙋🏽‍♂	жест, мужчина, мужчина с поднятой рукой, мужчина с поднятой рукой: средний тон кожи, поднятая рука, рука, средний тон кожи
🙋🏾‍♂	жест, мужчина, мужчина с поднятой рукой, мужчина с поднятой рукой: темный тон кожи, поднятая рука, рука, темный тон кожи
🙋🏿‍♂	жест, мужчина, мужчина с поднятой рукой, мужчина с поднятой рукой: очень темный тон кожи, очень темный тон кожи, поднятая рука, рука
🙋‍♀	женщина, женщина с поднятой рукой, жест, поднятая рука, рука
🙋🏻‍♀	женщина, женщина с поднятой рукой, женщина с поднятой рукой: очень светлый тон кожи, жест, очень светлый тон кожи, поднятая рука, рука
🙋🏼‍♀	женщина, женщина с поднятой рукой, женщина с поднятой рукой: светлый тон кожи, жест, поднятая рука, рука, светлый тон кожи
🙋🏽‍♀	женщина, женщина с поднятой рукой, женщина с поднятой рукой: средний тон кожи, жест, поднятая рука, рука, средний тон кожи
🙋🏾‍♀	женщина, женщина с поднятой рукой, женщина с поднятой рукой: темный тон кожи, жест, поднятая рука, рука, темный тон кожи
🙋🏿‍♀	женщина, женщина с поднятой рукой, женщина с поднятой рукой: очень темный тон кожи, жест, очень темный тон кожи, поднятая рука, рука
🧏	глухой, глухой человек, люди с ограниченными возможностями, ограниченные возможности, слышать, ухо
🧏🏻	глухой, глухой человек, глухой человек: очень светлый тон кожи, люди с ограниченными возможностями, ограниченные возможности, очень светлый тон кожи, слышать, ухо
🧏🏼	глухой, глухой человек, глухой человек: светлый тон кожи, люди с ограниченными возможностями, ограниченные возможности, светлый тон кожи, слышать, ухо
🧏🏽	глухой, глухой человек, глухой человек: средний тон кожи, люди с ограниченными возможностями, ограниченные возможности, слышать, средний тон кожи, ухо
🧏🏾	глухой, глухой человек, глухой человек: темный тон кожи, люди с ограниченными возможностями, ограниченные возможности, слышать, темный тон кожи, ухо
🧏🏿	глухой, глухой человек, глухой человек: очень темный тон кожи, люди с ограниченными возможностями, ограниченные возможности, очень темный тон кожи, слышать, ухо
🧏‍♂	глухой, глухой мужчина, глухота, мужчина
🧏🏻‍♂	глухой, глухой мужчина: очень светлый тон кожи, глухота, мужчина, очень светлый тон кожи
🧏🏼‍♂	глухой, глухой мужчина: светлый тон кожи, глухота, мужчина, светлый тон кожи
🧏🏽‍♂	глухой, глухой мужчина: средний тон кожи, глухота, мужчина, средний тон кожи
🧏🏾‍♂	глухой, глухой мужчина: темный тон кожи, глухота, мужчина, темный тон кожи
🧏🏿‍♂	глухой, глухой мужчина: очень темный тон кожи, глухота, мужчина, очень темный тон кожи
🧏‍♀	глухая, глухая женщина, глухота, женщина
🧏🏻‍♀	глухая, глухая женщина: очень светлый тон кожи, глухота, женщина, очень светлый тон кожи
🧏🏼‍♀	глухая, глухая женщина: светлый тон кожи, глухота, женщина, светлый тон кожи
🧏🏽‍♀	глухая, глухая женщина: средний тон кожи, глухота, женщина, средний тон кожи
🧏🏾‍♀	глухая, глухая женщина: темный тон кожи, глухота, женщина, темный тон кожи
🧏🏿‍♀	глухая, глухая женщина: очень темный тон кожи, глухота, женщина, очень темный тон кожи
🙇	извинение, поклон, просьба, прощение, человек, человек кланяется
🙇🏻	извинение, очень светлый тон кожи, поклон, просьба, прощение, человек, человек кланяется, человек кланяется: очень светлый тон кожи
🙇🏼	извинение, поклон, просьба, прощение, светлый тон кожи, человек, человек кланяется, человек кланяется: светлый тон кожи
🙇🏽	извинение, поклон, просьба, прощение, средний тон кожи, человек, человек кланяется, человек кланяется: средний тон кожи
🙇🏾	извинение, поклон, просьба, прощение, темный тон кожи, человек, человек кланяется, человек кланяется: темный тон кожи
🙇🏿	извинение, очень темный тон кожи, поклон, просьба, прощение, человек, человек кланяется, человек кланяется: очень темный тон кожи
🙇‍♂	извинение, мужчина, мужчина кланяется, поклон, просьба, прощение
🙇🏻‍♂	извинение, мужчина, мужчина кланяется, мужчина кланяется: очень светлый тон кожи, очень светлый тон кожи, поклон, просьба, прощение
🙇🏼‍♂	извинение, мужчина, мужчина кланяется, мужчина кланяется: светлый тон кожи, поклон, просьба, прощение, светлый тон кожи
🙇🏽‍♂	извинение, мужчина, мужчина кланяется, мужчина кланяется: средний тон кожи, поклон, просьба, прощение, средний тон кожи
🙇🏾‍♂	извинение, мужчина, мужчина кланяется, мужчина кланяется: темный тон кожи, поклон, просьба, прощение, темный тон кожи
🙇🏿‍♂	извинение, мужчина, мужчина кланяется, мужчина кланяется: очень темный тон кожи, очень темный тон кожи, поклон, просьба, прощение
🙇‍♀	женщина, женщина кланяется, извинение, поклон, просьба, прощение
🙇🏻‍♀	женщина, женщина кланяется, женщина кланяется: очень светлый тон кожи, извинение, очень светлый тон кожи, поклон, просьба, прощение
🙇🏼‍♀	женщина, женщина кланяется, женщина кланяется: светлый тон кожи, извинение, поклон, просьба, прощение, светлый тон кожи
🙇🏽‍♀	женщина, женщина кланяется, женщина кланяется: средний тон кожи, извинение, поклон, просьба, прощение, средний тон кожи
🙇🏾‍♀	женщина, женщина кланяется, женщина кланяется: темный тон кожи, извинение, поклон, просьба, прощение, темный тон кожи
🙇🏿‍♀	женщина, женщина кланяется, женщина кланяется: очень темный тон кожи, извинение, очень темный тон кожи, поклон, просьба, прощение
🤦	лицо, не могу поверить, нет слов, раздражение, рука, фейспалм, человек потерял дар речи
🤦🏻	лицо, не могу поверить, нет слов, очень светлый тон кожи, раздражение, рука, фейспалм, человек потерял дар речи, человек потерял дар речи: очень светлый тон кожи
🤦🏼	лицо, не могу поверить, нет слов, раздражение, рука, светлый тон кожи, фейспалм, человек потерял дар речи, человек потерял дар речи: светлый тон кожи
🤦🏽	лицо, не могу поверить, нет слов, раздражение, рука, средний тон кожи, фейспалм, человек потерял дар речи, человек потерял дар речи: средний тон кожи
🤦🏾	лицо, не могу поверить, нет слов, раздражение, рука, темный тон кожи, фейспалм, человек потерял дар речи, человек потерял дар речи: темный тон кожи
🤦🏿	лицо, не могу поверить, нет слов, очень темный тон кожи, раздражение, рука, фейспалм, человек потерял дар речи, человек потерял дар речи: очень темный тон кожи
